0,1,2,3,4,5,6,class_numeric
10.076153,-1.623196,2.6190464,2.7711232,9.877733,7.6465583,6.2507076,5
0.4480613,-0.18207909,1.56871,1.7604523,9.400366,7.083109,10.354947,0
-1.0751201,0.797179,0.81085414,1.2410607,9.654907,7.8791947,10.674817,1
-0.5746461,0.7733273,2.8614917,2.9235923,9.860246,6.9601107,10.074082,2
-1.7117889,0.8636485,0.3907541,0.91824126,9.7307005,8.007776,10.335044,3
-1.0087943,0.6890954,0.5770257,1.0963063,9.487927,7.927519,10.708649,4
-1.6678982,0.85218835,0.4245577,0.93591315,9.710135,7.969677,10.35724,5
8.168232,-0.9788815,2.122142,1.8607497,10.200311,7.335037,7.7535224,0
10.035724,-1.6303945,2.5884283,2.7293358,9.92185,7.659613,6.353561,1
9.989113,-0.83557856,3.403034,2.842203,9.231508,6.925645,5.163535,2
10.122322,-0.8971356,3.4850733,2.9602926,9.355144,7.0644145,5.101417,3
10.0000925,-1.6297883,2.6361098,2.7188876,9.851602,7.597293,6.3154254,4
10.000022,-0.93339026,3.3518353,2.8391495,9.2728,6.9481125,5.2879567,5
8.643996,-2.3896713,-0.77766186,0.7044989,8.150467,5.301294,10.112572,0
8.700563,-2.4503562,-0.83860177,0.64615273,8.089488,5.240558,10.17349,1
8.687499,-2.4370754,-0.82408077,0.65932786,8.103078,5.253811,10.160215,2
8.671555,-2.4211984,-0.8092819,0.6751475,8.118737,5.26971,10.144381,3
8.719428,-2.4698856,-0.85846215,0.6267569,8.06973,5.2209325,10.193274,4
8.686497,-2.4362135,-0.8246023,0.660229,8.103527,5.2545958,10.159574,5
8.528671,-1.147392,2.1469724,1.9357094,10.191578,7.3800826,7.608563,0
9.3088665,-1.6736605,2.5649097,2.1511867,9.580411,7.0700974,7.1784406,1
9.476649,-1.6081938,1.9959167,1.6587315,10.623496,8.268428,6.4150043,2
9.534231,-1.6624963,1.9743267,1.6989082,10.594394,8.312802,6.3603835,3
9.38681,-1.7053428,2.3292975,2.055087,9.894094,7.394445,7.126854,4
9.305205,-1.7555591,2.3746622,2.1087747,9.740062,7.277467,7.200696,5
7.448364,-0.77861965,1.8286777,1.7999024,10.328641,7.3704896,8.140617,0
-1.0561188,0.730344,0.69854957,1.0682555,9.813952,7.6560564,10.672064,1
-1.7435896,0.8154013,0.3359564,0.95486665,9.64293,7.955429,10.223466,2
-1.5507596,0.73217845,0.40175292,1.11609,9.379301,7.8273325,10.074087,3
-0.9240934,0.6361274,0.40974462,0.9514609,9.441802,7.84195,10.773678,4
-0.97543514,0.69403887,0.5679317,1.0781218,9.550463,7.903106,10.751404,5
8.618935,-1.1672456,2.2277973,1.9724736,10.114468,7.331742,7.549032,0
9.371168,-1.7668025,2.6129575,2.1616993,9.463949,6.9802685,7.1545334,1
