0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,active_hand
9.386269,4.431052,10.535482,3.6299884,5.4962907,4.8444858,6.3016863,-0.16544788,5.203169,5.191473,4.6472945,3.0196657,6.645587,7.1913805,4.8994055,5.54903,4.9371457,5.71875,4.5493035,5.8558793,4.874859,3.4921718,5.555491,0
9.164367,6.1629205,5.2555175,5.393173,5.074417,4.992962,5.06484,5.0955596,-3.6675966,5.594374,4.8280883,5.145979,4.0649095,4.624814,5.1732903,5.618502,5.228228,4.8914847,4.9266744,5.657618,4.8491898,3.6060333,4.9686494,1
9.3976755,4.4327645,10.533559,3.6192195,5.489386,4.8457975,6.2954626,-0.1628331,5.197595,5.181741,4.6356845,3.0152118,6.6372805,7.1882987,4.906127,5.550223,4.9454875,5.720364,4.5397573,5.8630757,4.8812127,3.5001352,5.5571604,0
9.16409,6.1634493,5.254551,5.3922715,5.0756063,4.9946656,5.0631886,5.0968575,-3.6681528,5.5959554,4.8272586,5.14686,4.0634017,4.6258564,5.1718016,5.619098,5.2278705,4.8924828,4.9249415,5.658448,4.8487263,3.6071074,4.9701533,1
9.392722,4.438561,10.52924,3.6238089,5.4954286,4.8485527,6.2977614,-0.16936523,5.20272,5.1859655,4.640162,3.0152054,6.642947,7.1966443,4.9029927,5.554964,4.94021,5.725253,4.5425014,5.8614917,4.875432,3.4934351,5.561263,0
9.167114,6.1654563,5.2582417,5.3916564,5.072097,4.991234,5.0668797,5.0930295,-3.668549,5.5923586,4.8282123,5.142879,4.0671215,4.6251063,5.1755934,5.6191635,5.2313557,4.888449,4.9284005,5.6550083,4.846468,3.6030445,4.966637,1
9.398267,4.429594,10.536244,3.6190155,5.4880633,4.8440924,6.295756,-0.16053627,5.1964874,5.181397,4.6351357,3.016215,6.636185,7.185169,4.906215,5.547743,4.9461813,5.71773,4.5401187,5.8623695,4.882413,3.502284,5.5548615,0
9.171384,6.1703353,5.262045,5.3880625,5.0690427,4.9889836,5.0697947,5.089578,-3.6697898,5.589642,4.827822,5.138333,4.070199,4.6265826,5.1787896,5.6205726,5.236601,4.884103,4.930704,5.651336,4.841306,3.5987859,4.964053,1
9.40827,4.4217105,10.54208,3.6102557,5.478183,4.840462,6.2918386,-0.15088482,5.1882033,5.1725974,4.625021,3.015381,6.626037,7.1729064,4.911985,5.541211,4.9551997,5.711075,4.5334625,5.865967,4.891715,3.5147386,5.5493174,0
9.18772,6.177175,5.2873573,5.393391,5.0420513,4.9587655,5.09953,5.060588,-3.6759052,5.559864,4.838935,5.113939,4.0996733,4.6133366,5.2081804,5.620403,5.2532587,4.8581305,4.960937,5.628628,4.8331575,3.5722454,4.934265,1
9.395041,4.4279084,10.537456,3.6215541,5.4882708,4.8433495,6.2940936,-0.1591477,5.1975145,5.1842704,4.638907,3.0168517,6.63835,7.1834364,4.906585,5.54708,4.94483,5.7168927,4.5429754,5.8612275,4.882295,3.4993742,5.554433,0
9.377323,4.4453073,10.525161,3.6385574,5.510014,4.85071,6.3045707,-0.18129347,5.215494,5.200923,4.6558776,3.0195367,6.6581864,7.2114697,4.8929033,5.560881,4.92571,5.7310944,4.555967,5.8532515,4.8610826,3.477411,5.5659394,0
