0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,active_hand
0.6364098,11.732817,5.319879,5.3444486,5.0511956,4.6424704,5.33506,5.5418715,4.9890094,5.472913,4.7420177,4.7552953,4.989925,4.1555533,4.6250577,5.0375466,5.6457496,4.9203615,5.6171665,4.6105137,4.3883033,3.407429,4.7427206,4.9113755,5.145891,1
9.691831,4.2227097,10.784193,7.3665595,5.628168,4.367269,5.3412805,-0.18489158,4.953859,5.220567,4.780927,6.481989,3.4807925,1.9321352,4.620619,5.4186954,6.056963,4.4630537,5.489207,5.2203197,4.0131345,3.3302667,4.019864,4.806155,4.87853,0
0.63499945,11.732599,5.31931,5.3446965,5.0512724,4.6420345,5.334971,5.541715,4.9886518,5.4717865,4.7409277,4.755355,4.989308,4.155266,4.6235895,5.037576,5.6446466,4.9194303,5.618694,4.60978,4.3888144,3.4065714,4.7422748,4.9109197,5.1457253,1
9.71547,4.215431,10.77988,7.3492928,5.647598,4.36288,5.362497,-0.19435427,4.9322467,5.231014,4.789835,6.494425,3.481729,1.9414308,4.6043906,5.419023,6.0659285,4.448418,5.4793663,5.2443457,4.0011725,3.3249984,4.005074,4.803035,4.894355,0
0.62885207,11.731255,5.316472,5.3458314,5.0515766,4.6398153,5.3346186,5.540949,4.9868407,5.4666176,4.7359047,4.7556686,4.9863486,4.153842,4.6168404,5.0376945,5.639551,4.9151073,5.625678,4.60628,4.391301,3.4025002,4.740089,4.908709,5.144899,1
9.693401,4.2224946,10.786718,7.3593206,5.6355586,4.370966,5.340795,-0.18228117,4.946692,5.219469,4.7776766,6.4780073,3.4825778,1.931044,4.616371,5.417343,6.051791,4.4666953,5.481529,5.2232547,4.0155535,3.3350341,4.0254,4.8074403,4.8867307,0
0.6301148,11.731559,5.317133,5.34557,5.0515084,4.6403337,5.334679,5.541123,4.98727,5.467733,4.7369914,4.755616,4.987031,4.1541734,4.6182885,5.037688,5.640665,4.916058,5.624162,4.607056,4.3907137,3.4034033,4.7405934,4.909208,5.145091,1
9.6918,4.2236333,10.786021,7.360819,5.6339903,4.370946,5.339335,-0.18240462,4.948345,5.2184033,4.7771673,6.4778905,3.4815261,1.929956,4.6176143,5.417174,6.0517154,4.467531,5.48274,5.2216873,4.0159335,3.335122,4.0255857,4.8072276,4.885141,0
0.6366595,11.733182,5.3200974,5.344402,5.051174,4.6425915,5.3351192,5.5419264,4.989088,5.4733095,4.742386,4.7553053,4.9901457,4.1555724,4.625603,5.037559,5.6461363,4.9206686,5.616489,4.6107607,4.3881736,3.4077141,4.7428446,4.91148,5.1459017,1
9.693256,4.222667,10.786094,7.3605804,5.634364,4.3700113,5.340959,-0.18315643,4.9478006,5.21962,4.7784495,6.4791102,3.481858,1.9311427,4.6170692,5.417636,6.0530715,4.465832,5.483003,5.222901,4.0147905,3.3339286,4.024075,4.8068166,4.88526,0
0.6279376,11.731137,5.316171,5.3459625,5.0515924,4.6395774,5.3345814,5.5408807,4.9866195,5.4659753,4.7352624,4.755728,4.9860177,4.153682,4.6159544,5.037735,5.6389146,4.914589,5.6265936,4.6058736,4.3915257,3.402019,4.739824,4.9084616,5.144814,1
9.689422,4.2238307,10.787731,7.3613815,5.6331835,4.3720374,5.3370466,-0.18048774,4.9494734,5.217479,4.7758303,6.475463,3.482363,1.9291837,4.618781,5.417258,6.049506,4.4695997,5.4821353,5.2193627,4.017804,3.3364785,4.0287256,4.8079348,4.8852043,0
