0,1,2,3,4,5,6,7,8,9,10,11,class_numeric
10.270718,11.164276,6.640112,8.425149,-0.47043642,5.8662467,4.84359,3.769525,2.4994233,4.4896326,7.253564,5.9375544,4
10.322037,11.201072,6.650673,8.45643,-0.52245975,5.832072,4.8405027,3.7761612,2.490874,4.5139403,7.243458,5.9164534,5
1.7175484,7.8152957,9.58459,4.9674125,2.9160345,2.0769584,1.130245,6.2233467,5.317516,3.9945722,5.5230055,5.1231284,0
1.3833445,7.4541025,9.785179,4.328357,3.305347,2.3084495,0.66280735,6.177188,5.4435377,3.858996,5.2090497,4.904352,1
1.7465341,7.592645,9.64682,4.59307,3.1597946,2.0469472,0.99558824,6.1058016,5.4815297,3.9238944,5.2954593,5.076401,2
1.8509123,7.5842156,9.652973,4.6536007,3.142918,1.9491099,1.1022278,6.0510087,5.514663,3.9186761,5.282523,5.091017,3
1.608175,7.6452703,9.669793,4.6132913,3.1142318,2.1686695,0.87283075,6.199853,5.407912,3.940651,5.359669,5.057077,4
1.3842487,7.449571,9.78525,4.3242273,3.3074188,2.3055868,0.66322964,6.174285,5.446233,3.8569348,5.206117,4.9020643,5
10.1631365,11.098538,6.635191,8.425997,-0.1775922,5.898962,4.467789,4.0568748,2.7585793,4.4966793,7.2303114,5.8784122,0
10.22149,11.154559,6.636073,8.414701,-0.47237405,5.909529,4.87361,3.7465231,2.4928641,4.4882145,7.2663193,5.9563293,1
10.3876505,11.297585,6.575896,8.48042,-0.37465447,5.249256,4.502772,3.9246032,2.575681,4.6701655,7.0947804,5.8697233,2
10.435567,11.278255,6.6800327,8.482601,-0.42610738,5.2370176,4.584096,3.9086442,2.5890713,4.7522345,6.7909,5.618029,3
10.309599,11.193219,6.623974,8.451709,-0.49769372,5.821258,4.8498764,3.7649937,2.492645,4.5081153,7.256481,5.9439445,4
10.278407,11.132008,6.640605,8.464485,-0.55551326,5.905059,4.920699,3.7063804,2.4841146,4.418349,7.34111,6.016378,5
