0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,class_numeric
9.899824,4.8183403,4.5824685,4.6774516,5.707204,3.185882,5.7989707,6.3435736,5.128202,5.2044244,2.246686,4.6692495,3.0914629,0.6767849,5.366118,8.987061,6.159629,6.2777534,-1.6964837,3.4376152,5.7786245,5.111389,6.073061,1
9.891232,4.810724,4.5832367,4.685552,5.696674,3.1790948,5.8089957,6.3467073,5.1388283,5.2144456,2.2424314,4.659042,3.0990596,0.66617554,5.3665323,8.995754,6.1476746,6.2673097,-1.7045071,3.4286313,5.773546,5.122206,6.081979,1
9.891391,4.8117366,4.5825195,4.686178,5.6975594,3.178662,5.808328,6.3456635,5.138586,5.213554,2.2436316,4.6595964,3.098163,0.6669372,5.367384,8.994323,6.147857,6.268113,-1.7029021,3.4292197,5.772846,5.12138,6.080778,1
9.893864,4.8049994,4.5905337,4.680862,5.6999593,3.182627,5.8074455,6.353732,5.136493,5.2126656,2.2362864,4.6607685,3.0990736,0.66659945,5.359457,8.997298,6.153512,6.270206,-1.7078966,3.427193,5.7793393,5.1222134,6.0835805,1
9.892392,4.8148475,4.579459,4.68641,5.6997514,3.179492,5.804372,6.3429136,5.135808,5.2098427,2.2459035,4.6631136,3.0974166,0.66999984,5.369908,8.9864025,6.146938,6.2703905,-1.6923836,3.4369676,5.7712507,5.118576,6.072835,1
9.898767,4.823789,4.5747576,4.681096,5.714524,3.1847486,5.7885046,6.336642,5.1210623,5.193918,2.252178,4.6786933,3.091981,0.6820462,5.3733406,8.9691,6.157883,6.2854857,-1.6741774,3.454135,5.7727146,5.107009,6.056317,1
9.889151,4.821059,4.571081,4.6945558,5.6905465,3.1738396,5.81233,6.334678,5.143588,5.2172832,2.2532513,4.6559553,3.0955217,0.6690017,5.3785686,8.989197,6.136852,6.2615376,-1.6948364,3.4325526,5.7625923,5.1183386,6.075507,1
9.891158,4.817979,4.577107,4.6867485,5.702782,3.1780167,5.801226,6.33933,5.133332,5.206034,2.2496672,4.666347,3.0975964,0.66800964,5.372852,8.982386,6.1477113,6.2737036,-1.6878223,3.4400396,5.7699223,5.1194105,6.070118,1
9.90411,4.7798967,4.6187463,4.6538653,5.7285256,3.2037537,5.78172,6.3807316,5.110768,5.1873784,2.2110872,4.6856675,3.1091814,0.6609553,5.3317227,8.993203,6.1851954,6.2983646,-1.7140621,3.4374676,5.8079634,5.131322,6.0829763,1
1.0815128,14.054854,4.597794,4.818152,5.1024027,3.3613439,5.4748693,4.3853693,4.552536,4.854831,4.7831607,4.795472,5.6818304,4.7825794,4.7898436,5.364377,4.518702,5.4211473,5.2515135,4.850003,5.1966896,4.65807,4.576184,2
1.0834272,14.055952,4.596085,4.819116,5.1014943,3.3631032,5.475415,4.3842216,4.550329,4.8542194,4.7825584,4.7942986,5.683252,4.783717,4.789823,5.3656607,4.5167294,5.4230957,5.2511663,4.8492985,5.199041,4.6565804,4.5747743,2
1.0583205,14.097196,4.560449,4.858046,5.128654,3.3737109,5.4690046,4.412971,4.572481,4.8637767,4.8020554,4.7694454,5.720849,4.8087535,4.7757707,5.3417506,4.535784,5.3996544,5.2228994,4.811813,5.1578617,4.6385775,4.5714755,2
1.0721889,14.06715,4.5878134,4.8319182,5.1121745,3.362836,5.474991,4.3939366,4.5588713,4.855201,4.7875276,4.784347,5.6938396,4.793744,4.783594,5.3579264,4.5227013,5.414395,5.2441664,4.837397,5.1773577,4.6495347,4.573121,2
1.0801622,14.044407,4.610932,4.805805,5.101347,3.3525867,5.470092,4.3863335,4.5577736,4.86042,4.7885923,4.8121915,5.668676,4.766017,4.7956448,5.360717,4.5265384,5.4168563,5.2546296,4.86008,5.2093506,4.6738605,4.5887804,2
1.0722502,14.019978,4.642689,4.7760954,5.1033044,3.330032,5.4575386,4.3934417,4.576586,4.875428,4.805483,4.855139,5.6372237,4.7235093,4.8075833,5.346921,4.551692,5.4009876,5.2589827,4.8827243,5.239847,4.7140713,4.622086,2
1.0907586,14.001138,4.650121,4.756361,5.08524,3.3397791,5.465071,4.3759847,4.5605884,4.864858,4.7926993,4.854701,5.623262,4.723247,4.819839,5.361885,4.53855,5.417469,5.2745914,4.9020343,5.2646723,4.7090397,4.6137156,2
1.0939921,13.9942465,4.6695027,4.746933,5.086942,3.3222969,5.449932,4.3804812,4.57062,4.8839874,4.811799,4.889003,5.609101,4.6897717,4.824131,5.3489556,4.5582476,5.4096785,5.262875,4.9094095,5.284161,4.745029,4.645713,2
1.0641088,14.017891,4.6487007,4.774074,5.110567,3.3223925,5.453416,4.400911,4.5850554,4.8808255,4.813308,4.8622055,5.632975,4.7165775,4.8065205,5.3385544,4.560783,5.392799,5.257603,4.883279,5.24937,4.7225995,4.632292,2
1.0715734,14.013346,4.6530666,4.7654266,5.1074266,3.3234687,5.4512954,4.397828,4.58234,4.8832536,4.8159204,4.874263,5.626407,4.704596,4.808749,5.3382335,4.561961,5.396216,5.253404,4.889633,5.262768,4.7307477,4.6365457,2
1.0698582,14.043457,4.634976,4.7961855,5.124578,3.317575,5.435469,4.412058,4.5857496,4.9055715,4.8411317,4.8854847,5.651229,4.69512,4.78546,5.3210073,4.5715733,5.3908052,5.2258477,4.86002,5.264284,4.750901,4.658517,2
