0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,class_numeric
2.7614222,9.946675,9.988061,6.6144705,9.224328,1.6265882,2.9424896,3.921961,3.7063568,4.0477266,3.17915,3.2573347,4.745195,5.5071626,5.140871,4.480606,4.2785435,5.4727387,5.2779717,3.997852,5.5981383,3.2373652,4.0614157,4.453115,3.7933269,4.147078,6.9663153,7.774226,5.2946267,6.216696,6.6246057,4
2.934367,10.089821,10.097112,6.5471487,9.193383,1.5866032,2.9462924,3.8906868,3.7140007,4.0961156,3.1173215,3.1675248,4.6426,5.4776993,5.102507,4.5398955,4.223947,5.580814,5.2202573,3.9755154,5.4575605,3.1774313,4.028423,4.40318,3.8031754,4.176222,6.9925675,7.8689566,5.242902,6.1770635,6.6633124,5
8.630941,10.846445,6.033748,8.042709,8.663914,5.367826,2.7036622,4.63993,5.408609,3.2359374,4.57758,3.2010932,5.609004,6.252169,3.9626179,5.9867315,4.38664,5.7081013,5.2912393,4.70864,5.9006553,2.1011407,5.6219206,5.338327,3.032695,4.1398273,5.871658,6.58726,4.4003215,5.679419,4.651716,0
8.61449,10.896911,5.8511066,8.194911,8.607795,5.64855,2.745385,4.6651793,5.5612087,3.208423,4.59235,3.22556,5.4976735,6.223715,3.9826343,6.137283,4.397867,5.774381,5.2345796,4.7360744,5.976556,1.953625,5.6791787,5.3221264,2.9929593,4.2266655,5.9125714,6.692295,4.2634635,5.6051955,4.667036,1
9.181841,10.814285,5.724103,8.374658,8.920978,5.2767973,2.4922516,4.6602244,5.2589316,3.586183,4.5133486,3.18467,5.392128,6.0797105,4.0083604,5.914132,4.511426,6.0836816,5.5756416,4.696665,5.815641,1.9906517,5.869357,5.5694532,3.3179164,4.499716,5.8931,6.83753,4.2519107,5.9916234,4.6991467,2
9.150871,10.777733,5.7462277,8.33824,8.892051,5.3013525,2.463653,4.6612935,5.266869,3.5633473,4.4779215,3.221842,5.3849545,6.040482,4.006555,5.905419,4.5481114,6.088604,5.5619354,4.6732054,5.844887,2.001288,5.832074,5.5304213,3.281197,4.472606,5.9328675,6.8113775,4.269289,5.9831705,4.73769,3
8.599416,10.857897,5.8026376,8.186138,8.572855,5.7047043,2.7581103,4.6136494,5.579646,3.2021327,4.6443644,3.1794765,5.5097694,6.260552,3.9448888,6.1209807,4.335365,5.781568,5.2011914,4.786215,5.9351544,1.9545708,5.661488,5.3539667,2.9533596,4.221572,5.846101,6.699327,4.2847667,5.559643,4.625644,4
8.581211,10.860289,5.843387,8.163601,8.557794,5.679507,2.7796674,4.611394,5.571645,3.1815748,4.640903,3.181633,5.525226,6.2793007,3.9476135,6.1127214,4.3326917,5.7525334,5.1854534,4.7765465,5.9376273,1.9724975,5.6399636,5.3420777,2.946047,4.1975527,5.8436093,6.673689,4.2997017,5.551762,4.6172204,5
2.613359,9.810135,9.875199,6.718259,9.223699,1.7047946,2.9256258,3.9760942,3.7213154,3.973019,3.185477,3.3908012,4.855247,5.5233216,5.1283035,4.4284024,4.373651,5.341758,5.322595,3.9996285,5.7426214,3.3009112,4.1006827,4.5084443,3.7707872,4.131343,6.956448,7.6392875,5.396667,6.2327137,6.574113,0
2.9914088,10.102554,10.107772,6.535096,9.12182,1.6332232,2.9020684,3.9479802,3.7740407,4.1180935,3.0372972,3.1282175,4.5770197,5.40436,5.025449,4.5843987,4.218167,5.5738034,5.1461368,3.9004042,5.420159,3.1110332,4.061172,4.4041176,3.7419338,4.131113,6.922762,7.8600035,5.2412314,6.136775,6.6346273,1
