0,1,2,3,4,5,6,7,active_hand
0.30997467,-3.5380266,5.3934565,2.2883387,7.547186,11.766384,1.829229,0.5587375,0
8.0515585,11.2473,4.3587685,8.626282,5.039384,5.3011,3.5248194,-0.05637195,1
0.32756528,-3.544154,5.402828,2.3064063,7.5389485,11.753069,1.8239912,0.5440192,0
8.052578,11.243161,4.366678,8.622099,5.0399714,5.2959414,3.535439,-0.06514154,1
0.31626785,-3.561917,5.3789682,2.3188565,7.499094,11.774254,1.7932669,0.5674467,0
8.052104,11.244757,4.3682494,8.621252,5.038622,5.297233,3.5344727,-0.06688615,1
0.31362587,-3.5726264,5.3656693,2.328962,7.4795003,11.78682,1.7773634,0.58091027,0
8.052787,11.239688,4.374079,8.618824,5.0404496,5.291542,3.5465758,-0.073276475,1
0.3152153,-3.5688002,5.3705516,2.326347,7.4849486,11.782195,1.7821109,0.5759082,0
8.060145,11.247482,4.344219,8.62585,5.047198,5.3031135,3.5076106,-0.0396594,1
0.30943063,-3.5702162,5.364452,2.3258545,7.478613,11.78877,1.7773232,0.58324605,0
8.05297,11.243296,4.367471,8.621678,5.0398574,5.295848,3.536202,-0.06606733,1
0.3140952,-3.5815258,5.3476315,2.338883,7.461521,11.806107,1.7614207,0.60142964,0
8.052079,11.248009,4.3651156,8.622053,5.037536,5.300851,3.5267494,-0.063442275,1
0.31028274,-3.5764353,5.355368,2.3324242,7.4686456,11.7979555,1.7685026,0.59310776,0
8.051793,11.252647,4.3619003,8.622351,5.03588,5.305866,3.5169988,-0.059885293,1
0.3170215,-3.5357337,5.4051423,2.2890725,7.5532084,11.752159,1.8345754,0.543748,0
5.845073,11.189647,4.4406605,7.1245675,5.011589,5.481711,2.9445536,-0.26797515,1
0.31996468,-3.5396166,5.4015107,2.2944436,7.548772,11.7566395,1.8301244,0.5476176,0
5.852868,11.187957,4.434637,7.1180177,5.0039387,5.4781137,2.937184,-0.274087,1
0.31923184,-3.5450115,5.3972015,2.299499,7.5345054,11.758002,1.8201965,0.55010426,0
