0,1,2,class_numeric
-2.7016191,-4.3980713,10.136509,1
-2.3787866,-3.9408438,10.290572,1
-2.3560812,-3.906206,10.305956,1
-2.3592422,-3.9214933,10.307147,1
-2.4072418,-3.9843876,10.26156,1
-2.8128655,-4.5738688,10.069379,2
-2.8540967,-4.7784233,9.862533,2
-2.8805263,-4.838359,9.805992,2
-2.7466123,-4.8379703,9.808245,2
-2.3449361,-5.021318,9.668429,2
-2.5336645,-5.01793,9.634579,2
-2.5825622,-5.183361,9.427904,2
-2.4582362,-5.2426953,9.382257,2
-2.4697902,-5.2539682,9.362268,2
-2.414078,-5.268908,9.361967,2
-2.3507078,-5.293577,9.356162,2
-2.2249193,-5.34768,9.331937,2
-1.6484452,-5.6108313,9.168737,3
-1.66149,-5.6085167,9.168127,3
-1.6792115,-5.612905,9.150833,3
-1.6665983,-5.633456,9.140152,3
-1.6545542,-5.6149735,9.162789,3
-1.6772147,-5.6351323,9.137596,3
-1.5489709,-5.5683217,9.244277,3
-1.6567919,-5.5031285,9.295838,3
-1.812804,-5.27803,9.505034,3
-1.9651463,-5.171999,9.585529,3
-3.6103568,-5.6089754,8.450704,3
-3.628946,-5.60453,8.458095,3
-3.6286368,-5.438734,8.750903,4
-3.6296136,-5.46545,8.735203,4
-3.6254284,-5.456424,8.753871,4
-3.5445929,-5.5334616,8.804274,4
-3.5229225,-5.5524793,8.818116,4
-3.6607738,-5.4510465,8.7094345,4
-3.5838904,-5.4933877,8.773907,4
-3.588079,-5.4873424,8.773188,4
-3.6133144,-5.46443,8.754098,4
-3.6360617,-5.460774,8.732715,4
-3.6403813,-5.443553,8.726409,4
-3.5888278,-5.48989,8.773117,4
-3.9552693,-5.3944163,8.327793,5
-3.9570293,-5.4217734,8.324825,5
-3.9491374,-5.420879,8.322275,5
-3.9808517,-5.402233,8.318272,5
-3.961959,-5.426483,8.319255,5
-3.94785,-5.3959465,8.349605,5
-3.947834,-5.391908,8.356966,5
-3.95284,-5.395404,8.343185,5
-3.8966277,-5.419241,8.399931,5
-3.9176264,-5.4185243,8.370191,5
-3.9394708,-5.379914,8.366107,5
-3.9443464,-5.3837433,8.380665,5
5.035761,11.4070835,13.438185,0
4.9785714,11.433254,13.453055,0
4.9702315,11.412723,13.446942,0
4.92887,11.410871,13.449661,0
4.82799,11.517808,13.523432,0
4.8018365,11.599888,13.551882,0
4.797785,11.572336,13.548019,0
4.78245,11.556104,13.541087,0
4.7857203,11.529104,13.536106,0
4.73054,11.474403,13.510412,0
4.752601,11.511936,13.526749,0
4.7891994,11.538878,13.534084,0
6.288155,11.94726,13.84988,1
6.3035593,11.963613,13.84842,1
6.3084035,11.96829,13.8467245,1
6.300519,11.965691,13.8450365,1
6.307712,11.968386,13.848066,1
6.3098235,11.968434,13.848822,1
6.3105755,11.970177,13.847929,1
6.3449845,12.007201,13.829564,1
6.2049375,11.845629,13.882844,1
6.31907,11.979959,13.847271,1
6.3271565,11.985968,13.847115,1
6.3245716,11.983062,13.849011,1
2.8070786,17.714422,8.123532,2
2.8211794,17.729004,8.138776,2
