0,1,2,3,4,5,6,7,8,9,10,11,class_numeric
-3.4291735,1.0971136,4.54296,6.885267,3.8433025,3.7768338,5.3404813,6.4096155,2.8078067,4.1824183,5.3225174,3.9894402,5
10.890856,8.809617,4.363414,3.452575,3.2705822,3.5784295,2.5500276,7.281374,3.7702467,4.3671727,3.785746,5.5986805,0
10.574578,8.744288,4.599709,3.353004,3.102573,3.5652351,2.7666142,7.494803,3.7198958,4.521202,3.9768872,5.5776725,1
10.624125,8.573393,4.732397,3.4019794,3.1537137,3.426349,2.9367273,7.358779,3.9090028,4.413355,4.08219,5.573186,2
10.515169,8.387864,4.9349556,3.4278722,3.1814003,3.3192086,3.1551208,7.34811,4.00114,4.421401,4.216184,5.5691814,3
10.73544,8.747771,4.5207367,3.4048712,3.1915734,3.5253687,2.7088141,7.3393965,3.8296342,4.4036756,3.9310842,5.5585213,4
10.702131,8.642175,4.646728,3.4011953,3.1705873,3.4462385,2.8527083,7.3139987,3.9229424,4.382461,4.0417147,5.5432796,5
-3.2216182,1.1166489,4.6943526,6.6504416,3.8910375,3.7102928,5.2255936,6.308059,2.8296127,4.2245817,5.472029,4.1298385,0
-3.2378094,1.1348653,4.6766214,6.6501184,3.8773777,3.7199242,5.180155,6.2717543,2.8396041,4.186648,5.5096993,4.1490145,1
1.6101052,1.6180059,6.08627,3.9276977,4.0471783,3.2228029,4.8475037,5.9627314,3.8885508,4.0778627,6.038854,5.8775105,2
1.5637438,1.6677616,6.0976315,3.9150867,4.0681324,3.1974974,4.870071,5.93918,3.9350207,4.113069,6.083467,5.8939753,3
-3.3244472,1.086784,4.665431,6.7187476,3.9191425,3.701999,5.237106,6.298784,2.783772,4.206234,5.4475856,4.146897,4
-3.3414378,1.0958779,4.612054,6.769436,3.8839495,3.7456634,5.2574525,6.3355856,2.8027184,4.1778812,5.4187384,4.091447,5
10.838764,8.743846,4.4346237,3.4494884,3.247353,3.5173054,2.6201382,7.275801,3.83528,4.342553,3.8597133,5.5801525,0
10.664491,8.72427,4.588473,3.3630157,3.1222413,3.532502,2.7712607,7.404213,3.7982106,4.449748,3.9754093,5.5776505,1
10.51198,8.375068,4.93997,3.4345076,3.1840968,3.3114061,3.159905,7.344091,4.009857,4.407751,4.222593,5.5849133,2
10.470164,8.321372,4.997476,3.4513988,3.201968,3.267417,3.22128,7.3280153,4.0519547,4.3954525,4.266673,5.592143,3
