0,1,2,3,4,class_numeric
-0.7830642,1.2243633,3.4699628,4.01393,5.8993397,1
0.34672746,1.271877,2.8065522,4.32775,6.2161775,2
-0.378123,1.4653325,3.3918247,4.19854,5.9088283,4
9.466195,1.378492,4.7797375,6.3715096,4.0524697,0
13.068702,0.25399143,3.8892357,9.379863,3.5982869,1
12.955252,0.22048098,3.8266187,9.399597,3.5757143,2
13.216102,0.6288328,4.1029086,9.077033,3.5250008,4
13.058884,0.7437778,4.1701155,8.96268,3.5881593,5
3.048795,1.0465282,3.5979238,5.522646,5.1371264,0
-0.40017584,1.7531782,3.332579,4.1929727,5.9649963,4
9.470345,1.3314838,4.711951,6.4168763,4.180848,0
13.045355,0.5469702,4.1286273,9.194461,3.6414783,1
13.069376,0.15993945,3.9335415,9.503612,3.5760884,2
13.048029,0.62895447,4.1794925,9.113657,3.606131,4
2.828693,1.0950272,3.5897865,5.4585648,5.1940064,0
0.13622792,0.856623,2.7553678,4.1009784,6.272876,3
-0.44827795,1.7420775,3.2452164,4.1225133,6.032808,4
3.1555943,1.0289547,3.6197548,5.5439243,5.1050467,0
13.189838,0.46261734,4.035765,9.233446,3.5992963,1
12.992377,0.17834519,3.856446,9.44939,3.5901859,2
12.921139,0.45520332,4.032366,8.991783,3.5832849,3
13.162329,0.36795744,3.942523,9.269946,3.5868268,4
13.105648,0.7890031,4.192405,8.941318,3.5706253,5
0.23691767,1.3193507,3.2984786,4.5840926,5.7719536,0
0.13741258,1.2686771,2.7610092,4.180057,6.347652,2
9.460692,1.3884737,4.79802,6.370283,4.0586414,0
13.048719,0.35307318,4.0334516,9.384262,3.631305,1
13.118341,0.20721953,3.968818,9.510006,3.5698593,2
13.135403,0.5793291,4.0859632,9.03505,3.5388875,3
13.196113,0.96119964,4.294611,8.763391,3.5338845,4
12.949915,0.99587387,4.2958946,8.89471,3.6127994,5
0.23948647,1.4178998,3.4571846,4.6767297,5.6591434,0
-0.486637,1.8361213,3.3479815,4.1696477,5.9635434,1
-0.2829973,1.6914471,3.1760893,4.1734247,6.0805016,2
-0.139671,1.4687632,2.8514416,4.0671144,6.2923317,3
-0.47429574,1.8660338,3.4418643,4.2493134,5.884591,4
-0.17049955,1.848741,4.149957,4.7412252,5.281823,5
12.987525,0.9017241,4.389313,8.348509,3.6222293,0
13.107224,0.32044837,3.9468486,9.355804,3.6460853,1
13.025205,0.17124261,3.8873525,9.467077,3.5941348,2
13.056209,0.4696344,3.9964495,8.956956,3.5341244,3
13.170585,0.43645093,3.9885356,9.217903,3.5557933,4
13.04925,0.7072647,4.1321735,8.991147,3.5869777,5
2.6401327,1.1383511,3.577335,5.3998747,5.2485194,0
-1.6234717,0.73152435,4.0723267,3.8298657,5.521343,1
0.12784228,1.3386177,3.648573,4.5285153,5.612131,2
0.17177592,1.597883,4.147869,4.864487,5.2010484,3
-1.608153,1.127097,4.5920076,4.1783915,5.114013,4
-1.9695884,1.2763436,4.6357713,4.0483756,5.119863,5
13.493269,2.4698446,4.7070093,6.778374,3.320672,0
10.691074,1.457312,4.673579,6.795681,4.248532,1
11.8974085,2.2138264,5.1790147,6.683587,4.0087037,2
13.579905,2.5783572,4.5030518,6.8812656,3.2135944,3
13.43065,2.6664762,4.667197,6.72874,3.3103795,4
9.259175,1.4734434,4.7374206,6.22232,4.6406903,5
-1.6056445,0.76018405,4.1285534,3.9155912,5.465575,0
-1.9860777,0.4640052,4.2283816,3.7133029,5.4067926,1
1.0570393,0.9486122,3.1580749,4.6417766,5.7924676,2
