0,1,2,3,4,5,6,7,8,9,class_numeric
12.3047085,7.7502127,4.260168,4.856804,3.946772,3.7367902,6.9644184,8.027752,2.9429772,8.293602,2
12.244855,7.6384616,4.18535,4.804655,3.9697332,3.7376661,6.9644647,8.011914,2.9614804,8.199817,3
12.380852,8.139666,4.524229,4.931653,4.023914,4.000029,6.7095227,8.11374,2.7264178,8.472972,4
12.310359,8.081771,4.4063993,4.97833,4.010824,3.912911,6.829988,8.139558,2.8084462,8.490092,5
-4.2601376,1.8511237,4.960112,6.4754405,5.508391,5.107103,4.304124,5.8867307,2.53283,7.838912,0
-4.4073987,1.7463233,4.9386992,6.599757,5.4817967,5.195386,4.332503,5.968206,2.4636893,7.9584794,1
0.9672474,2.1167533,6.743667,4.036262,4.453879,3.9590325,5.333026,6.368683,3.2671475,5.590782,2
0.9440716,2.0666835,6.724034,4.1265745,4.559388,3.9824219,5.313855,6.387092,3.2114272,5.6296144,3
-4.3245535,1.8822047,4.996653,6.5823655,5.6267705,5.0393534,4.382938,5.864875,2.3996022,7.948566,4
-4.3049545,1.9282581,4.9623146,6.6522284,5.676094,5.0261197,4.3664374,5.8178144,2.402089,8.007202,5
12.393099,8.169278,4.5941305,5.0323663,4.120841,4.0772533,6.6635823,8.135219,2.6950815,8.576312,0
12.217944,8.204384,4.429204,5.13769,4.032532,3.9277756,6.8439584,8.17571,2.8509367,8.631972,1
12.308558,7.9732423,4.361309,4.957412,3.9770792,3.8580773,6.8688602,8.116307,2.8553972,8.46587,2
12.296658,7.666793,4.1695952,4.792061,3.933204,3.7077346,6.995098,7.9964685,2.9868915,8.210011,3
12.353999,8.132582,4.500277,4.9430633,4.0806255,4.006158,6.734166,8.119308,2.7424085,8.479516,4
12.3622675,8.024917,4.4352994,4.9161534,3.996029,3.9280984,6.781326,8.074964,2.7807467,8.421147,5
-4.059736,1.9869926,5.158558,6.4052286,5.604137,5.0707774,4.475394,5.8165174,2.5997057,7.7681475,0
-4.0107946,2.019771,5.200745,6.3710546,5.612305,5.049526,4.5208097,5.7558737,2.6018963,7.7358017,1
0.92882407,2.1359954,6.7837877,4.0346,4.487551,3.942304,5.344021,6.3788843,3.2886615,5.5940943,2
0.9250306,2.1359615,6.7805347,4.040371,4.4928274,3.9423842,5.343379,6.3734164,3.2851505,5.597695,3
