0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class_numeric
-3.4714484,8.912284,4.6579075,3.6022003,4.8454227,4.6852946,5.8511457,7.6007776,6.099299,4.1536517,4.9050474,5.437402,6.2202063,5.8067026,5.4419656,2.9230587,8.444994,1
-3.3502717,8.79825,4.7724495,3.6532261,4.951172,4.5554028,5.724524,7.592367,6.21321,4.1491356,4.7765117,5.535048,6.210362,5.773596,5.554574,2.8040934,8.558275,2
-3.454775,8.552842,4.7929807,3.7876823,5.0669475,4.4081817,5.743704,7.5081115,6.306261,4.249344,4.617604,5.4580297,6.221457,5.7744546,5.701493,2.8105788,8.686138,3
-3.3284903,8.938943,4.746874,3.610656,4.903632,4.613781,5.7416487,7.6005206,6.179212,4.126782,4.840835,5.5526867,6.2144427,5.775912,5.493831,2.8278496,8.518296,4
-3.3150396,8.886821,4.739657,3.641352,4.969248,4.5464344,5.742366,7.613047,6.2081866,4.1258216,4.7759876,5.5605984,6.208001,5.796441,5.557189,2.8330383,8.566521,5
12.506164,1.0058208,5.890032,7.0160213,4.009039,4.933127,3.900996,5.905535,7.491204,4.0070796,4.801321,4.8531065,4.8129,5.685113,4.9004226,2.7222128,6.842963,0
12.514535,1.0172569,5.8693643,7.0610228,3.9824033,4.904413,3.8742797,5.8682694,7.452897,4.040933,4.8297267,4.8316345,4.785443,5.685484,4.9248857,2.6898315,6.8094788,1
7.5894475,1.0269964,6.924146,3.9478934,5.570997,4.1238112,2.8482416,5.4787135,7.005476,4.348485,5.581455,4.3546104,5.9528284,5.302948,5.6581607,2.7575264,7.064212,2
7.5383534,1.0689214,6.8593726,3.9682913,5.6321936,4.148793,2.8791308,5.5069513,6.9587555,4.326924,5.581255,4.36267,5.897643,5.370395,5.5881248,2.7004213,7.074823,3
12.583355,0.97082865,5.8116035,7.16543,3.9271405,4.884106,3.8655732,5.8411083,7.420211,4.060462,4.852747,4.825339,4.734439,5.682756,4.932499,2.6711047,6.757268,4
12.61428,0.95843756,5.8061132,7.181169,3.9224968,4.9019556,3.882709,5.851369,7.425758,4.051658,4.840399,4.8395333,4.730469,5.692155,4.9169602,2.6718671,6.7606816,5
-3.2173,9.033953,4.6644,3.587897,4.9251175,4.648058,5.8393087,7.708387,6.1075044,4.0109777,4.891775,5.622223,6.2252903,5.8062677,5.4652534,2.9183974,8.436997,0
-3.4258878,8.917363,4.711855,3.5808313,4.8202667,4.719604,5.7982097,7.5696235,6.1197643,4.1767645,4.9371777,5.442702,6.2592916,5.7610955,5.4098425,2.868721,8.434744,1
-3.436957,8.585319,4.778824,3.758869,5.044996,4.442635,5.7472396,7.5235524,6.284256,4.228971,4.652148,5.463754,6.2194433,5.7780504,5.669844,2.8194847,8.653016,2
-3.4664612,8.491292,4.8121285,3.8193746,5.104334,4.3734236,5.7272887,7.483046,6.339121,4.275205,4.5799026,5.4467583,6.218984,5.7762713,5.738326,2.7946055,8.7152605,3
-3.4304287,8.881794,4.728704,3.5821974,4.824011,4.717777,5.7911396,7.5536127,6.134904,4.1914196,4.9331994,5.4273434,6.263356,5.7515693,5.418475,2.8543038,8.435041,4
-3.4884486,8.773306,4.720219,3.607936,4.864261,4.7099266,5.8202763,7.5435343,6.136739,4.2121773,4.916271,5.37958,6.2591276,5.7681603,5.4489684,2.8692255,8.4205885,5
11.049777,1.9783282,6.2904735,5.87873,4.3401823,3.8822546,2.5584593,4.93825,7.042005,4.6153197,5.68598,4.024128,5.108505,5.2835526,6.086886,2.2611196,6.089747,0
10.960302,2.017275,6.2854834,5.841815,4.354809,3.850387,2.502382,4.8790183,7.0061817,4.643982,5.7240496,4.010389,5.110444,5.294269,6.115654,2.209503,6.04043,1
7.9953647,1.0199288,6.9972878,3.8461323,5.5046163,4.107137,2.7654324,5.385787,7.089158,4.340977,5.608934,4.3462367,6.0459957,5.176108,5.7802396,2.8487756,6.9800377,2
7.9472075,0.9745151,7.0246806,3.7888136,5.5414486,4.094611,2.77688,5.408217,7.05962,4.3278475,5.6178055,4.3595905,6.059175,5.180717,5.7509985,2.859921,7.017127,3
10.692013,2.0039935,6.200631,6.0585713,4.37528,3.820088,2.5601287,4.946732,6.9558783,4.6457524,5.6545677,4.0551133,4.954363,5.4088407,5.946015,2.196161,6.17064,4
8.76159,1.6088157,6.1531606,5.149302,5.1005387,4.0306997,2.5101483,5.2066207,7.186036,4.27461,5.352484,4.529936,5.376931,5.928301,5.4336176,1.9802817,6.717003,5
-3.7699666,2.088334,4.2416444,2.8527796,6.1829734,6.6911106,6.7787437,7.973067,5.283175,3.527865,5.43357,4.250046,6.0135717,5.7502127,5.2409544,3.740664,5.731941,0
-3.7002075,2.2788234,4.2577744,3.0458493,6.423971,6.5453997,6.849947,7.9124966,5.294713,3.6927094,5.342832,4.338167,5.969412,5.9655204,5.3608203,3.4183302,5.524813,1
-1.222393,1.0353384,4.426939,3.3586724,5.6197143,5.5989985,5.4045105,7.463819,6.0756383,3.9935155,5.334044,3.8690498,5.855345,6.0467124,5.223749,2.8240886,6.605226,2
-1.2702864,1.1284827,4.4987593,3.3985605,5.719735,5.630358,5.482585,7.4040413,6.0360856,3.9942055,5.3944464,3.8613312,5.940138,5.986849,5.299208,2.7618375,6.5437684,3
-3.7958443,2.1341722,4.395742,2.9394188,6.275612,6.688468,6.9187546,7.9814363,5.294219,3.6430457,5.4472766,4.2800474,6.1716223,5.7966285,5.354588,3.7293801,5.659397,4
-2.9421964,2.2714226,4.7506127,3.6897378,6.695511,6.1869984,6.838945,7.778145,5.558597,4.4760942,5.406336,4.17109,6.3551936,6.2427096,5.9213414,2.8750331,5.4949856,5
10.546115,1.7855626,6.2124925,5.492225,4.619949,4.0792594,2.5368598,5.082812,7.2778835,4.3420362,5.488156,4.2826877,5.346782,5.5733824,5.8309517,2.1895623,6.313015,0
10.86816,2.0362053,6.29408,5.7391815,4.3943787,3.8288646,2.4418242,4.8311615,6.9850135,4.655825,5.7554636,4.007606,5.1426764,5.302102,6.1458607,2.168342,6.0015574,1
8.057228,0.94948936,7.0935707,3.729726,5.522491,4.062746,2.7227645,5.3428364,7.0718665,4.3620415,5.6588225,4.35229,6.1340346,5.086772,5.841072,2.9350564,6.9841785,2
7.9848247,0.95132524,7.056592,3.7512228,5.548365,4.074289,2.7545469,5.386612,7.052174,4.3362727,5.6368585,4.363784,6.0903745,5.147122,5.7779193,2.8885636,7.016837,3
9.672529,1.3985308,6.725402,4.339209,5.0971327,4.121728,2.5458214,5.175182,7.3845234,4.243304,5.5365796,4.324047,5.899623,5.2492814,5.967679,2.5963116,6.6319013,4
8.625111,1.3953613,6.486819,4.6555314,5.248612,4.074479,2.6264656,5.3118143,7.180835,4.2807746,5.447576,4.4377193,5.6205964,5.638566,5.5632415,2.3162844,6.843505,5
-0.993011,1.0843107,4.6540504,3.5065706,5.7245393,5.6133924,5.4466953,7.3091016,6.0472546,4.129097,5.4763126,3.896945,5.95892,5.94757,5.37469,2.6961212,6.5393186,0
-3.753076,2.0461197,4.3164725,2.8705623,6.1715345,6.7594843,6.796268,7.9687343,5.3106437,3.5894845,5.500753,4.2584085,6.0988564,5.7205367,5.261235,3.822161,5.761056,1
-1.3367202,1.1085519,4.4018097,3.3238456,5.6708517,5.634546,5.4671664,7.481637,6.0430136,3.9412007,5.3315916,3.8575625,5.894001,6.0226936,5.2381587,2.8327467,6.5639424,2
-1.169197,1.0852957,4.5370235,3.4265606,5.701041,5.613365,5.441155,7.3736143,6.0494604,4.030123,5.415709,3.865794,5.9349127,5.9783745,5.3043256,2.7401237,6.5645475,3
-3.6646204,2.645567,4.24104,3.2982585,6.797381,6.336492,6.974636,7.8402414,5.279623,3.8661323,5.197323,4.493397,5.8798556,6.3073616,5.530656,2.9467316,5.1868205,4
-1.0523686,0.93315476,4.784143,3.725071,5.6912675,5.603416,5.492113,7.230589,6.0277214,4.456402,5.559822,3.9770267,5.910807,6.0181417,5.4105463,2.6393,6.5474396,5
10.38596,1.483735,6.3513,5.4232197,4.822184,4.1939692,2.8503869,5.5264096,7.5341735,4.114844,5.1979723,4.3953266,5.4002323,5.5409765,5.5803933,2.6007445,6.914326,0
10.890372,2.0390167,6.3063407,5.785207,4.3898644,3.8093567,2.4592516,4.8371,6.967167,4.6724005,5.758448,3.9918346,5.1150613,5.283918,6.145694,2.190307,6.0153894,1
8.114373,0.97857475,7.0541644,3.783539,5.499608,4.0784435,2.7326355,5.3570642,7.0944104,4.3401804,5.633609,4.3552246,6.099292,5.1220627,5.826597,2.898494,6.9781485,2
7.9923067,0.9338251,7.073657,3.7303767,5.5608754,4.063364,2.7482576,5.3791904,7.0393114,4.344005,5.6520066,4.3635736,6.1064577,5.131278,5.7933183,2.9054263,7.0222454,3
