score,data_unit,n,k,subcode,sub2code,reducer_name,kernel_name
0.9853820598006644,AHpf,4,17,w2,reduce,pca,
0.9780730897009967,AHpf,4,18,w2,reduce,pca,
0.9807308970099667,AHpf,4,19,w2,reduce,pca,
0.9867109634551495,AHpf,4,20,w2,reduce,pca,
0.9800664451827242,AHpf,4,21,w2,reduce,pca,
0.9820598006644519,AHpf,4,22,w2,reduce,pca,
0.9847176079734219,AHpf,4,23,w2,reduce,pca,
0.9774086378737542,AHpf,4,24,w2,reduce,pca,
0.986046511627907,AHpf,4,25,w2,reduce,pca,
0.9833887043189369,AHpf,4,26,w2,reduce,pca,
0.9813953488372092,AHpf,4,27,w2,reduce,pca,
0.9847176079734219,AHpf,4,28,w2,reduce,pca,
0.986046511627907,AHpf,4,29,w2,reduce,pca,
0.9780730897009967,AHpf,4,30,w2,reduce,pca,
0.9827242524916944,AHpf,4,31,w2,reduce,pca,
0.9794019933554817,AHpf,5,1,w2,reduce,pca,
0.9847176079734219,AHpf,5,2,w2,reduce,pca,
0.9847176079734219,AHpf,5,3,w2,reduce,pca,
0.9900332225913622,AHpf,5,4,w2,reduce,pca,
0.9813953488372092,AHpf,5,5,w2,reduce,pca,
0.9833887043189369,AHpf,5,6,w2,reduce,pca,
0.988704318936877,AHpf,5,7,w2,reduce,pca,
0.9853820598006644,AHpf,5,8,w2,reduce,pca,
0.988704318936877,AHpf,5,9,w2,reduce,pca,
0.9880398671096345,AHpf,5,10,w2,reduce,pca,
0.9847176079734219,AHpf,5,11,w2,reduce,pca,
0.9847176079734219,AHpf,5,12,w2,reduce,pca,
0.9800664451827242,AHpf,5,13,w2,reduce,pca,
0.9794019933554817,AHpf,5,14,w2,reduce,pca,
0.9820598006644519,AHpf,5,15,w2,reduce,pca,
0.9900332225913622,AHpf,5,16,w2,reduce,pca,
0.9827242524916944,AHpf,5,17,w2,reduce,pca,
0.9840531561461794,AHpf,5,18,w2,reduce,pca,
0.9853820598006644,AHpf,5,19,w2,reduce,pca,
0.9827242524916944,AHpf,5,20,w2,reduce,pca,
0.9853820598006644,AHpf,5,21,w2,reduce,pca,
0.9813953488372092,AHpf,5,22,w2,reduce,pca,
0.9747508305647841,AHpf,5,23,w2,reduce,pca,
0.9767441860465116,AHpf,5,24,w2,reduce,pca,
0.9833887043189369,AHpf,5,25,w2,reduce,pca,
0.9840531561461794,AHpf,5,26,w2,reduce,pca,
0.9747508305647841,AHpf,5,27,w2,reduce,pca,
0.9820598006644519,AHpf,5,28,w2,reduce,pca,
0.9813953488372092,AHpf,5,29,w2,reduce,pca,
0.986046511627907,AHpf,5,30,w2,reduce,pca,
0.9787375415282392,AHpf,5,31,w2,reduce,pca,
0.9800664451827242,AHpf,6,1,w2,reduce,pca,
0.9807308970099667,AHpf,6,2,w2,reduce,pca,
0.9867109634551495,AHpf,6,3,w2,reduce,pca,
0.9853820598006644,AHpf,6,4,w2,reduce,pca,
0.9800664451827242,AHpf,6,5,w2,reduce,pca,
0.9853820598006644,AHpf,6,6,w2,reduce,pca,
0.9847176079734219,AHpf,6,7,w2,reduce,pca,
0.986046511627907,AHpf,6,8,w2,reduce,pca,
0.9820598006644519,AHpf,6,9,w2,reduce,pca,
0.9794019933554817,AHpf,6,10,w2,reduce,pca,
0.9867109634551495,AHpf,6,11,w2,reduce,pca,
0.9853820598006644,AHpf,6,12,w2,reduce,pca,
0.9800664451827242,AHpf,6,13,w2,reduce,pca,
0.9780730897009967,AHpf,6,14,w2,reduce,pca,
0.9807308970099667,AHpf,6,15,w2,reduce,pca,
0.9807308970099667,AHpf,6,16,w2,reduce,pca,
0.9760797342192691,AHpf,6,17,w2,reduce,pca,
0.9833887043189369,AHpf,6,18,w2,reduce,pca,
0.9800664451827242,AHpf,6,19,w2,reduce,pca,
0.9774086378737542,AHpf,6,20,w2,reduce,pca,
0.9800664451827242,AHpf,6,21,w2,reduce,pca,
0.9906976744186047,AHpf,6,22,w2,reduce,pca,
0.987375415282392,AHpf,6,23,w2,reduce,pca,
0.9800664451827242,AHpf,6,24,w2,reduce,pca,
0.9820598006644519,AHpf,6,25,w2,reduce,pca,
0.987375415282392,AHpf,6,26,w2,reduce,pca,
0.9827242524916944,AHpf,6,27,w2,reduce,pca,
0.9813953488372092,AHpf,6,28,w2,reduce,pca,
0.9820598006644519,AHpf,6,29,w2,reduce,pca,
0.9807308970099667,AHpf,6,30,w2,reduce,pca,
0.9800664451827242,AHpf,6,31,w2,reduce,pca,
0.9800664451827242,AHpf,7,1,w2,reduce,pca,
0.9880398671096345,AHpf,7,2,w2,reduce,pca,
0.986046511627907,AHpf,7,3,w2,reduce,pca,
0.9853820598006644,AHpf,7,4,w2,reduce,pca,
0.9840531561461794,AHpf,7,5,w2,reduce,pca,
0.9900332225913622,AHpf,7,6,w2,reduce,pca,
0.9853820598006644,AHpf,7,7,w2,reduce,pca,
0.9900332225913622,AHpf,7,8,w2,reduce,pca,
0.9847176079734219,AHpf,7,9,w2,reduce,pca,
0.9833887043189369,AHpf,7,10,w2,reduce,pca,
0.988704318936877,AHpf,7,11,w2,reduce,pca,
0.987375415282392,AHpf,7,12,w2,reduce,pca,
0.9827242524916944,AHpf,7,13,w2,reduce,pca,
0.9807308970099667,AHpf,7,14,w2,reduce,pca,
0.986046511627907,AHpf,7,15,w2,reduce,pca,
0.9827242524916944,AHpf,7,16,w2,reduce,pca,
0.9867109634551495,AHpf,7,17,w2,reduce,pca,
0.986046511627907,AHpf,7,18,w2,reduce,pca,
0.9787375415282392,AHpf,7,19,w2,reduce,pca,
0.9853820598006644,AHpf,7,20,w2,reduce,pca,
0.9820598006644519,AHpf,7,21,w2,reduce,pca,
0.9847176079734219,AHpf,7,22,w2,reduce,pca,
0.9813953488372092,AHpf,7,23,w2,reduce,pca,
0.986046511627907,AHpf,7,24,w2,reduce,pca,
0.9813953488372092,AHpf,7,25,w2,reduce,pca,
0.9794019933554817,AHpf,7,26,w2,reduce,pca,
0.9833887043189369,AHpf,7,27,w2,reduce,pca,
0.986046511627907,AHpf,7,28,w2,reduce,pca,
0.9833887043189369,AHpf,7,29,w2,reduce,pca,
0.9853820598006644,AHpf,7,30,w2,reduce,pca,
0.9767441860465116,AHpf,7,31,w2,reduce,pca,
0.9760797342192691,AHpf,8,1,w2,reduce,pca,
0.986046511627907,AHpf,8,2,w2,reduce,pca,
0.9833887043189369,AHpf,8,3,w2,reduce,pca,
0.9833887043189369,AHpf,8,4,w2,reduce,pca,
0.988704318936877,AHpf,8,5,w2,reduce,pca,
0.9840531561461794,AHpf,8,6,w2,reduce,pca,
0.987375415282392,AHpf,8,7,w2,reduce,pca,
0.9880398671096345,AHpf,8,8,w2,reduce,pca,
0.988704318936877,AHpf,8,9,w2,reduce,pca,
0.9853820598006644,AHpf,8,10,w2,reduce,pca,
0.9880398671096345,AHpf,8,11,w2,reduce,pca,
0.9847176079734219,AHpf,8,12,w2,reduce,pca,
0.9847176079734219,AHpf,8,13,w2,reduce,pca,
0.9847176079734219,AHpf,8,14,w2,reduce,pca,
0.9794019933554817,AHpf,8,15,w2,reduce,pca,
0.9807308970099667,AHpf,8,16,w2,reduce,pca,
0.9820598006644519,AHpf,8,17,w2,reduce,pca,
0.9820598006644519,AHpf,8,18,w2,reduce,pca,
0.9774086378737542,AHpf,8,19,w2,reduce,pca,
0.986046511627907,AHpf,8,20,w2,reduce,pca,
0.9794019933554817,AHpf,8,21,w2,reduce,pca,
0.9794019933554817,AHpf,8,22,w2,reduce,pca,
0.9820598006644519,AHpf,8,23,w2,reduce,pca,
0.988704318936877,AHpf,8,24,w2,reduce,pca,
0.9840531561461794,AHpf,8,25,w2,reduce,pca,
0.9767441860465116,AHpf,8,26,w2,reduce,pca,
0.9813953488372092,AHpf,8,27,w2,reduce,pca,
