0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,class_numeric
9.450969,3.8805332,4.5554466,5.130178,5.1310954,6.076723,7.3474226,6.526506,-6.528854,4.5818295,4.679258,2.1218486,5.372379,5.050452,5.7433434,3.2418237,4.3274584,5.254189,5.0365925,6.143293,4.753208,5.402219,4.852621,4.895032,5.1162395,0
9.451495,3.8804638,4.55417,5.1284223,5.129683,6.0773563,7.34947,6.5269537,-6.5286393,4.582686,4.67664,2.1219926,5.3719673,5.048085,5.7435203,3.2415302,4.327687,5.255534,5.0365825,6.1444683,4.750638,5.402848,4.8524,4.8950863,5.1135445,0
8.007024,4.3310127,4.561032,4.9278607,5.146218,5.440262,7.4059587,6.064049,3.1804109,5.4673233,5.389856,15.198919,2.9234176,3.9904766,3.865204,3.3136685,5.2188525,4.704708,6.7709785,5.4443316,4.787796,4.7960696,5.3229,5.114123,4.992403,1
8.01152,4.333127,4.565619,4.9279604,5.1446905,5.443582,7.405832,6.067292,3.1822407,5.4651675,5.392758,15.196504,2.9225771,3.9873097,3.8643582,3.3188407,5.2160597,4.705816,6.7743306,5.4370522,4.792466,4.7952065,5.321857,5.11584,4.9926515,1
8.004323,4.3341055,4.5598874,4.915957,5.1547794,5.4387426,7.405739,6.0492406,3.1768205,5.4675474,5.373145,15.186526,2.9325948,4.0061355,3.878455,3.3134632,5.2302604,4.701755,6.7544856,5.4560666,4.774819,4.8031664,5.353368,5.120924,4.9942884,1
7.984577,4.322893,4.541075,4.903656,5.1773763,5.421805,7.407461,6.0207744,3.159953,5.4814057,5.342539,15.188438,2.9496582,4.035576,3.8961537,3.293745,5.2554774,4.6871834,6.724187,5.4885564,4.7460537,4.821085,5.3856807,5.11404,4.996514,1
8.004571,4.3409576,4.561305,4.9021416,5.1616297,5.4414654,7.4039783,6.037053,3.1769292,5.463415,5.3574286,15.172196,2.9417117,4.0198054,3.8931053,3.3146846,5.239154,4.701133,6.7401123,5.4661045,4.765488,4.8093185,5.3838406,5.130986,4.9970493,1
7.9720798,4.3230357,4.5287395,4.902283,5.1785274,5.4127026,7.4086556,6.0136337,3.1594336,5.4836793,5.338873,15.187151,2.9502046,4.041576,3.8971925,3.278871,5.2606444,4.6857977,6.7170577,5.516124,4.7277665,4.821122,5.394236,5.1155715,4.9969225,1
7.974562,4.3263707,4.530441,4.9016576,5.1738772,5.4163013,7.405184,6.0167947,3.1639042,5.479483,5.340489,15.189746,2.948425,4.038984,3.8979092,3.2787051,5.257252,4.6905985,6.719864,5.5151935,4.7331705,4.8172216,5.3890085,5.117162,4.9947114,1
7.996434,4.3368783,4.5531044,4.901555,5.164514,5.434364,7.4024944,6.028869,3.173102,5.468108,5.3498044,15.176787,2.943551,4.027867,3.8958282,3.3048127,5.2456923,4.700019,6.731532,5.4833355,4.7545905,4.8107953,5.3893404,5.1267166,4.994765,1
