0,1,2,3,4,5,6,7,8,9,10,11,12,13,class_numeric
3.5560784,4.92888,7.1137085,5.98054,4.360029,6.2351236,5.531125,8.176761,8.282653,3.2814858,6.229122,6.9948187,3.0465088,4.1640353,0
3.400566,4.7568617,7.0505567,6.015355,4.390281,6.265476,5.6798286,8.072605,8.351223,3.2813396,6.1720753,6.9855676,3.0948954,4.1024327,1
3.161302,4.221697,6.9350715,6.2846932,4.570625,6.5115814,5.9508944,7.940465,8.131749,3.623108,6.3879104,6.7815876,3.266322,4.3887143,2
7.03955,4.967896,5.91252,8.918856,5.9529696,7.515017,6.8772445,8.869638,4.7850585,5.250651,5.7645054,4.545103,2.2676163,8.614872,0
7.169526,4.8131423,5.6020074,9.202545,6.016184,7.618281,6.4428253,8.640367,5.062506,5.178408,5.4083233,4.3454185,2.2696996,8.8354225,1
7.048623,4.8862276,5.6145024,9.156711,6.022887,7.5383205,6.5275025,8.72608,5.0844383,5.250446,5.4620934,4.364612,2.2576344,8.856567,2
3.5967438,4.99618,7.0806284,6.019752,4.331036,6.2284794,5.5650373,8.088271,8.346503,3.2200775,6.2315197,7.0385017,3.0181181,4.1012893,0
3.4916067,4.6345434,7.0630655,5.878494,4.4156585,6.293987,5.66843,8.163831,8.411744,3.280623,6.226765,6.9468093,2.9513037,4.058033,1
3.1241798,4.1491127,6.9661026,6.2891006,4.6558475,6.5323358,5.923824,7.9090266,8.133281,3.6944914,6.4881907,6.7378335,3.2603388,4.414614,2
6.9548063,4.9814944,5.9460044,8.82182,5.9021435,7.494208,6.8775864,8.914098,4.823642,5.2137794,5.857772,4.574752,2.309843,8.525657,0
7.136332,4.812867,5.64597,9.202962,6.043185,7.5695825,6.497745,8.651313,5.0847306,5.23459,5.45043,4.3037114,2.2043393,8.822491,1
7.0485797,4.860217,5.691163,9.18969,6.027019,7.5377827,6.6577106,8.788025,5.0134177,5.2528954,5.5594206,4.35983,2.2813466,8.81424,2
2.5969021,4.4663687,6.8981824,6.70924,4.5079827,6.986442,6.735993,8.436035,6.9695153,4.3875403,6.502231,6.1833925,3.8917387,5.5256047,0
2.8499856,4.5583377,6.9932065,6.8794866,4.536848,7.15913,7.1233635,8.298128,6.978113,4.503026,6.9361777,5.9421544,3.954863,6.0236998,1
3.0562935,3.761051,6.733479,6.73043,4.5861545,6.9950204,6.563915,7.9868855,7.5377536,3.9421096,6.1805625,6.6256976,3.4679914,4.712148,2
6.7813344,4.893242,6.2361712,8.687664,5.778603,7.358651,7.1109247,8.93202,4.8083706,5.227813,6.1256843,4.828862,2.3786635,8.072179,0
8.067396,4.338385,6.324458,9.80907,6.141554,7.3239017,7.553389,8.619272,4.3810925,5.775165,6.0382414,4.6185813,1.990114,8.551123,1
8.214222,4.00626,6.232595,10.736287,6.171882,7.435549,7.2844,7.9156404,4.709749,5.910011,4.927022,4.530606,1.9479862,8.451371,2
3.9772813,4.855718,6.5252657,7.27911,4.9271846,7.1105075,6.68377,8.8925,6.359394,4.591613,6.615086,5.4614277,3.3648305,6.5479283,0
2.9396172,4.575863,7.01299,6.9046288,4.5423565,7.1737847,7.1600995,8.299807,6.9630256,4.511605,6.953716,5.926795,3.9320588,6.070963,1
3.0310042,3.6712132,6.632949,6.626242,4.636127,6.932581,6.513583,7.9832644,7.463918,3.8476543,6.2744427,6.7341676,3.4289286,4.7691417,2
4.9130487,5.2641554,6.0917077,7.570885,5.0330205,7.153966,6.5600405,9.430675,5.9303923,4.588668,6.4367056,5.0776987,3.011613,7.147142,0
7.985577,4.429924,6.210155,9.735313,6.145167,7.34572,7.4345374,8.745942,4.4535007,5.694525,6.108425,4.492624,2.0177076,8.597623,1
8.245613,4.0395675,6.17875,10.732099,6.2050624,7.479035,7.227142,7.9455657,4.7027206,5.8700566,4.8696837,4.4736795,1.914182,8.491469,2
