0,1,2,3,4,5,class_numeric
13.010552,2.9868367,7.5352697,-3.7272458,4.081464,3.3878665,0
13.024418,2.9936051,7.547329,-3.7482715,4.0785103,3.3859556,0
13.031534,3.0431352,7.560264,-3.8156595,4.094993,3.3060822,0
13.047113,3.050467,7.542705,-3.8253658,4.1071963,3.33215,0
12.924269,3.4319735,7.792527,-4.1247234,4.3484445,2.7574296,0
12.938306,3.420092,7.780366,-4.1116834,4.3350887,2.766729,0
12.945145,3.410696,7.769241,-4.1036973,4.327438,2.779748,0
12.940906,3.4154596,7.773054,-4.1091723,4.332089,2.7754226,0
12.939266,3.4164472,7.770115,-4.1112165,4.3340464,2.7768505,0
12.939378,3.4176838,7.7776923,-4.110328,4.333709,2.7710118,0
12.942014,3.4104457,7.7669516,-4.1065817,4.3301945,2.7855608,0
8.29136,5.7807903,5.9918604,-7.525234,8.226621,5.7616796,1
8.253266,5.76663,5.964295,-7.494393,8.243668,5.734884,1
8.217189,5.7740936,5.897469,-7.4586606,8.303451,5.6685247,1
8.247202,5.796234,5.8936734,-7.482572,8.309675,5.665673,1
8.275281,5.763691,5.9990635,-7.5106053,8.215196,5.768442,1
8.271288,5.7935157,5.930702,-7.509999,8.281316,5.701672,1
8.272908,5.7834864,5.9497504,-7.511214,8.263376,5.721685,1
8.238964,5.768725,5.9312725,-7.4801645,8.273983,5.702329,1
8.239343,5.7478623,5.952225,-7.4793286,8.255293,5.722898,1
8.232204,5.7548656,5.9398847,-7.4738154,8.268812,5.7112126,1
8.269239,5.804645,5.8899765,-7.510643,8.319851,5.6611753,1
8.277578,5.7482147,6.0258827,-7.5106397,8.189499,5.795206,1
7.6987343,5.5135236,5.7398553,-7.036235,8.329287,5.492187,2
7.659913,5.493681,5.7267003,-7.003796,8.343339,5.470464,2
7.403496,5.3836107,5.6223392,-6.793492,8.41249,5.3330927,2
7.285923,5.310229,5.61486,-6.698503,8.467053,5.275541,2
7.2142386,5.275363,5.5828114,-6.6362867,8.470435,5.226594,2
6.641697,4.5802045,5.73472,-6.139914,8.563921,4.6377306,2
6.6216016,4.558092,5.7230463,-6.1193066,8.550085,4.6174035,2
6.6630697,4.6017947,5.6908627,-6.1616974,8.520611,4.659727,2
6.6216025,4.557132,5.731306,-6.1194153,8.554957,4.616487,2
6.623557,4.561734,5.730312,-6.122395,8.557964,4.6195908,2
6.6208887,4.5638795,5.7354307,-6.1196566,8.568044,4.6180973,2
6.6194854,4.5585265,5.7345414,-6.118685,8.56286,4.6157527,2
7.642996,5.9375453,1.3236829,1.6474615,1.8218741,16.145494,0
7.642057,5.936461,1.3440591,1.6534191,1.8385732,16.151604,0
7.64821,5.9516044,1.3580115,1.6664175,1.8527871,16.167885,0
7.6119933,5.8875704,1.2509352,1.6321018,1.7617236,16.086208,0
7.62245,5.8771086,1.185956,1.600977,1.7000659,16.046124,0
7.650322,5.8847084,1.11978,1.5610005,1.6320068,16.006218,0
7.7285113,5.8770413,1.0243069,1.4742608,1.5196402,15.932956,0
7.7179294,5.908933,1.0768468,1.5068076,1.564343,15.9883995,0
7.714079,5.9273357,1.094481,1.5134804,1.5901568,16.01406,0
7.700468,5.915985,1.098787,1.5224552,1.5964614,15.999743,0
7.6667624,5.900825,1.1427966,1.5583819,1.6459776,16.02298,0
7.6838183,5.9038157,1.1159503,1.5383878,1.6159179,16.01227,0
11.379428,12.491619,3.3552837,7.7852273,2.9233787,14.775277,1
11.394599,12.487011,3.3708103,7.7719684,2.9185557,14.772299,1
11.542919,12.469759,3.5259397,7.640882,2.8448596,14.699671,1
11.583908,12.531661,3.5720503,7.5723248,2.7669144,14.71513,1
11.643348,12.521601,3.6334655,7.5108013,2.7487261,14.678068,1
11.538877,12.505548,3.5289369,7.605509,2.7874687,14.700359,1
11.562845,12.538114,3.5509422,7.5839972,2.7647104,14.724153,1
11.4662895,12.438168,3.4434597,7.7308464,2.9295788,14.736583,1
11.419362,12.524191,3.3970785,7.736246,2.8804946,14.783948,1
11.413729,12.493043,3.3906708,7.74598,2.8977518,14.760955,1
11.38527,12.49202,3.3609035,7.7780414,2.9186664,14.773126,1
11.402673,12.474906,3.3790815,7.7893615,2.9352095,14.774948,1
-0.8001307,6.314606,4.797055,2.3399625,5.5781865,4.991693,2
-0.79552525,6.294201,4.7893505,2.3449204,5.5698934,4.9792714,2
-0.79101545,6.3202977,4.787294,2.3482442,5.587147,4.992532,2
-0.7905032,6.2788367,4.7807736,2.3508954,5.5627565,4.968557,2
-0.8111979,6.353983,4.8133836,2.3265505,5.5952263,5.0105047,2
-0.7796922,6.300982,4.774677,2.3614247,5.580425,4.986793,2
-0.7609301,6.2866035,4.7568903,2.3802447,5.5834427,4.9740753,2
-0.77482605,6.330447,4.7783027,2.362957,5.6013036,5.001499,2
-0.68549335,6.201713,4.6667633,2.4600823,5.54396,4.8933682,2
-0.7351054,6.254986,4.7233186,2.4081972,5.5704246,4.941889,2
-0.7153155,6.2280407,4.70049,2.4284656,5.5690193,4.927365,2
-0.7235428,6.195688,4.692771,2.4203742,5.5464683,4.8989615,2
13.017678,3.3056166,7.345324,-4.127229,4.275888,3.1322982,0
13.017159,3.3079665,7.343163,-4.1287074,4.2788706,3.1296475,0
13.032518,3.3219118,7.3285,-4.1422358,4.2924814,3.1145651,0
13.01679,3.3069344,7.339066,-4.1290026,4.2787366,3.133405,0
13.0089655,3.3213103,7.3360596,-4.143179,4.294144,3.1169884,0
13.012165,3.2554295,7.39094,-4.070005,4.243157,3.1694753,0
13.017944,3.3277152,7.3269887,-4.148505,4.2916336,3.1117883,0
13.02372,3.2391925,7.3937263,-4.0538936,4.231474,3.189791,0
13.031445,3.2201672,7.4181795,-4.0404763,4.213777,3.2067325,0
13.035014,3.180296,7.439844,-3.9814625,4.1993747,3.2369552,0
13.069489,3.0812876,7.5161834,-3.864653,4.1360917,3.3174443,0
13.072633,3.0776153,7.5206323,-3.8612766,4.128641,3.32467,0
7.7880707,5.554986,5.7810984,-7.1109133,8.312099,5.5385847,1
7.6511436,5.515194,5.6811323,-6.990042,8.326697,5.4512353,1
7.698352,5.518995,5.720737,-7.03342,8.333195,5.4878664,1
7.805376,5.57292,5.803866,-7.130501,8.288815,5.5633917,1
8.11822,5.68322,5.9546795,-7.3779,8.215484,5.7218747,1
8.206341,5.7140703,6.008975,-7.45117,8.187869,5.7771893,1
8.295569,5.69469,6.1433825,-7.509515,8.075116,5.9085712,1
8.2956705,5.698192,6.137516,-7.51066,8.08125,5.90287,1
8.30973,5.6918774,6.1570544,-7.520042,8.0618105,5.922328,1
8.297732,5.694986,6.1436605,-7.511785,8.075311,5.908858,1
8.302444,5.692327,6.155746,-7.51476,8.064174,5.920708,1
8.298714,5.691896,6.1553187,-7.5110803,8.06486,5.920248,1
7.3169036,5.3303494,5.613065,-6.7234178,8.451287,5.289938,2
7.267363,5.2997656,5.6013474,-6.6825624,8.466873,5.261839,2
7.2400618,5.291559,5.575658,-6.6579084,8.462405,5.2482133,2
7.120783,5.209705,5.5415745,-6.5548306,8.471261,5.158829,2
6.9984894,5.1154575,5.472998,-6.442808,8.445934,5.049297,2
7.0040855,5.128843,5.4604883,-6.4473424,8.440451,5.058007,2
7.0192714,5.1294565,5.4842744,-6.461736,8.448443,5.0665936,2
7.037234,5.1655965,5.428607,-6.479526,8.409517,5.0926847,2
7.02347,5.1410336,5.4772406,-6.4666405,8.44048,5.0755982,2
7.014208,5.1395373,5.458212,-6.4564743,8.436843,5.0679035,2
7.013616,5.139034,5.4592876,-6.455831,8.437143,5.067465,2
7.030429,5.153263,5.461624,-6.4708443,8.435587,5.082681,2
7.6357536,5.888057,1.1901307,1.5937463,1.7000042,16.0463,0
7.6253786,5.9030933,1.2682952,1.6323466,1.773314,16.100475,0
7.6247587,5.9139643,1.3070648,1.648645,1.8060089,16.123894,0
7.645052,5.942046,1.3484374,1.6578878,1.8439418,16.157927,0
7.654001,5.9468517,1.3564836,1.6605527,1.850057,16.161863,0
7.6327353,5.918936,1.3051617,1.6430331,1.8050008,16.12618,0
7.6348424,5.9277396,1.334336,1.6537097,1.8310753,16.1442,0
7.621882,5.911717,1.3040982,1.6488403,1.8098987,16.122774,0
7.607224,5.89733,1.2900696,1.6506059,1.8046088,16.109379,0
7.5812387,5.840831,1.2025664,1.6287042,1.7261915,16.042276,0
7.551209,5.7913666,1.0778743,1.6018106,1.6468115,15.939609,0
7.5296955,5.774257,1.046958,1.5869386,1.6205416,15.918745,0
11.428876,12.483982,3.407074,7.740437,2.9041727,14.767659,1
11.469196,12.498048,3.4495091,7.69587,2.8651977,14.751048,1
11.550293,12.522544,3.536518,7.6072717,2.7903602,14.724083,1
11.63514,12.504025,3.6253872,7.5195317,2.7838535,14.688704,1
11.6729555,12.49296,3.663359,7.49277,2.775695,14.66135,1
11.670419,12.499913,3.6604984,7.4815063,2.7680175,14.6549835,1
11.68481,12.52823,3.6765766,7.4626565,2.732866,14.653153,1
11.606656,12.519323,3.5954363,7.5537186,2.7719226,14.7021265,1
11.586725,12.491681,3.573608,7.5802493,2.7984374,14.70601,1
