0,1,2,3,4,5,6,7,8,class_numeric
10.640327,6.269399,5.199393,5.7268753,3.3360026,4.499044,-2.3090901,1.524575,-2.4354804,1
10.630412,6.2549396,5.18063,5.693319,3.3122633,4.530169,-2.3228807,1.5267382,-2.4705527,1
10.649774,6.2205777,5.1713724,5.6824427,3.3106494,4.539157,-2.331265,1.5582163,-2.482358,1
-0.6538444,6.7875648,4.8958144,6.1598396,5.050759,3.9277787,3.1987915,5.315534,4.362078,2
-0.66037077,6.8184757,4.899398,6.191928,5.0515723,3.947523,3.1665142,5.343328,4.3339777,2
-0.62208945,6.8184414,4.933232,6.199401,5.0127683,3.9521222,3.158348,5.3607144,4.322569,2
-0.6797094,6.840314,4.8800344,6.185148,5.0672235,3.942598,3.1588707,5.32762,4.346044,2
-0.67124593,6.849474,4.890515,6.1923776,5.0532684,3.943631,3.14697,5.334703,4.3416057,2
-0.779982,7.0011373,4.803893,6.237434,5.1383777,3.9760616,3.0334818,5.339775,4.3209543,2
-0.7968129,7.005765,4.7842045,6.2208037,5.16005,3.9621255,3.063636,5.3176746,4.339574,2
-0.82344085,7.007527,4.7610292,6.21118,5.18336,3.9542086,3.0705152,5.3029523,4.352185,2
-0.8144306,7.041869,4.7734227,6.2367926,5.1698318,3.9696681,3.04091,5.3246493,4.330641,2
-0.80648273,7.0413404,4.7754226,6.239148,5.1623583,3.9715512,3.0365424,5.32438,4.3324814,2
-0.8094915,7.042872,4.7749295,6.2364793,5.1655064,3.968528,3.0382116,5.323079,4.3328,2
-0.8087103,7.028913,4.7757983,6.231007,5.166532,3.9667168,3.0501332,5.320455,4.3352757,2
11.403241,5.776708,4.3313565,6.1334233,6.2868257,2.5814059,2.4135892,6.8042846,3.0956526,0
11.786357,0.9380853,2.9955034,12.956226,4.9170914,4.925744,5.10515,5.821656,4.6736703,0
11.780219,0.93959403,2.9953914,12.948837,4.923544,4.9194965,5.1120625,5.814616,4.6731405,0
11.772909,0.92810553,3.0167449,12.933002,4.9428,4.9071517,5.094247,5.832506,4.652022,0
11.796318,0.9608451,2.9131444,13.119098,4.875764,4.937118,5.112481,5.814066,4.7605824,0
11.787802,0.9688893,2.916657,13.1172905,4.8847938,4.927862,5.11928,5.8075686,4.7577314,0
11.836079,0.97002804,2.8053536,13.320788,4.799334,4.9638147,5.121128,5.7987266,4.8776846,0
11.781218,0.99567384,2.7958388,13.341564,4.8491554,4.906923,5.1549025,5.7680874,4.886469,0
11.769202,0.99799854,2.78694,13.3696785,4.8554068,4.8927197,5.1589575,5.7640944,4.896815,0
11.736717,0.9920813,2.7860665,13.390833,4.8842745,4.858455,5.1654387,5.7584743,4.89974,0
11.741499,0.97952354,2.7909834,13.371764,4.884819,4.8624687,5.150946,5.7721066,4.8942337,0
11.74721,1.0063887,2.7892122,13.368794,4.875694,4.868916,5.1706915,5.753389,4.8950605,0
10.345844,5.094053,4.447563,16.355103,1.8482684,5.6651955,7.1246767,5.219634,5.087848,1
10.329828,5.1040106,4.462108,16.34174,1.8335524,5.67726,7.1217875,5.2123084,5.099996,1
10.364673,5.09493,4.4279046,16.367489,1.8534694,5.641487,7.1494513,5.240628,5.073499,1
10.014382,4.9802184,4.800903,16.193155,1.9113734,6.071101,6.8000913,4.956853,5.260625,1
9.967845,4.958918,4.851551,16.173723,1.917537,6.1336937,6.7516646,4.9207234,5.287504,1
9.886309,4.955865,4.9305263,16.163733,1.9618088,6.233872,6.683059,4.8527555,5.3099513,1
9.913109,4.9639387,4.900899,16.174927,1.9564968,6.2004786,6.712054,4.869045,5.294311,1
9.831764,4.9910507,4.9715266,16.187975,2.0251753,6.2951727,6.6596932,4.800287,5.2960544,1
9.771809,5.006922,5.0256386,16.191906,2.073429,6.368926,6.620549,4.7554173,5.303263,1
9.776059,4.994316,5.021415,16.18131,2.056786,6.3638453,6.624263,4.7610216,5.306138,1
9.773774,5.040243,5.0253625,16.222069,2.1137888,6.370031,6.620752,4.741639,5.2798057,1
9.789574,4.9832406,5.013886,16.175442,2.0462584,6.3508368,6.625225,4.7740207,5.309391,1
10.123293,5.0204554,4.6850114,16.239393,1.8705724,5.934654,6.9127026,5.047389,5.2116833,2
10.155699,5.0371633,4.648522,16.255972,1.8636243,5.8911686,6.949492,5.0731907,5.1944184,2
10.348129,5.1279054,4.4429455,16.316402,1.8080171,5.6236963,7.176417,5.235193,5.11934,2
10.432635,5.176914,4.3464727,16.307896,1.7734572,5.4786987,7.304308,5.3153043,5.118467,2
10.507107,5.29037,4.2008233,16.25571,1.7610646,5.2897916,7.4796057,5.466364,5.1618757,2
10.498244,5.263534,4.2351933,16.26827,1.765595,5.322354,7.4508586,5.430958,5.149893,2
10.504049,5.305275,4.1852818,16.243084,1.7629514,5.28104,7.487564,5.4837775,5.174102,2
10.467798,5.329166,4.1719446,16.205069,1.761425,5.311052,7.458184,5.4999104,5.2006145,2
10.506446,5.3144383,4.1738095,16.237642,1.7624846,5.270421,7.4972434,5.495666,5.178917,2
10.499219,5.321911,4.166367,16.228533,1.7636261,5.2706585,7.497137,5.5039825,5.1860743,2
10.502437,5.3196135,4.17014,16.234552,1.7609147,5.276383,7.492478,5.4998255,5.184209,2
10.517012,5.3201046,4.1658525,16.236996,1.7640543,5.2448587,7.5196366,5.504533,5.1829224,2
10.79644,5.487663,6.4315352,5.6318855,5.5791507,5.6484838,3.9919038,3.8558908,-7.2142406,0
