0,1,2,3,4,5,active_hand,class_numeric
-7.681616,1.6284897,8.644871,-0.081960894,-5.373575,-0.90553516,1,0
0.8861457,-1.6214628,5.347088,10.700399,0.05919476,2.1471715,0,1
7.1909304,7.6104455,7.9923058,9.033886,-0.521894,0.57760376,1,1
0.9072818,-1.640193,5.3657584,10.719179,0.03978518,2.1659486,0,1
7.2056646,7.629826,7.9849286,9.017449,-0.5014016,0.5903065,1,1
0.884283,-1.6200128,5.3456707,10.699008,0.060753956,2.1457155,0,1
7.1796165,7.5855203,7.9963975,9.050221,-0.53920496,0.569692,1,1
0.8752193,-1.6121424,5.3377256,10.690679,0.068876244,2.1378345,0,1
7.139228,7.527621,8.005122,9.053612,-0.5562681,0.5347128,1,1
0.89216423,-1.6269735,5.352452,10.70595,0.05364984,2.1526368,0,1
7.1323624,7.5188255,8.009095,9.057574,-0.56278795,0.52835786,1,1
0.88551766,-1.6210761,5.346753,10.70014,0.05964842,2.1467905,0,1
7.117036,7.4901648,8.018206,9.058047,-0.5684956,0.5172098,1,1
0.88967216,-1.6243595,5.3499794,10.703445,0.05617577,2.1500742,0,1
7.112887,7.479856,8.014864,9.072884,-0.58030164,0.51615644,1,1
0.88949937,-1.6243324,5.3499036,10.703405,0.056286372,2.1500175,0,1
7.1284328,7.4993625,8.011183,9.081187,-0.58493996,0.52900755,1,1
0.8822323,-1.6181071,5.3437295,10.697203,0.062796816,2.1437755,0,1
7.1127086,7.493246,8.000787,9.073947,-0.5809321,0.5105911,1,1
0.8923154,-1.6266454,5.3522077,10.705901,0.053724397,2.1523135,0,1
7.0986147,7.469646,8.023405,9.074805,-0.5849868,0.5003918,1,1
0.87173367,-1.6070808,5.331985,10.685656,0.074050285,2.132572,0,1
7.0906034,7.4538436,8.014855,9.065281,-0.57727414,0.49748355,1,1
0.86849916,-1.6035793,5.3290453,10.68259,0.07716605,2.1292224,0,1
7.085556,7.4510283,8.009825,9.053024,-0.5658513,0.49367833,1,1
-7.811395,-0.72344947,3.283805,7.5656986,-1.5162184,-2.4990132,0,0
-4.2583346,-0.9649341,7.8844147,-7.2310853,1.9292557,0.7730002,1,0
-7.8067665,-0.44369617,3.047785,7.502341,-1.4140952,-2.439166,1,0
-4.16029,-1.046522,7.871274,-7.3048797,2.0225716,0.70677066,0,0
-7.782773,-0.44704232,3.037022,7.5070114,-1.4212707,-2.4587784,1,0
-4.1482635,-1.0032169,7.8570676,-7.2600613,1.9819834,0.6845513,0,0
-7.7833357,-0.45630857,3.041049,7.5144424,-1.4321822,-2.4584217,1,0
-4.1607437,-1.0116951,7.863548,-7.2692485,1.9902004,0.69922334,0,0
-7.7715883,-0.52202225,3.0532296,7.582285,-1.5168825,-2.4620004,1,0
-4.149121,-1.0496825,7.8490157,-7.308033,2.0246024,0.6857649,0,0
