0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,class_numeric
10.398593,6.2627635,7.414859,3.4975226,5.618026,5.391118,5.94717,4.388973,-0.31144068,9.566841,6.076785,5.168568,4.3545303,4.4848633,4.5016103,5.737205,5.0380917,3.647649,6.012774,1
10.386648,6.2491317,7.4247737,3.496722,5.646342,5.3868756,5.93545,4.37414,-0.3454742,9.605903,6.1052275,5.1644564,4.374666,4.460168,4.504811,5.7452793,5.0458436,3.6674166,6.038343,1
10.3789625,6.2428155,7.4326572,3.4995003,5.668355,5.3820076,5.9304824,4.365668,-0.3623745,9.616769,6.121477,5.167233,4.384396,4.447842,4.507994,5.7478075,5.0469294,3.674831,6.0488396,1
10.524919,4.800838,3.3184378,5.594404,4.6390476,6.2851067,6.4458256,5.983324,6.729967,4.9519506,6.5810447,5.6865973,6.6366425,5.0468235,4.1829047,5.6836247,3.769787,5.0084925,4.870594,0
10.634473,4.3330774,1.3801337,4.929002,12.881578,4.9097586,4.5800967,6.499654,4.7934246,6.3645735,5.044986,5.6142645,6.6091566,5.8545423,2.9252453,2.8257866,6.9855585,5.3123307,6.6622186,0
10.633122,4.3269935,1.3832271,4.9256196,12.869956,4.9099755,4.5763764,6.5009646,4.797481,6.363557,5.0399423,5.6117706,6.609959,5.8494134,2.927079,2.8341842,6.982253,5.3062863,6.659595,0
10.630414,4.3305974,1.3757694,4.923475,12.88583,4.9043903,4.5762057,6.5064664,4.793503,6.3579063,5.046099,5.610623,6.602771,5.8506813,2.9290996,2.8260965,6.980852,5.3129697,6.668454,0
10.636858,4.317706,1.3338599,4.9466248,12.937853,4.917665,4.550409,6.5148315,4.782631,6.359987,5.0339284,5.577493,6.600786,5.880815,2.9425316,2.765619,7.001653,5.3289566,6.707004,0
10.641729,4.3457165,1.3232033,4.956737,12.992959,4.9118743,4.568104,6.510263,4.7556806,6.3688655,5.0619283,5.587915,6.5992846,5.902624,2.9259622,2.7340636,7.019407,5.360176,6.7180853,0
10.663087,4.410735,1.2483171,5.023514,13.100627,4.9359694,4.6023793,6.477336,4.6861815,6.404266,5.1225824,5.593734,6.625894,5.997629,2.9104252,2.6019742,7.0945697,5.451054,6.7799234,0
