0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,active_hand
9.753293,2.6851308,15.946748,1.6333725,4.992982,4.028669,5.363214,6.4674864,4.592696,4.929909,5.2562356,5.829129,4.2451296,4.633446,5.952836,4.6645327,6.3980637,4.4015007,4.7648506,5.8730483,5.3325205,4.774009,4.7485495,4.4538636,5.7534637,5.6372538,4.972432,5.131102,5.6630955,1
20.94983,4.922016,5.167122,4.6956515,4.8641086,5.73846,5.46536,5.6525764,4.728389,5.5493045,4.3702526,5.56904,5.525954,4.409266,4.6620774,4.6180863,5.9886355,5.155701,5.252029,5.3496184,5.7844234,4.730766,5.871879,5.3762965,4.4109,5.166234,4.705577,4.3129683,5.075417,0
9.754287,2.6743667,15.952591,1.6323799,5.0016966,4.0239434,5.363432,6.4766936,4.5925055,4.9288936,5.2660303,5.832281,4.247537,4.6345024,5.9453325,4.66475,6.3928876,4.401048,4.7713304,5.8765717,5.3218284,4.770965,4.741885,4.45224,5.753409,5.63777,4.9851303,5.130313,5.663446,1
20.95897,4.9138236,5.1545463,4.685328,4.8765016,5.735952,5.4669695,5.6430283,4.7400174,5.5584974,4.383548,5.578562,5.5354605,4.3973117,4.652846,4.609342,5.9997907,5.1665864,5.2542057,5.338733,5.793657,4.7182417,5.8803377,5.385916,4.3995123,5.1703386,4.718105,4.302413,5.088287,0
9.7573185,2.6557207,15.953881,1.6302972,5.012305,4.0089974,5.3643537,6.482867,4.596725,4.935536,5.2793665,5.8437624,4.2542663,4.637338,5.9270854,4.662641,6.375611,4.4057045,4.773494,5.8890886,5.3031526,4.7633796,4.7256155,4.4475923,5.751134,5.6416383,5.001525,5.1258683,5.6616697,1
20.960915,4.9110613,5.1540923,4.6846666,4.8770204,5.7361403,5.466928,5.642795,4.740517,5.5604186,4.3839335,5.5800743,5.5369883,4.396861,4.650891,4.608765,6.0003147,5.1671767,5.2543607,5.338142,5.795546,4.7177277,5.8829083,5.387337,4.3990026,5.1706276,4.718608,4.30178,5.088752,0
20.973959,4.897272,5.145311,4.6731358,4.885246,5.7388134,5.466939,5.6415486,4.749978,5.5733395,4.391729,5.5930424,5.5499735,4.387489,4.6382174,4.6022654,6.0103455,5.1775827,5.2562413,5.3277745,5.8084297,4.7097864,5.896407,5.400223,4.389251,5.1726556,4.7267065,4.290675,5.0946393,0
9.755534,2.6643198,15.945268,1.6320807,4.9975786,4.019717,5.363492,6.467812,4.595436,4.935277,5.2629066,5.8363504,4.2495666,4.6355534,5.936705,4.66311,6.387767,4.4042807,4.763452,5.8808565,5.311753,4.769132,4.7381415,4.45066,5.7521453,5.640077,4.990613,5.1279497,5.661785,1
20.95605,4.9171257,5.1568036,4.690927,4.8740044,5.733212,5.467182,5.641155,4.7361526,5.555705,4.382132,5.574265,5.531225,4.4008,4.6551266,4.6119194,5.995214,5.1618876,5.253265,5.3433537,5.7908077,4.720562,5.8775535,5.3814096,4.403778,5.170233,4.7157893,4.3077245,5.0873137,0
0.13271575,15.61061,4.4634385,5.324994,5.3870916,4.799398,4.522526,6.3811264,5.2217493,4.8139963,5.744316,5.6878796,4.840847,5.252133,5.2640877,5.1282516,5.2310815,4.4514422,4.8462744,4.7225137,4.261648,4.3822703,4.6362906,5.4633417,5.4684925,4.941972,4.373036,5.4693007,5.11235,1
