0,1,2,3,4,5,6,7,active_hand,class_numeric
8.76997,-0.30553147,7.513295,3.5976412,-2.7249231,15.88063,6.026035,0.24848337,0,0
0.4408346,0.6917398,4.9269276,3.1154294,-1.0321585,-2.5766585,3.3472838,-0.51315325,1,0
8.691824,-0.34563038,7.3760905,3.5677962,-2.6876228,15.75267,5.8960867,0.3644497,1,0
0.52051944,0.73492825,4.821278,3.0956986,-1.0137962,-2.589362,3.4331663,-0.5207202,0,0
8.7136135,-0.31672063,7.3355403,3.5220535,-2.640294,15.716399,5.880577,0.35615274,1,0
0.5220015,0.7345728,4.8215637,3.0845416,-1.0209048,-2.5768216,3.427923,-0.5228663,0,0
8.690854,-0.34780732,7.3802266,3.5823855,-2.7025745,15.756979,5.897344,0.36678326,1,0
0.53784674,0.7466743,4.8047996,3.0843012,-1.0158826,-2.5794382,3.4402344,-0.52355176,0,0
8.682852,-0.36062852,7.437298,3.678454,-2.8036807,15.809458,5.9239154,0.3597169,1,0
0.54556775,0.7561113,4.7880015,3.1182985,-0.9921666,-2.6191487,3.470512,-0.5225786,0,0
8.694774,-0.35232407,7.478173,3.7241178,-2.8488898,15.84952,5.9615955,0.3341963,1,0
0.5537418,0.76047325,4.7781515,3.1189694,-0.9835619,-2.6251051,3.4767733,-0.5208292,0,0
8.688192,-0.36146435,7.5166597,3.7835793,-2.910321,15.884525,5.9832683,0.32359603,1,0
0.54596347,0.7552898,4.787395,3.114118,-0.993711,-2.616277,3.4693766,-0.52249855,0,0
8.691304,-0.35850522,7.5170436,3.7839632,-2.910941,15.8852415,5.985261,0.32066217,1,0
0.5588816,0.7633678,4.7712216,3.1149762,-0.9895629,-2.6204782,3.4843855,-0.52431643,0,0
8.698633,-0.35705826,7.5245385,3.780278,-2.907345,15.891475,5.9961343,0.3116641,1,0
0.54205334,0.7552867,4.7937407,3.123465,-0.9897967,-2.621356,3.466941,-0.5220337,0,0
8.714027,-0.34431165,7.541711,3.7985473,-2.9256744,15.90891,6.0139594,0.29756287,1,0
