0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,class_numeric
6.619259,6.62176,4.285599,5.6254783,5.819855,4.762866,6.7046547,5.6507826,6.4124756,5.233681,5.757809,5.7658353,5.030859,5.8174458,5.7642283,6.0611014,4.7921553,4.5012116,1
-2.2066784,9.069401,3.8660426,5.7291555,3.156376,2.5510306,5.0663543,7.034068,6.248229,6.1971555,4.4846287,5.135371,7.3960004,7.037906,5.2349715,4.8253098,4.3115673,7.3777676,0
-2.0708387,9.097356,4.010869,5.7027273,3.2607882,2.599818,5.0206304,7.031576,6.139227,6.1385446,4.6265516,5.375036,7.4920297,6.8943486,5.098258,4.8483663,4.3695316,7.3987517,1
6.068019,6.449931,4.347251,5.5798616,5.483602,4.604589,6.710245,5.6864414,6.4776115,5.2954082,5.6713862,5.6499467,5.3398724,5.8344984,5.714453,6.2126536,4.8640184,4.3824224,0
6.4440584,6.7278504,4.256994,5.514465,5.7888403,4.675711,6.798239,5.6749635,6.476437,5.214112,5.654889,5.7718987,5.0903826,5.8537307,5.7055836,6.070416,4.7827134,4.549403,1
0.36732566,7.9742155,4.6659374,5.3499923,3.8337817,3.1056955,5.537288,7.130316,6.359821,5.537848,5.1782823,6.179042,7.9642005,6.151524,4.7089577,5.635887,4.3522954,6.736581,0
-2.1623466,8.915776,3.809385,5.7452817,3.107924,2.561838,5.1756387,7.0135984,6.373478,6.1637683,4.42263,4.9049163,7.342008,7.1037445,5.2984815,4.8444014,4.2160726,7.256233,1
5.6445093,5.677827,4.45143,5.8345356,5.0566387,4.3132143,6.084782,5.8258166,6.576403,5.5079527,5.5603204,5.3307133,5.736247,5.6586137,5.6014934,6.6229877,5.273228,4.042034,0
6.5099087,6.723412,4.308752,5.5540223,5.795408,4.7097864,6.7902555,5.6675143,6.432037,5.2324896,5.702741,5.763207,5.0839,5.8357105,5.728421,6.051208,4.784125,4.5217543,1
-2.2538188,9.005937,3.8803992,5.807022,3.1603677,2.5685372,5.1444097,7.101927,6.2602553,6.1866097,4.472788,5.150806,7.3807993,6.995235,5.2376947,4.887153,4.359571,7.3981943,0
-1.8360568,8.999523,4.0897017,5.715021,3.2798815,2.6325488,5.0733542,7.022728,6.173885,6.054412,4.7108865,5.418525,7.534894,6.8092985,5.025646,4.938777,4.3942842,7.3222094,1
-0.8657141,8.670733,4.4121447,5.6160564,3.5438056,2.7186902,5.253515,7.0434575,6.1685038,5.6512656,5.1004076,5.852582,7.920055,6.462005,4.711557,5.2526727,4.4209857,7.1245937,0
6.4952345,6.7296696,4.2683687,5.5250497,5.8187957,4.6975408,6.8000355,5.6671977,6.461633,5.217199,5.67882,5.785676,5.059296,5.8663464,5.709155,6.048827,4.7634306,4.549925,1
-2.2228098,9.05379,3.9308984,5.790653,3.1897216,2.5794196,5.107379,7.1028104,6.20272,6.1906805,4.5209928,5.241464,7.412668,6.9482503,5.1882615,4.877934,4.399665,7.4379497,0
-2.0034497,9.016964,4.064995,5.773626,3.229941,2.6572535,5.098409,7.096413,6.1971602,6.1440964,4.609738,5.404859,7.484862,6.8275547,5.071661,4.9313784,4.43855,7.43602,1
5.7151327,5.587023,4.441384,5.8850265,4.991726,4.4203196,6.011884,5.8318753,6.473089,5.464883,5.647164,5.320994,5.799404,5.694328,5.7268124,6.690938,5.263784,3.9666882,0
6.6120744,6.505392,4.2242646,5.630198,5.7618346,4.788944,6.534857,5.6498623,6.4479275,5.249871,5.739027,5.730197,5.091632,5.8971753,5.763478,6.1867933,4.85204,4.395657,1
4.8514996,5.967988,4.34884,5.719884,4.8892117,3.9572456,6.2289157,5.944523,6.531731,5.4585137,5.377415,5.4527392,6.162971,5.7591257,5.3067255,6.6131444,5.195006,4.5507646,0
5.9157996,6.7165103,4.27789,5.3725367,5.630248,4.4051175,6.9383426,5.6392574,6.604677,5.2831726,5.517878,5.767402,5.310865,5.97648,5.486522,6.147836,4.7661285,4.612742,1
5.2173333,5.568111,4.3739257,5.905962,4.9115286,4.2185087,5.970823,5.9190106,6.4375286,5.5263524,5.6008644,5.302051,6.0779963,5.617462,5.5771437,6.7135186,5.338253,4.078024,0
6.990597,5.674415,4.389105,6.0938787,5.407296,5.1109633,5.876412,5.6287904,6.288232,5.354088,6.0793314,5.347785,5.1923237,5.6466374,6.1922007,6.4767118,5.171701,3.6989703,1
-0.19466348,8.389448,4.7175527,5.3313766,3.8115695,2.9378731,5.4311047,7.0950527,6.2403493,5.341273,5.121156,6.3538575,8.236265,6.2959,4.4410205,5.4780383,4.4318323,7.019417,0
-2.1077666,8.735175,3.7659712,5.7409244,3.0459428,2.60286,5.2992816,7.0104876,6.526842,6.1260934,4.3283944,4.6693425,7.314772,7.181079,5.3493404,4.8452945,4.0838485,7.170078,1
5.3863525,5.6696243,4.376894,5.851657,4.9701486,4.3081017,6.0625505,5.8329268,6.4445963,5.5051312,5.5944457,5.3605223,6.0491676,5.7078314,5.6043806,6.6864944,5.2923536,4.099601,0
7.121154,6.055942,4.321565,5.959334,5.6821337,5.0156918,6.0556054,5.6043463,6.284417,5.293991,6.0216303,5.586117,5.077066,5.777687,5.99361,6.2686477,5.0047336,4.030487,1
