0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,active_hand
8.96403,2.471535,5.914068,4.4168334,3.3159173,2.2514663,8.472628,5.2844963,5.946041,1.0726686,-4.080211,4.8129735,5.4817696,4.2524505,4.249597,4.2932386,4.84737,4.7043505,1
1.65055,14.545146,4.006497,6.7209487,5.6856275,2.5709636,5.031022,4.4714723,5.030195,4.6881237,5.2844877,5.9147663,5.1478114,4.614885,4.831101,4.839281,5.339648,4.865173,0
8.941797,2.445748,5.9317017,4.403757,3.310981,2.274648,8.467357,5.27899,5.9272366,1.0816916,-4.0605145,4.8418746,5.473529,4.2641797,4.250732,4.3150797,4.8786597,4.709966,1
1.6469966,14.548514,4.0021863,6.718868,5.677933,2.5700471,5.035255,4.4748197,5.033613,4.684676,5.2898207,5.9187584,5.152165,4.6113944,4.834803,4.8423715,5.3419323,4.8616323,0
8.94722,2.451344,5.9273005,4.4057775,3.3107383,2.2684705,8.467196,5.2812877,5.9301033,1.0810587,-4.063675,4.8401513,5.475884,4.262549,4.2495537,4.3104806,4.876989,4.708222,1
1.6696136,14.524345,4.0458217,6.746883,5.7291856,2.585608,4.995312,4.44276,5.013441,4.7127237,5.245741,5.886618,5.1132107,4.6375904,4.8114977,4.8242974,5.327117,4.8911204,0
8.893654,2.4172523,5.98472,4.341837,3.2491374,2.30622,8.406227,5.323626,5.940833,1.1505091,-3.975505,4.856967,5.4658046,4.3211784,4.2753115,4.370641,4.9053874,4.7003736,1
1.6745281,14.518063,4.065465,6.7556887,5.7530017,2.5916228,4.977945,4.4306316,5.0100183,4.7223005,5.2258096,5.8745055,5.0957174,4.644933,4.805167,4.821656,5.3244944,4.9009266,0
8.895251,2.4168844,5.9817457,4.346738,3.2547174,2.3058197,8.411377,5.3191423,5.937163,1.1444954,-3.981486,4.859967,5.4656343,4.317024,4.273529,4.367871,4.90797,4.7021475,1
1.6583717,14.535184,4.0193214,6.731812,5.6981125,2.5768168,5.019107,4.4605136,5.021724,4.6989384,5.272966,5.9048753,5.13546,4.6235323,4.8221335,4.8305855,5.333383,4.8750052,0
