0,1,2,3,4,5,6,7,8,9,10,11,12,13,class_numeric
7.268913,7.2291408,4.9431467,4.66728,6.491398,4.477282,4.359278,5.3411355,5.9435925,3.8127646,5.276966,4.8480253,5.037797,5.100594,1
-3.5165424,8.089194,6.4057775,3.799717,3.7062137,4.9889746,4.4777055,4.653244,6.270719,3.9739268,9.341501,4.1807942,7.146629,5.19344,0
-3.4254897,8.007556,6.5235095,3.6876533,3.6646948,4.951682,4.3341312,4.5024996,6.1858125,4.120734,9.332051,4.1614676,7.011537,5.335024,1
7.069555,7.2720447,4.970833,4.8434243,6.4641542,4.7290387,4.3617625,5.3358717,6.0698457,4.025771,5.264232,4.7047863,5.274126,5.101469,0
7.246221,7.167247,4.9667544,5.008309,6.4978266,4.797536,4.4507794,5.4601407,6.2327356,4.06628,5.1397376,4.6127205,5.2704997,5.00663,1
-3.5138526,8.162445,6.3501234,3.870557,3.7435226,5.04905,4.5444603,4.716977,6.3425627,3.9142594,9.270764,4.2414293,7.2011065,5.1444926,0
-3.451229,8.049418,6.4780273,3.7457788,3.7032034,4.9748993,4.3948865,4.563161,6.239577,4.062641,9.3039465,4.1694417,7.0654593,5.294436,1
6.368849,7.524506,5.4443703,5.4834294,6.2376933,5.774285,5.0504084,5.991356,7.2108593,4.656935,4.713611,4.5619063,6.0748777,4.508376,0
6.387828,7.502974,5.421613,5.4743834,6.246841,5.7201524,4.9662523,5.910377,7.183774,4.605996,4.7953677,4.471669,6.0067487,4.500581,1
-3.120647,8.747273,6.0193896,4.3856115,4.391623,5.7363014,4.6687818,4.6827927,6.9862576,4.032022,8.104887,4.839157,7.3361945,5.452357,0
-2.9223526,8.735332,5.898099,4.3103867,4.4765153,5.7049766,4.6565905,4.588561,7.0346456,4.081161,7.97685,4.8627825,7.2392936,5.491309,1
5.892929,7.6929936,5.412702,4.9627886,6.1339536,5.5331936,4.8538013,5.6968713,6.8899746,4.4034696,5.0724225,4.787911,5.978073,4.619265,0
6.1331086,7.5278645,5.403093,5.3638697,6.223086,5.710277,5.047849,5.966875,7.1441574,4.5990324,4.7839894,4.6341786,6.0520997,4.560303,1
0.54084396,8.538425,5.3906264,3.9418817,5.1315002,5.502056,4.620791,4.4269047,6.991276,4.2253575,6.69266,5.1572037,6.43805,5.505801,0
-3.1154761,8.671559,6.0932794,4.244145,4.2546854,5.5609913,4.5710163,4.670468,6.943295,3.9986172,8.305314,4.709995,7.213355,5.4037714,1
5.3496957,7.9158144,5.4300017,4.3652496,6.163071,5.2105546,4.512533,5.266649,6.4738817,4.076795,5.537949,4.9550195,5.775922,4.811456,0
6.3393865,7.528929,5.434723,5.460272,6.228363,5.7588224,5.022023,5.954799,7.189306,4.6267095,4.758362,4.5363164,6.0683036,4.498353,1
-3.0904574,8.700712,6.042669,4.4008713,4.453758,5.7880316,4.748742,4.6560197,6.867176,4.037979,8.141164,4.87549,7.373228,5.4782376,0
-2.641752,8.733763,5.725718,4.2251244,4.606007,5.6788263,4.680351,4.458938,7.069542,4.1546683,7.7700357,4.9403625,7.1180186,5.56811,1
-1.4943005,8.5920925,5.309742,3.8154323,4.9001822,5.4365954,4.686483,4.1364055,7.085257,4.3943567,7.080426,5.136827,6.752943,5.7079577,0
6.2255535,7.555951,5.4257693,5.387236,6.1966515,5.752803,5.0481324,5.951215,7.1447983,4.6109986,4.779416,4.621478,6.0982795,4.5052505,1
-2.9748988,8.741123,5.921977,4.351721,4.50134,5.755206,4.701078,4.599507,6.9841857,4.076181,7.9949284,4.893522,7.287432,5.5065327,0
-2.7747018,8.744322,5.7807384,4.273086,4.581868,5.71896,4.688411,4.4990497,7.050174,4.131568,7.8370876,4.932447,7.182508,5.555855,1
5.542362,7.880397,5.3566566,4.3153,6.205628,5.131663,4.5162053,5.2630157,6.331601,4.057723,5.5222974,5.025548,5.7267575,4.900782,0
6.415739,7.4879775,5.38192,5.405477,6.2370896,5.6422706,4.9141707,5.854682,7.1071224,4.5529704,4.8394713,4.5058255,5.955952,4.5439816,1
0.8657728,8.43627,5.4837847,3.9737544,5.2273297,5.4503284,4.5514426,4.461553,6.907105,4.2913847,6.510913,5.0931635,6.3405485,5.332022,0
0.9006136,8.514161,5.4005733,3.9878805,5.291737,5.6124625,4.59211,4.449506,7.016857,4.3242416,6.4481683,5.135058,6.4906697,5.3617945,1
5.140281,7.813217,5.307038,4.230525,6.073431,5.02522,4.3766356,5.132035,6.351472,4.032677,5.658997,4.9709682,5.710312,4.910913,0
7.037467,7.272866,5.0698333,4.694496,6.4325333,4.6961393,4.5782995,5.5395603,6.219643,3.9135404,5.1315484,4.8052754,5.2283864,4.8946414,1
