0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,active_hand,class_numeric
10.695966,7.3753915,6.9779663,5.766172,5.216901,4.8502893,4.724414,5.862015,5.8388042,8.838857,10.431452,4.4241066,4.7395945,5.7433863,5.282981,4.9958158,4.418407,5.4921846,4.40695,3.371029,4.1495643,4.9099097,8.428377,4.9635224,1,1
0.9414273,14.180367,3.2346084,4.512036,5.3787794,1.7367513,5.6491675,5.4221244,5.6913776,2.9623172,4.5086055,5.184657,5.374406,5.4135604,4.8656225,4.769898,5.6990075,5.2949266,5.284815,5.1682158,4.8914967,4.682608,5.0007415,5.3755264,0,1
10.680896,7.45397,7.0048738,5.717585,5.2577453,4.7984304,4.7714677,5.839399,5.8162913,8.804546,10.443786,4.44947,4.6932764,5.707191,5.3118534,4.9836516,4.4677615,5.5410767,4.4767933,3.4311562,4.2016277,4.889329,8.344675,4.9131856,1,1
0.9391656,14.185374,3.2279515,4.511047,5.382309,1.7428552,5.642111,5.4164867,5.6898236,2.9661777,4.51153,5.1802263,5.376493,5.410123,4.87042,4.7670436,5.6964707,5.2974057,5.279441,5.164838,4.8863955,4.686071,4.9973254,5.3732085,0,1
10.676767,7.46443,7.00534,5.717129,5.2628217,4.795906,4.771634,5.834566,5.8119755,8.803615,10.44954,4.453882,4.6895595,5.702544,5.315928,4.983943,4.468254,5.541448,4.4844656,3.4354298,4.205549,4.8887086,8.333205,4.90867,1,1
0.9462504,14.179714,3.2331703,4.515391,5.3814793,1.7315814,5.6514688,5.427677,5.6942697,2.9540067,4.5029416,5.1930785,5.3693223,5.419484,4.8582006,4.7753053,5.704631,5.289893,5.2916627,5.1742206,4.893806,4.6769047,5.0065055,5.3813148,0,1
10.685029,7.405288,6.9872746,5.7520294,5.2364736,4.832363,4.7382083,5.847914,5.8254294,8.826324,10.442174,4.438491,4.7212324,5.725643,5.2975044,4.9922886,4.432555,5.506252,4.432668,3.392838,4.1694202,4.902487,8.397758,4.943392,1,1
0.9413342,14.177578,3.2370596,4.5116363,5.3760586,1.7337909,5.6511025,5.424839,5.6913514,2.9601219,4.508199,5.1869636,5.374333,5.4141808,4.863968,4.770181,5.6994042,5.294895,5.2871933,5.168878,4.894098,4.6821814,5.001247,5.3759584,0,1
10.689833,7.415698,6.987992,5.741823,5.235106,4.8270464,4.7479005,5.85215,5.82934,8.825174,10.436165,4.434937,4.7200522,5.727556,5.295084,4.992539,4.442985,5.516641,4.4420385,3.397104,4.171794,4.903249,8.387575,4.9416804,1,1
0.9424118,14.175992,3.2355413,4.513093,5.3730297,1.7320973,5.6487546,5.4265976,5.687481,2.959094,4.507497,5.1881156,5.373333,5.41477,4.863475,4.771023,5.7001634,5.293941,5.2885027,5.169462,4.89597,4.681485,5.0019736,5.3766794,0,1
10.68347,7.402077,6.9892373,5.755148,5.237531,4.831671,4.735252,5.846439,5.8240237,8.824111,10.443616,4.4398656,4.7200584,5.7245097,5.2985945,4.9905057,4.4293056,5.5030513,4.4311185,3.3938131,4.1706805,4.9006767,8.399612,4.9426146,1,1
