0,1,2,3,4,5,6,7,8,9,10,11,12,class_numeric
9.732177,5.323482,2.3025308,6.381054,2.6709967,5.200509,6.4922566,4.6352067,2.1797948,6.5731497,4.388425,7.3585463,-0.20843785,1
-0.79452413,4.265404,4.254546,3.939809,3.5476677,4.328731,7.1436944,4.4596505,4.6685038,3.851298,4.4695745,4.6356583,4.1940985,0
-0.789426,4.201662,4.277271,3.9849286,3.587045,4.3805213,7.097502,4.4386716,4.68224,3.8197284,4.516207,4.6234717,4.154528,1
9.575925,5.508123,2.548638,6.6304083,2.4326386,5.4008675,6.7239165,4.728415,2.3697655,6.6939287,4.5245767,7.37084,-0.014953184,0
9.601184,5.354241,2.4316776,6.4671087,2.5968509,5.247585,6.565325,4.640449,2.2586532,6.563564,4.3932443,7.2768717,-0.123567656,1
1.0874738,3.7308564,4.4064665,4.5317984,4.106738,4.978097,6.819406,4.276828,4.9839463,4.110801,4.827619,4.6447577,3.718011,0
1.1755204,3.7630115,4.324112,4.5600233,4.0444493,5.022454,6.8893538,4.2955036,4.965295,4.1831656,4.86404,4.7042136,3.652129,1
9.529867,5.6972075,3.179202,7.1520452,2.154046,5.760388,7.252365,4.7835245,3.4008577,6.563768,4.3872313,6.7833066,1.201756,0
9.375127,5.63679,3.3358107,7.1655784,2.173162,5.7756577,7.296431,4.8528466,3.5035644,6.5440874,4.3858776,6.649248,1.368285,1
1.2414335,4.1083417,4.2262535,4.4095707,3.602435,4.8953633,7.2406836,4.7078567,4.6148133,4.207173,4.397568,4.934434,3.5869389,0
1.3283081,3.7623932,4.3108945,4.5596085,4.024179,5.0571837,6.929052,4.3605547,4.930002,4.2438703,4.783313,4.757471,3.5837033,1
6.3912377,5.1093206,4.219574,5.957425,2.6453607,5.4079976,7.258479,5.3742676,3.7234054,6.013425,4.270332,5.6387243,1.8604023,0
9.528853,5.6014047,3.0824864,7.0958176,2.2249813,5.730512,7.1064515,4.7681317,3.1368563,6.661235,4.459474,6.89628,0.9408137,1
0.8591397,4.51713,4.084273,4.1613884,3.0737793,4.650183,7.557469,5.2583427,4.182506,3.9998178,3.843026,5.2088156,3.681922,0
1.1970661,3.7187095,4.370305,4.5603714,4.081019,5.045864,6.8673882,4.2944565,4.9810348,4.1766376,4.8411655,4.6985474,3.6477025,1
9.495497,5.680635,3.128297,7.0870275,2.1680243,5.705127,7.189977,4.7522225,3.4124944,6.519244,4.4324574,6.7742453,1.1754144,0
9.151311,5.561923,3.4615405,7.0181885,2.2437658,5.719812,7.253538,4.905627,3.5748215,6.5190935,4.345393,6.4492397,1.4486315,1
8.024163,5.2610064,3.997073,6.321915,2.5269716,5.3957214,7.1059594,5.199688,3.8480234,6.4212704,4.152668,5.721227,1.6920824,0
1.2787281,3.766611,4.288747,4.5644917,4.0005727,5.0657916,6.9444976,4.367868,4.913234,4.261151,4.776853,4.771701,3.5780435,1
9.436726,5.6732807,3.1574056,7.0418906,2.1742222,5.6897874,7.179912,4.7596507,3.4709675,6.4930153,4.437933,6.71469,1.2353088,0
9.278235,5.6271005,3.3585665,7.058732,2.2135618,5.720587,7.243389,4.859062,3.5231054,6.513283,4.3480034,6.5628138,1.3894664,1
0.67751724,4.50242,4.184013,4.1393666,3.1334937,4.6586843,7.565036,5.2407084,4.140565,3.9030554,3.8246286,5.30684,3.6795328,0
0.9633495,3.78161,4.2956777,4.517545,3.9704716,4.9859567,6.930518,4.3577175,4.881177,4.190423,4.7381597,4.730002,3.6879232,1
