0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class_numeric
7.069963,6.8282785,5.1002007,4.4093647,6.401618,5.569856,2.7460525,4.066854,4.015818,6.549957,6.3971295,5.2653246,3.749821,4.201318,4.250276,2.4988306,1
1.5841097,8.54097,4.122397,5.375635,6.431455,5.4284716,2.0175338,4.3701806,3.8407528,3.6474104,7.1021333,4.90621,5.1051345,4.8764105,5.0728745,3.6727238,0
-1.3865467,8.3290205,3.732717,4.981283,6.4986324,4.5524116,2.4802725,4.226584,4.9238443,2.2632525,7.2796407,4.899252,5.833494,5.3528814,6.489881,4.8703523,1
6.877561,6.984018,4.545417,5.096611,6.6983757,5.9258323,2.6401608,3.9657087,3.5980794,5.778487,6.8782854,5.715794,3.1850498,4.2187443,3.0119007,2.9835246,0
7.2913213,6.7602816,5.0970106,4.3748865,6.530725,5.4580593,2.6544802,4.0512137,3.916581,6.634939,6.357305,5.210057,3.7532523,4.1810155,4.4011965,2.3922231,1
-1.2267227,8.4293375,3.8116276,5.0772176,6.3598866,4.68296,2.5411537,4.1273913,4.771294,2.1813965,7.256039,5.005747,5.875994,5.3948894,6.577397,4.7496023,0
-0.88549316,8.590309,3.7997317,5.205909,6.3313723,4.9209642,2.1848578,4.1917105,4.518168,2.2662165,7.256503,4.880058,5.840462,5.3346796,6.3977394,4.521055,1
-0.012805136,8.721933,4.1453614,5.2884383,6.356393,5.2876863,2.1611223,4.3274245,4.0505557,3.068768,7.1788173,4.9073915,5.6852455,5.2239556,5.6893477,4.0586157,0
7.189332,6.7821703,5.105356,4.401065,6.471289,5.539545,2.7055907,4.0655622,3.980057,6.5712605,6.359441,5.2298794,3.7155364,4.155891,4.3142204,2.451945,1
-1.1414167,8.5083,3.8574762,5.1256876,6.2921824,4.770609,2.480356,4.14929,4.6795263,2.1777372,7.2654686,4.989441,5.8910832,5.375072,6.5600934,4.6923995,0
-0.9951724,8.586038,3.818868,5.2066894,6.2823853,4.8877397,2.2775278,4.1423345,4.5564027,2.1723282,7.252435,4.938697,5.876784,5.3700933,6.5103226,4.566023,1
7.0728908,6.8710318,4.563103,5.08188,6.646575,5.965893,2.7192984,3.9041238,3.616733,5.8425484,6.7335796,5.745689,3.1447303,4.0955305,2.9368982,2.9445648,0
7.5283256,6.670837,5.06487,4.52586,6.6498923,5.5742035,2.7096577,3.962863,3.8054645,6.632874,6.3801575,5.4023337,3.5706072,4.1502643,4.3036723,2.441159,1
1.8488573,8.503697,4.2440686,5.353044,6.3777323,5.5215087,2.0330539,4.4230137,3.7753212,3.8034027,7.138187,4.979904,4.931932,4.8902926,4.887148,3.6208472,0
1.9049485,8.553061,4.2564316,5.3788967,6.3546305,5.6031237,1.9948038,4.4493337,3.7130084,3.783089,7.1748214,4.9581146,4.9139614,4.8639,4.90533,3.568185,1
6.7967377,6.909078,4.5278497,5.313461,6.78295,5.8320293,2.558344,3.944303,3.404288,5.685018,6.846756,5.7506075,3.0409532,4.130525,2.8816671,2.8983285,0
8.362553,6.265458,4.8589735,5.1050262,6.9458227,5.8180337,2.880021,3.5911782,3.3280528,6.4522443,6.3708487,5.8118215,2.8646283,3.822559,3.4595773,2.4344764,1
0.9275753,8.591911,4.172576,5.381249,6.346135,5.3181505,2.114954,4.4020715,3.9710448,3.54008,7.08528,4.9100437,5.3333282,5.049777,5.2241206,3.8152196,0
-1.4829192,8.219504,3.755194,4.8883915,6.603686,4.4036,2.6220605,4.309089,5.0987525,2.4706848,7.2917547,4.9067535,5.7722235,5.30434,6.395872,4.990439,1
7.008577,6.8446493,4.5725474,5.2493644,6.7809057,5.8689647,2.6055257,3.9176745,3.446321,5.794122,6.8038454,5.734147,3.0325541,4.1178436,2.9320002,2.8554745,0
8.13935,6.4212923,4.979148,4.7963243,6.7764525,5.623773,2.7491138,3.83527,3.5454483,6.6412554,6.3578477,5.6134777,3.2045965,4.020607,3.9839716,2.4151306,1
0.8752933,8.682353,4.1993113,5.3210897,6.3114057,5.4177423,2.1220338,4.4408913,3.9781907,3.478854,7.0723042,4.9061985,5.402877,5.184386,5.2209153,3.8869398,0
-1.5537215,8.261598,3.7068493,4.9257364,6.5605793,4.448988,2.5656939,4.2542295,5.0486393,2.3112552,7.309443,4.8755393,5.8252954,5.3397923,6.483613,4.971929,1
6.4264956,7.078044,4.4829426,5.292933,6.739538,5.802898,2.5126011,4.0343437,3.4470685,5.5695477,6.954351,5.7088256,3.1660461,4.2458634,2.925624,2.9943237,0
8.127437,6.407147,4.9735465,4.816137,6.7821116,5.630151,2.7454479,3.8061986,3.5373213,6.6245837,6.343926,5.6125956,3.1962314,3.994188,3.9861681,2.3995981,1
0.39770493,8.507654,4.331049,5.3003745,6.319852,5.1305733,2.3992612,4.4921403,4.189478,3.5064673,7.0617485,4.9924603,5.5346313,5.173094,5.333155,4.062526,0
-1.5547115,8.1570425,3.758293,4.832786,6.5863786,4.342258,2.6733673,4.2646565,5.1200457,2.4250672,7.2605863,4.9463034,5.773198,5.3535748,6.4569206,5.0423074,1
7.125862,6.7554917,4.5767617,5.2678123,6.790719,5.838048,2.6128547,3.8739212,3.3984995,5.8203855,6.728382,5.778942,2.9759684,4.043514,2.9191136,2.815492,0
8.174806,6.3741293,4.915618,4.8749056,6.8331385,5.6694074,2.750904,3.774228,3.4703577,6.551804,6.370865,5.683584,3.1001165,3.978186,3.8691587,2.4392407,1
0.19435899,8.484023,4.2708125,5.201639,6.360506,4.9791336,2.5293365,4.524798,4.3635564,3.5347192,7.098035,4.9995914,5.578583,5.170807,5.365268,4.236514,0
-1.6624403,8.181058,3.7907114,4.8043995,6.6267805,4.3211827,2.7653487,4.3731337,5.191519,2.5595498,7.3357196,4.8859034,5.735588,5.2603483,6.39235,5.103378,1
7.640264,6.649569,4.8492723,4.8806834,6.7580357,5.738923,2.6841938,3.882131,3.6040945,6.3186297,6.5292273,5.624902,3.2385578,4.091038,3.6923578,2.6151888,0
8.225573,6.3448935,4.922871,4.7800837,6.8246465,5.584946,2.6927292,3.8121355,3.4750788,6.611079,6.352347,5.671108,3.1473174,4.0095944,4.065352,2.4100964,1
0.89868575,8.480615,4.1088314,5.382974,6.4205723,5.1875806,2.1469674,4.3292427,4.010115,3.461757,7.0824018,4.963847,5.3927684,5.0212836,5.30269,3.8300476,0
-1.4941483,8.18124,3.6295044,4.9233866,6.6318984,4.3999014,2.4360435,4.168805,5.08204,2.21871,7.2483883,4.90239,5.800432,5.384268,6.531597,4.9308295,1
7.4988155,6.728883,4.8509126,4.844143,6.7036314,5.779717,2.7078948,3.9061835,3.684555,6.2819867,6.52324,5.593908,3.3048787,4.088757,3.6439626,2.6598463,0
7.175966,6.887234,4.813654,4.814844,6.6623955,5.804265,2.6738086,3.980935,3.773779,6.1566,6.6493087,5.562426,3.409416,4.197459,3.6131637,2.7737079,1
0.80165404,8.8391905,4.216166,5.344573,6.342589,5.498319,2.0131497,4.403315,3.7731037,3.4801352,7.156334,4.8971953,5.3679667,5.0588746,5.237167,3.764544,0
-0.112766474,8.93272,3.8737814,5.5048547,6.2215753,5.429767,1.8001662,4.114354,3.9622939,2.5031455,7.183564,4.6603346,5.6128964,5.2707224,6.1478148,3.932438,1
6.2499094,7.3494806,4.6318064,4.814052,6.661305,5.8215976,2.509674,4.158679,3.8877347,5.751414,7.1018944,5.5158043,3.6572104,4.5498157,3.5334659,3.099877,0
6.909743,7.0186696,4.840201,4.683278,6.621565,5.759194,2.6427562,4.06278,3.8890526,6.151184,6.7411895,5.469044,3.586909,4.332295,3.7828338,2.808417,1
0.6591466,8.893222,4.2666173,5.328167,6.302748,5.5091143,2.0589268,4.444318,3.804081,3.4630497,7.1576214,4.882509,5.42208,5.1079645,5.2763085,3.8273973,0
-0.122148685,8.951884,3.8862443,5.510112,6.2258396,5.4639726,1.7862724,4.1081586,3.9222536,2.4931319,7.17799,4.66392,5.6116624,5.2694592,6.155564,3.8954794,1
8.0760975,6.432077,4.9901676,4.740331,6.777716,5.5928745,2.7349968,3.845985,3.5744953,6.648393,6.319271,5.5852604,3.2501032,4.000586,4.0681944,2.3914893,0
7.173004,6.9242454,4.861032,4.7164707,6.704813,5.76507,2.6518734,4.007795,3.8291464,6.228886,6.708456,5.5269194,3.5095096,4.2956305,3.8391316,2.7666507,1
0.026154343,8.91735,3.878,5.480394,6.2485743,5.433549,1.7786446,4.1546803,3.9702427,2.5942528,7.198537,4.6761966,5.551271,5.1845536,6.026498,3.922383,0
-0.6085013,8.786443,3.9664733,5.2524967,6.3106236,5.142028,2.1631608,4.300661,4.322121,2.6983325,7.2771235,4.753061,5.7516513,5.227822,6.088631,4.3696594,1
7.53403,6.6912737,4.989202,4.6518416,6.657423,5.6488333,2.7069488,3.93148,3.766996,6.5063257,6.422777,5.469026,3.465977,4.125895,4.071538,2.5207067,0
6.5483704,7.2196264,4.678943,4.8002315,6.660114,5.7814617,2.569521,4.1011963,3.8436563,5.8746157,6.9726725,5.511665,3.5882127,4.461786,3.5940769,2.9882562,1
