0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,class_numeric
8.09135,-0.09313632,7.0913773,0.3623672,1.88547,10.535165,2.849174,3.4463117,5.1418824,6.856835,6.6789017,5.0788293,3.3821232,0.1799877,7.3514285,3.7619038,8.9981365,7.337632,7.7113423,5.1451697,0.9465151,5.220979,7.0973954,2.2916763,3.146771,4.1061497,4.003215,4.792101,6.7471514,4.6150713,1
8.080313,-0.089778535,7.104626,0.36232838,1.8703151,10.546631,2.8499093,3.4440162,5.1520634,6.8684387,6.6747546,5.069633,3.3799267,0.17024183,7.342809,3.7597313,9.005293,7.324755,7.7150025,5.1550646,0.935295,5.227902,7.0926833,2.2907405,3.1451378,4.111523,4.0077744,4.801377,6.7392235,4.6134615,1
8.079715,-0.08487251,7.106545,0.35644633,1.8706285,10.542286,2.846366,3.450238,5.1512327,6.866183,6.676259,5.069315,3.3795109,0.17405199,7.338335,3.7626078,9.007801,7.328642,7.708431,5.1598177,0.9403154,5.223427,7.09929,2.2979856,3.1397889,4.105618,4.006883,4.8026347,6.734767,4.6102057,1
8.084214,-0.10376587,7.094449,0.37304595,1.86535,10.550122,2.854779,3.4227014,5.1456256,6.865749,6.679646,5.0776777,3.3876722,0.16098462,7.361625,3.7594287,8.991755,7.321686,7.7400637,5.137372,0.927071,5.244252,7.068923,2.2698174,3.1615927,4.1347146,4.003447,4.7956204,6.7568016,4.6311183,1
8.103368,-0.0857987,7.0833936,0.3539785,1.91185,10.51856,2.8443263,3.4664228,5.1356463,6.8455987,6.6794953,5.0828934,3.3789582,0.19818406,7.3440585,3.763499,8.999784,7.3552804,7.6853175,5.149692,0.9663372,5.199445,7.121971,2.3113077,3.1356065,4.0816236,4.0011497,4.7849803,6.740937,4.601592,1
8.077603,-0.10111218,7.099288,0.37169632,1.8686645,10.554277,2.8561513,3.434737,5.157536,6.87753,6.671797,5.0688615,3.383479,0.16125935,7.35608,3.7568336,8.997928,7.3169765,7.7238736,5.141907,0.92807966,5.237358,7.084174,2.2817268,3.1560025,4.1203523,4.009632,4.802213,6.7523236,4.6256895,1
9.126696,1.7350872,9.315437,2.3026743,-1.6118171,0.1301577,11.631428,0.037819657,3.562587,5.0163226,9.960986,4.1930885,3.4784834,2.671369,7.3817515,0.35764062,5.049435,6.1922975,8.575996,5.446045,3.463233,5.5602374,6.332495,6.58102,2.9926944,5.235753,4.7485576,3.934282,7.3807034,4.9427876,0
10.455524,11.927702,11.646558,-1.8910024,1.5661054,2.8822155,0.6092193,1.2870475,4.5190434,7.5494585,8.713047,5.155851,2.719042,1.4846828,7.247156,3.6346202,4.3657427,5.99773,7.7360997,5.4690485,3.8126621,3.6739473,6.2474957,5.549756,3.1033537,3.8729255,4.647367,4.7535605,6.6548553,4.5905547,0
10.434272,11.944786,11.620902,-1.8499818,1.5494989,2.8530364,0.6165386,1.2720219,4.539795,7.5613923,8.727841,5.125514,2.7009835,1.505186,7.2376842,3.6130626,4.3800874,6.0245967,7.759385,5.4849358,3.8539395,3.670587,6.2377014,5.580355,3.0788312,3.9053764,4.6924057,4.780874,6.6306877,4.562286,0
10.431201,11.957929,11.615641,-1.8436412,1.5479865,2.8452768,0.62120366,1.2734064,4.550599,7.5757914,8.745005,5.1168857,2.6964722,1.5036362,7.2375603,3.612741,4.37889,6.028737,7.784632,5.4894633,3.85606,3.685804,6.2379527,5.583712,3.075029,3.9049056,4.696184,4.802168,6.6080995,4.5374084,0
