0,1,2,3,4,5,6,7,8,9,10,11,12,13,active_hand
10.538971,6.631702,6.287136,3.2552276,4.80174,4.663534,6.056461,6.0327163,4.14698,1.6099904,4.734171,3.3900642,4.9452367,-5.0781035,1
1.9219123,12.668138,5.6015325,6.409954,9.763537,5.4347425,5.5857363,5.093037,3.6322877,5.1195707,6.034163,5.7444506,4.2657723,5.4737854,0
10.555691,6.6494694,6.28993,3.2370791,4.7768483,4.6586833,6.0774236,6.0601535,4.163653,1.6321365,4.7177396,3.370772,4.9588017,-5.0546546,1
1.9136236,12.676656,5.6071973,6.4112735,9.753263,5.429748,5.5953074,5.084955,3.6416497,5.1246204,6.042285,5.7364974,4.257969,5.482461,0
10.552603,6.6515107,6.287642,3.241555,4.779152,4.657674,6.0800266,6.0606265,4.1659093,1.6354686,4.7165046,3.3725915,4.9607153,-5.066082,1
1.9328437,12.657053,5.5923047,6.408877,9.77769,5.441972,5.573477,5.103712,3.6201603,5.112666,6.023515,5.754669,4.2757907,5.462535,0
10.569219,6.6268616,6.2979827,3.2233276,4.771614,4.678123,6.0742965,6.039129,4.1412406,1.6283859,4.7396364,3.3669932,4.962775,-5.0417743,1
1.923871,12.667381,5.600622,6.412574,9.76472,5.4359922,5.5842643,5.095087,3.6306567,5.1168065,6.033365,5.7452197,4.2665586,5.471952,0
10.555971,6.6360846,6.292971,3.2369332,4.779564,4.666924,6.075373,6.045196,4.152121,1.6298988,4.731248,3.3733196,4.9598236,-5.0590363,1
5.8679743,17.685978,4.64934,6.0798426,4.2045226,3.5034704,5.460744,4.4112773,5.028004,4.6228633,3.039683,6.7356563,5.5525827,5.1202803,0
1.1582241,2.8367321,15.197124,4.6343017,5.1578054,3.4994814,5.3443418,3.767951,4.6564007,4.3752594,4.8540773,5.3474364,4.4714217,3.565917,1
5.870351,17.6836,4.6564083,6.0700297,4.1931252,3.5157738,5.4514003,4.393197,5.022269,4.6266303,3.035375,6.740508,5.567462,5.133923,1
1.1562766,2.8358366,15.195554,4.634889,5.1575966,3.5003648,5.3434844,3.7683353,4.654274,4.3749776,4.853695,5.349217,4.470819,3.565287,0
5.8721128,17.685604,4.6580634,6.0669065,4.191765,3.521161,5.450579,4.3925033,5.017654,4.625564,3.0362155,6.739275,5.572582,5.1365023,1
1.1412668,2.8515387,15.20789,4.6217594,5.162103,3.4846263,5.3591557,3.7588754,4.6396475,4.381578,4.8419647,5.361063,4.483932,3.54926,0
5.8585696,17.659805,4.6639447,6.0289884,4.222485,3.492683,5.4850264,4.4157815,5.0494795,4.6382713,3.0222406,6.7594204,5.608125,5.1071353,1
1.1696653,2.8169434,15.201487,4.6521807,5.1420407,3.5193362,5.324647,3.7847936,4.667535,4.359068,4.8503056,5.3345957,4.4535522,3.5722635,0
5.854397,17.686228,4.691013,6.0403504,4.1733365,3.5527496,5.4464545,4.362039,5.0135407,4.6583805,3.0032518,6.7535186,5.6099305,5.1600685,1
1.1745663,2.8175182,15.201284,4.652485,5.1412635,3.5187256,5.325191,3.7853405,4.6717277,4.358371,4.850766,5.3319516,4.4532194,3.575773,0
5.854243,17.69644,4.70482,6.015532,4.166814,3.5678096,5.4448123,4.360081,4.998372,4.6667466,2.993139,6.748,5.637244,5.166197,1
1.1628509,2.8459485,15.200294,4.625039,5.1670585,3.4902394,5.353576,3.7587438,4.6632047,4.384464,4.8638134,5.3459125,4.480662,3.5695229,0
5.767192,17.644978,4.77976,5.9246716,4.1890326,3.6034424,5.525404,4.3437366,5.058588,4.762962,2.8895452,6.8250957,5.7490945,5.1501207,1
