0,1,2,class_numeric
-5.3059206,5.6946588,4.975634,1
3.2053804,5.3626595,5.223649,0
5.427628,5.5823016,6.075831,1
-1.2481403,6.128086,3.8159144,0
-5.1896696,5.746841,4.826685,1
3.8232996,4.96185,5.511047,0
4.6029096,4.210359,6.191896,1
-2.9571848,5.997127,4.6485796,0
-3.9714246,5.423139,4.8822923,1
4.4424415,4.3477173,5.807076,0
4.8056045,4.1369753,6.4183035,1
-2.7618172,6.001393,4.2806067,0
-3.8584588,5.540101,4.71425,1
3.9415224,4.972168,5.4883156,0
4.5899425,4.222793,6.343879,1
-1.3270252,6.1782537,3.5947683,0
-2.856408,6.339516,3.176042,1
4.124868,4.7762675,6.02319,0
4.792393,4.0930285,6.4782434,1
-1.2848251,6.1443386,3.6219413,0
-2.6213374,6.3500915,3.1784992,1
3.8569574,5.0211368,5.388056,0
4.414128,4.1421046,6.17326,1
-2.9142773,6.1854143,3.6405063,0
-3.8308945,5.532454,4.6036806,1
