0,1,2,3,4,5,6,7,8,9,10,11,active_hand
9.679904,4.8406725,5.598838,6.410614,4.591154,3.6703095,4.6627235,3.4181678,6.8704348,-4.2460365,5.6862183,2.3303678,1
1.472414,14.197936,3.3425128,5.6842413,9.208662,4.7206483,5.166325,4.997493,4.609651,3.672155,5.797643,5.240247,0
1.4582472,14.210655,3.329738,5.6972523,9.211837,4.703609,5.179307,5.011917,4.623932,3.6867368,5.810478,5.225368,0
9.726041,4.8819685,5.638928,6.39385,4.625915,3.6727226,4.6981015,3.4895465,6.9028773,-4.1802278,5.7243314,2.2979765,1
1.4668174,14.204308,3.3285794,5.6713758,9.176052,4.722314,5.17871,5.002698,4.6128416,3.6779857,5.809079,5.2350035,0
9.598209,4.5980434,5.5191793,5.9326878,4.7347145,3.6252623,4.6172743,3.6495905,7.3293386,-4.500084,6.050215,1.7530564,1
1.4614114,14.20998,3.3205106,5.6746163,9.173731,4.7179537,5.1617103,5.0081387,4.618643,3.683872,5.79028,5.2291727,0
9.585672,4.585744,5.5108967,5.934033,4.718167,3.61918,4.6168256,3.6263332,7.3191137,-4.5314445,6.0463862,1.7674519,1
1.469581,14.200119,3.3309805,5.6688485,9.173848,4.725782,5.1784134,4.99989,4.6082816,3.6750333,5.8080974,5.23781,0
9.597589,4.5965695,5.5192995,5.933669,4.733354,3.6251836,4.617695,3.646819,7.3268495,-4.5046544,6.04893,1.7560787,1
1.4744093,14.192839,3.334215,5.662657,9.166967,4.731579,5.1767025,4.995074,4.600677,3.6703773,5.805131,5.242497,0
9.600103,4.600558,5.5207467,5.9348693,4.734817,3.6256301,4.6175933,3.6490493,7.326893,-4.496941,6.04849,1.7559646,1
1.4600279,14.208883,3.3280487,5.6868925,9.19766,4.7116623,5.180956,5.0096674,4.618771,3.684266,5.812065,5.228523,0
9.64331,4.6486173,5.5491977,5.9801774,4.753318,3.626242,4.624006,3.6807077,7.296843,-4.4163446,6.0140877,1.7785524,1
1.4497489,14.235267,3.3261452,5.7105713,9.227668,4.691859,5.190924,5.020454,4.6489234,3.695142,5.824862,5.216507,0
9.656926,4.656681,5.558691,5.978134,4.7716255,3.628586,4.614815,3.7055407,7.3010187,-4.4039426,6.016481,1.7737808,1
1.4705118,14.189571,3.3332348,5.6684427,9.1746855,4.726836,5.179342,4.999013,4.597408,3.6741261,5.807922,5.238728,0
9.597604,4.5949984,5.514963,5.913332,4.743215,3.6227586,4.6162786,3.6733053,7.357261,-4.487897,6.0704865,1.7209332,1
1.4711223,14.186558,3.3325713,5.667534,9.173483,4.7275696,5.1761127,4.998406,4.594267,3.673503,5.8049316,5.2393847,0
9.608086,4.604134,5.524406,5.9157076,4.7581744,3.6331606,4.619266,3.6861625,7.359468,-4.470601,6.068961,1.7172284,1
1.4721447,14.190847,3.3331153,5.666614,9.172378,4.728394,5.178339,4.9974008,4.598835,3.6725895,5.8075914,5.2401953,0
9.606548,4.6041093,5.524203,5.9265833,4.7484875,3.629391,4.6181335,3.6706045,7.342793,-4.480143,6.0577035,1.7361672,1
1.497792,14.161402,3.3515818,5.6375604,9.140724,4.7555356,5.170754,4.9719324,4.569612,3.6479661,5.79524,5.2643647,0
9.603263,4.596592,5.5212555,5.90688,4.7569113,3.632682,4.618815,3.683044,7.3644247,-4.483268,6.075641,1.7128272,1
1.4696693,14.191675,3.3335688,5.6719484,9.180075,4.724567,5.1809616,4.9998775,4.5999665,3.6747642,5.810832,5.238169,0
