class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
all-classes,0.9608165429480382,AHpf,True,True,kpca,cosine,1,10
all-classes,0.9609225874867444,AHpf,True,True,kpca,cosine,1,11
all-classes,0.9611876988335101,AHpf,True,True,kpca,cosine,1,12
all-classes,0.9611876988335101,AHpf,True,True,kpca,cosine,1,13
all-classes,0.9609225874867444,AHpf,True,True,kpca,cosine,1,14
all-classes,0.9610816542948039,AHpf,True,True,kpca,cosine,1,15
all-classes,0.7164369034994698,AHpf,True,True,umap,None,1,1
all-classes,0.7213149522799576,AHpf,True,True,umap,None,1,2
all-classes,0.7518027571580064,AHpf,True,True,umap,None,1,3
all-classes,0.7561505832449629,AHpf,True,True,umap,None,1,4
all-classes,0.7658006362672323,AHpf,True,True,umap,None,1,5
all-classes,0.7680275715800636,AHpf,True,True,umap,None,1,6
all-classes,0.7720572640509014,AHpf,True,True,umap,None,1,7
all-classes,0.7752386002120891,AHpf,True,True,umap,None,1,8
all-classes,0.7752916224814422,AHpf,True,True,umap,None,1,9
all-classes,0.778525980911983,AHpf,True,True,umap,None,1,10
all-classes,0.7795864262990456,AHpf,True,True,umap,None,1,11
all-classes,0.7833510074231177,AHpf,True,True,umap,None,1,12
all-classes,0.7823966065747614,AHpf,True,True,umap,None,1,13
all-classes,0.7835630965005302,AHpf,True,True,umap,None,1,14
all-classes,0.7829268292682927,AHpf,True,True,umap,None,1,15
all-classes,0.955355249204666,AHpf,True,True,pca,None,2,1
all-classes,0.9590137857900318,AHpf,True,True,pca,None,2,2
all-classes,0.9696712619300106,AHpf,True,True,pca,None,2,3
all-classes,0.9700424178154825,AHpf,True,True,pca,None,2,4
all-classes,0.9720572640509014,AHpf,True,True,pca,None,2,5
all-classes,0.9718451749734889,AHpf,True,True,pca,None,2,6
all-classes,0.9730116648992577,AHpf,True,True,pca,None,2,7
all-classes,0.9725874867444326,AHpf,True,True,pca,None,2,8
all-classes,0.9734358430540827,AHpf,True,True,pca,None,2,9
all-classes,0.9727465535524921,AHpf,True,True,pca,None,2,10
all-classes,0.9735418875927889,AHpf,True,True,pca,None,2,11
all-classes,0.9729586426299046,AHpf,True,True,pca,None,2,12
all-classes,0.9737539766702015,AHpf,True,True,pca,None,2,13
all-classes,0.9737009544008484,AHpf,True,True,pca,None,2,14
all-classes,0.9738069989395546,AHpf,True,True,pca,None,2,15
all-classes,0.9507423117709438,AHpf,True,True,kpca,poly,2,1
all-classes,0.9507423117709438,AHpf,True,True,kpca,poly,2,2
all-classes,0.9652173913043478,AHpf,True,True,kpca,poly,2,3
all-classes,0.9653764581124072,AHpf,True,True,kpca,poly,2,4
all-classes,0.9682396606574761,AHpf,True,True,kpca,poly,2,5
all-classes,0.9674443266171792,AHpf,True,True,kpca,poly,2,6
all-classes,0.9685577942735949,AHpf,True,True,kpca,poly,2,7
all-classes,0.9682926829268292,AHpf,True,True,kpca,poly,2,8
all-classes,0.9691940615058324,AHpf,True,True,kpca,poly,2,9
all-classes,0.9692470837751855,AHpf,True,True,kpca,poly,2,10
all-classes,0.9697773064687168,AHpf,True,True,kpca,poly,2,11
all-classes,0.9694591728525981,AHpf,True,True,kpca,poly,2,12
all-classes,0.9700424178154825,AHpf,True,True,kpca,poly,2,13
all-classes,0.9696182396606575,AHpf,True,True,kpca,poly,2,14
all-classes,0.9704135737009544,AHpf,True,True,kpca,poly,2,15
all-classes,0.6864262990455992,AHpf,True,True,kpca,rbf,2,1
all-classes,0.6610286320254507,AHpf,True,True,kpca,rbf,2,2
all-classes,0.7079003181336161,AHpf,True,True,kpca,rbf,2,3
all-classes,0.6954931071049841,AHpf,True,True,kpca,rbf,2,4
all-classes,0.7145811240721103,AHpf,True,True,kpca,rbf,2,5
all-classes,0.7075821845174973,AHpf,True,True,kpca,rbf,2,6
all-classes,0.7182926829268292,AHpf,True,True,kpca,rbf,2,7
all-classes,0.715694591728526,AHpf,True,True,kpca,rbf,2,8
all-classes,0.7197773064687168,AHpf,True,True,kpca,rbf,2,9
all-classes,0.7163308589607635,AHpf,True,True,kpca,rbf,2,10
all-classes,0.7208377518557795,AHpf,True,True,kpca,rbf,2,11
all-classes,0.7178685047720043,AHpf,True,True,kpca,rbf,2,12
all-classes,0.719406150583245,AHpf,True,True,kpca,rbf,2,13
all-classes,0.7162248144220572,AHpf,True,True,kpca,rbf,2,14
all-classes,0.7190880169671262,AHpf,True,True,kpca,rbf,2,15
all-classes,0.5194591728525981,AHpf,True,True,kpca,sigmoid,2,1
all-classes,0.5131495227995758,AHpf,True,True,kpca,sigmoid,2,2
all-classes,0.5194061505832449,AHpf,True,True,kpca,sigmoid,2,3
all-classes,0.5222163308589608,AHpf,True,True,kpca,sigmoid,2,4
all-classes,0.5311240721102863,AHpf,True,True,kpca,sigmoid,2,5
all-classes,0.5292152704135737,AHpf,True,True,kpca,sigmoid,2,6
all-classes,0.533085896076352,AHpf,True,True,kpca,sigmoid,2,7
all-classes,0.5311240721102863,AHpf,True,True,kpca,sigmoid,2,8
all-classes,0.534305408271474,AHpf,True,True,kpca,sigmoid,2,9
all-classes,0.5319724284199364,AHpf,True,True,kpca,sigmoid,2,10
all-classes,0.5339342523860021,AHpf,True,True,kpca,sigmoid,2,11
all-classes,0.5325026511134676,AHpf,True,True,kpca,sigmoid,2,12
all-classes,0.5336161187698834,AHpf,True,True,kpca,sigmoid,2,13
all-classes,0.5337751855779428,AHpf,True,True,kpca,sigmoid,2,14
all-classes,0.5363202545068929,AHpf,True,True,kpca,sigmoid,2,15
all-classes,0.9528101802757158,AHpf,True,True,kpca,cosine,2,1
all-classes,0.9564156945917285,AHpf,True,True,kpca,cosine,2,2
all-classes,0.9695121951219512,AHpf,True,True,kpca,cosine,2,3
all-classes,0.9692470837751855,AHpf,True,True,kpca,cosine,2,4
all-classes,0.9714209968186638,AHpf,True,True,kpca,cosine,2,5
all-classes,0.9708377518557795,AHpf,True,True,kpca,cosine,2,6
all-classes,0.9717921527041358,AHpf,True,True,kpca,cosine,2,7
all-classes,0.9717921527041358,AHpf,True,True,kpca,cosine,2,8
all-classes,0.9720572640509014,AHpf,True,True,kpca,cosine,2,9
all-classes,0.9721102863202545,AHpf,True,True,kpca,cosine,2,10
all-classes,0.9721102863202545,AHpf,True,True,kpca,cosine,2,11
all-classes,0.9720572640509014,AHpf,True,True,kpca,cosine,2,12
all-classes,0.9726405090137857,AHpf,True,True,kpca,cosine,2,13
all-classes,0.9725874867444326,AHpf,True,True,kpca,cosine,2,14
all-classes,0.9725874867444326,AHpf,True,True,kpca,cosine,2,15
all-classes,0.9691410392364793,AHpf,True,True,umap,None,2,1
all-classes,0.9755037115588547,AHpf,True,True,umap,None,2,2
all-classes,0.9791622481442206,AHpf,True,True,umap,None,2,3
all-classes,0.979745493107105,AHpf,True,True,umap,None,2,4
all-classes,0.9804347826086957,AHpf,True,True,umap,None,2,5
all-classes,0.9805938494167551,AHpf,True,True,umap,None,2,6
all-classes,0.9804347826086957,AHpf,True,True,umap,None,2,7
all-classes,0.9802226935312831,AHpf,True,True,umap,None,2,8
all-classes,0.9800106044538707,AHpf,True,True,umap,None,2,9
all-classes,0.9800106044538707,AHpf,True,True,umap,None,2,10
all-classes,0.9800106044538707,AHpf,True,True,umap,None,2,11
all-classes,0.9799575821845175,AHpf,True,True,umap,None,2,12
all-classes,0.9802757158006362,AHpf,True,True,umap,None,2,13
all-classes,0.98016967126193,AHpf,True,True,umap,None,2,14
all-classes,0.9804347826086957,AHpf,True,True,umap,None,2,15
all-classes,0.9669671261930011,AHpf,True,True,pca,None,3,1
all-classes,0.9726405090137857,AHpf,True,True,pca,None,3,2
all-classes,0.9769883351007423,AHpf,True,True,pca,None,3,3
all-classes,0.9769883351007423,AHpf,True,True,pca,None,3,4
all-classes,0.9777836691410392,AHpf,True,True,pca,None,3,5
all-classes,0.9774125132555673,AHpf,True,True,pca,None,3,6
all-classes,0.9774655355249204,AHpf,True,True,pca,None,3,7
all-classes,0.977677624602333,AHpf,True,True,pca,None,3,8
all-classes,0.9775185577942735,AHpf,True,True,pca,None,3,9
all-classes,0.9775185577942735,AHpf,True,True,pca,None,3,10
all-classes,0.9773064687168611,AHpf,True,True,pca,None,3,11
all-classes,0.9774655355249204,AHpf,True,True,pca,None,3,12
all-classes,0.9776246023329799,AHpf,True,True,pca,None,3,13
all-classes,0.977677624602333,AHpf,True,True,pca,None,3,14
all-classes,0.9774655355249204,AHpf,True,True,pca,None,3,15
all-classes,0.9568928950159067,AHpf,True,True,kpca,poly,3,1
all-classes,0.9593849416755037,AHpf,True,True,kpca,poly,3,2
all-classes,0.9673382820784729,AHpf,True,True,kpca,poly,3,3
all-classes,0.9683987274655356,AHpf,True,True,kpca,poly,3,4
all-classes,0.9702014846235418,AHpf,True,True,kpca,poly,3,5
all-classes,0.9697773064687168,AHpf,True,True,kpca,poly,3,6
all-classes,0.9709968186638388,AHpf,True,True,kpca,poly,3,7
all-classes,0.9705196182396607,AHpf,True,True,kpca,poly,3,8
all-classes,0.97067868504772,AHpf,True,True,kpca,poly,3,9
all-classes,0.9707847295864263,AHpf,True,True,kpca,poly,3,10
all-classes,0.9711558854718982,AHpf,True,True,kpca,poly,3,11
all-classes,0.9707847295864263,AHpf,True,True,kpca,poly,3,12
all-classes,0.9712089077412513,AHpf,True,True,kpca,poly,3,13
all-classes,0.9709437963944857,AHpf,True,True,kpca,poly,3,14
all-classes,0.971102863202545,AHpf,True,True,kpca,poly,3,15
all-classes,0.7862672322375398,AHpf,True,True,kpca,rbf,3,1
all-classes,0.7852598091198303,AHpf,True,True,kpca,rbf,3,2
all-classes,0.7936373276776246,AHpf,True,True,kpca,rbf,3,3
all-classes,0.7983032873806999,AHpf,True,True,kpca,rbf,3,4
all-classes,0.8,AHpf,True,True,kpca,rbf,3,5
all-classes,0.8025980911983033,AHpf,True,True,kpca,rbf,3,6
all-classes,0.8015906680805939,AHpf,True,True,kpca,rbf,3,7
all-classes,0.8026511134676564,AHpf,True,True,kpca,rbf,3,8
all-classes,0.802916224814422,AHpf,True,True,kpca,rbf,3,9
all-classes,0.8030752916224815,AHpf,True,True,kpca,rbf,3,10
all-classes,0.8031813361611877,AHpf,True,True,kpca,rbf,3,11
all-classes,0.805408271474019,AHpf,True,True,kpca,rbf,3,12
all-classes,0.8023329798515376,AHpf,True,True,kpca,rbf,3,13
all-classes,0.8034994697773065,AHpf,True,True,kpca,rbf,3,14
all-classes,0.8015376458112408,AHpf,True,True,kpca,rbf,3,15
all-classes,0.5817073170731707,AHpf,True,True,kpca,sigmoid,3,1
all-classes,0.5765641569459173,AHpf,True,True,kpca,sigmoid,3,2
all-classes,0.5973488865323436,AHpf,True,True,kpca,sigmoid,3,3
all-classes,0.5971367974549311,AHpf,True,True,kpca,sigmoid,3,4
