0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,class_numeric
14.945255,5.3183684,5.5029817,6.3066173,1.6757324,3.9227498,5.7415676,5.3534427,4.3724513,4.4798408,6.5274315,4.857464,3.4597428,4.6979537,3.5915444,4.7022963,5.2914033,5.7808514,4.97738,4.73697,5.559171,7.4081035,7.242915,3.54684,6.0059476,1.0473602,5.327734,4.594877,4.10699,2
1.5270305,5.223214,5.35567,8.5722685,3.733198,3.6709557,5.605712,5.409895,5.769765,4.427426,3.9691532,5.321386,3.5075738,4.1493707,5.0273495,3.5574188,7.1775994,4.449566,5.205233,5.526,6.413958,4.7622604,5.4618917,4.71503,3.7093637,3.775537,5.748946,3.4363105,4.759089,0
1.0748426,5.311401,5.3745522,8.704772,3.7778795,3.672523,5.54467,5.3325233,5.7603273,4.4710383,4.023758,5.2935214,3.5187576,4.112004,5.1543427,3.580682,7.3602314,4.30649,5.2877617,5.552111,6.435844,4.73616,5.3881803,4.8314414,3.5991852,3.88554,5.783563,3.4525805,4.7574563,1
4.3661833,5.154794,5.366484,7.969195,3.8004956,3.8340688,6.21696,5.7114615,5.7347827,4.322443,4.025257,5.497853,3.5881097,4.769754,4.4269214,3.81089,5.9471316,5.2690463,5.2813363,5.0227704,6.4004164,4.7506995,5.738093,4.2081094,4.377788,3.3202221,5.598057,3.5615506,4.3817945,2
15.243788,5.427594,5.670265,6.322488,1.6161778,3.8094726,5.6289287,5.4414086,4.3682027,4.442206,6.509639,4.8727064,3.5146892,4.5574207,3.5238576,4.6704106,5.2416124,5.7617297,5.0316505,4.8068023,5.7264147,7.4861894,7.2581787,3.6520164,5.988817,1.0789771,5.455579,4.5969863,4.179729,0
15.204672,5.2960486,5.6272817,6.2976055,1.5455363,3.967521,5.581933,5.29739,4.3047676,4.4076195,6.5825176,4.763363,3.4283018,4.554404,3.5126066,4.753338,5.1757393,5.8754983,4.932915,4.6822176,5.6052876,7.565371,7.285976,3.5206146,6.0121684,0.99015594,5.3460293,4.7198305,4.199321,1
14.851119,5.3051133,5.433646,6.3093615,1.7202833,3.935464,5.8013487,5.3544226,4.400261,4.506178,6.50377,4.883355,3.4549878,4.7649045,3.622763,4.6920915,5.3287883,5.764532,4.9840693,4.7337046,5.508378,7.3659563,7.2277546,3.537931,5.9968286,1.0717187,5.302759,4.562913,4.068457,2
1.1503904,5.3195267,5.299287,8.694799,3.7169569,3.711929,5.595149,5.373964,5.880232,4.5478377,4.0287795,5.3659167,3.407356,4.1639366,5.1679697,3.5902689,7.33918,4.3316283,5.284307,5.553721,6.393662,4.7575216,5.4250326,4.845369,3.5885148,3.862297,5.864841,3.4759047,4.8214145,0
1.1917282,5.271236,5.353137,8.621399,3.7012703,3.723962,5.6341615,5.435188,5.8462243,4.4825206,3.981009,5.3189697,3.417014,4.1827884,5.115463,3.5769348,7.270809,4.397939,5.256837,5.5309143,6.376299,4.767111,5.4192467,4.810336,3.6639612,3.8126786,5.8177896,3.472252,4.811116,1
4.3678913,5.108487,5.365812,7.9220757,3.7904172,3.8049498,6.1733637,5.7153997,5.711022,4.2761307,3.9940574,5.4996014,3.6027315,4.7350755,4.3873897,3.7616131,5.8921046,5.2553205,5.228182,5.0688133,6.4162927,4.779153,5.7608624,4.1660147,4.371278,3.2958674,5.579818,3.5177062,4.4203386,2
