0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,active_hand
3.860857,16.320837,5.3359394,4.7797594,4.9888334,5.1999097,4.7516127,5.231247,5.3660784,3.5497634,5.2501783,4.9539647,4.4098268,5.255497,4.9944143,4.7617397,4.6291714,4.7747703,5.251555,4.8135743,5.15817,4.9820256,5.1837525,4.615567,4.8781786,5.2103834,5.2444644,4.807513,4.9147816,5.251244,0
9.670191,5.443142,4.6897607,6.765869,4.29304,5.515069,3.7948084,4.983957,4.6008716,3.304088,3.679468,5.5734577,-5.1149926,6.4261074,4.8616705,4.5338173,5.7549696,4.574573,4.876551,5.0092483,5.028962,4.7163815,4.77897,5.285213,4.982922,4.6941366,5.256937,4.8985376,5.2559843,5.50822,1
3.796198,16.348577,5.2711987,4.790345,4.965153,5.1723347,4.74101,5.250211,5.3328104,3.6076274,5.268733,4.9219317,4.4363647,5.229554,4.949951,4.7864704,4.585695,4.79783,5.285369,4.8411746,5.1965537,4.957813,5.163425,4.581657,4.91361,5.2276864,5.284926,4.7626886,4.8613424,5.2559514,0
9.664196,5.4515634,4.700819,6.784057,4.299151,5.5301733,3.7999835,4.9926915,4.584002,3.3159237,3.693349,5.567291,-5.0802507,6.416562,4.8436675,4.558024,5.7565527,4.594129,4.872095,5.023156,5.0327964,4.737133,4.7917485,5.2928934,4.9772797,4.7109623,5.2493396,4.907092,5.257416,5.5006056,1
3.8258765,16.332554,5.300723,4.7857394,4.977771,5.18766,4.7454476,5.2405252,5.3519764,3.5802448,5.2616134,4.9389696,4.42304,5.243286,4.973385,4.7734437,4.6088495,4.7855573,5.26547,4.8258066,5.1748724,4.9713297,5.1727796,4.6011834,4.8929534,5.219195,5.2626095,4.7862587,4.887007,5.2546325,0
9.6641865,5.449365,4.7012224,6.7805233,4.295391,5.529234,3.8015025,4.9929733,4.585146,3.3123972,3.691681,5.5679045,-5.081604,6.4196863,4.844611,4.556208,5.7581215,4.5907693,4.8736534,5.023338,5.03401,4.733749,4.7903423,5.291884,4.975802,4.70979,5.2481556,4.9068933,5.254789,5.4994264,1
3.8245609,16.335354,5.299627,4.785342,4.975472,5.1848245,4.7461514,5.240688,5.349555,3.5820584,5.2622495,4.936744,4.4237757,5.2424903,4.971004,4.774338,4.606427,4.786249,5.2680116,4.828441,5.1774583,4.9705434,5.1728773,4.598727,4.8955936,5.218995,5.2650456,4.7838597,4.8851986,5.254918,0
9.661411,5.4493017,4.6854606,6.7836103,4.309849,5.5248713,3.783045,4.984232,4.5910897,3.3219419,3.6944175,5.5610175,-5.101232,6.411651,4.856967,4.5448594,5.7473173,4.5926294,4.8635306,5.005546,5.0240636,4.735146,4.7931595,5.2984066,4.992745,4.705448,5.2682323,4.8961034,5.2696633,5.5176306,1
3.814208,16.337137,5.2894597,4.7872562,4.973974,5.183172,4.7438,5.242384,5.346619,3.590759,5.264837,4.934203,4.426004,5.240379,4.96575,4.776093,4.601451,4.787864,5.2711263,4.8301983,5.1813426,4.968299,5.170604,4.5957046,4.89888,5.221235,5.269416,4.778541,4.8773484,5.2549357,0
9.659543,5.446703,4.745019,6.774096,4.257939,5.5502276,3.8542955,5.0204854,4.5641994,3.29465,3.692437,5.5780916,-5.015792,6.452496,4.8097568,4.591727,5.7881074,4.5873227,4.89558,5.074032,5.0633373,4.7316027,4.7908816,5.281609,4.9267964,4.7299347,5.1905975,4.934743,5.213988,5.4472427,1
