0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,class_numeric
14.530513,2.126784,3.4037716,6.2487984,2.274972,4.570841,5.925271,3.3753176,2.8998933,3.8313303,4.4103284,4.1744633,4.6712294,7.2039456,6.205574,6.5194798,4.764659,5.9973288,5.3958225,3.5252717,3.8390925,5.868129,3.7556,5.0382447,5.507309,4.07416,2
2.7473152,5.8084097,6.902327,7.03209,3.7529802,4.731372,5.7492857,6.5438375,4.9359064,4.7809343,3.6595821,5.8686337,6.4445796,5.8055563,5.6329784,4.941522,3.4491515,4.506001,6.518321,5.062712,5.559948,5.2183146,3.7976282,5.997406,5.4527235,5.4869814,0
2.7250195,5.78216,6.9300866,7.000039,3.7770195,4.7517734,5.73073,6.5586452,4.949684,4.7637987,3.658712,5.8785257,6.4651246,5.8317127,5.648915,4.9605784,3.4270904,4.4855156,6.5349355,5.0894113,5.54193,5.1997523,3.7844646,6.0091896,5.426019,5.524784,1
4.110094,6.3008323,6.0771847,8.101442,2.9772825,3.994617,6.11215,5.590323,4.2660475,5.0580273,4.160099,5.482077,5.5656605,5.719392,5.2763057,4.8231087,4.1595573,5.083442,5.8717194,4.4095426,6.0504465,5.677331,4.195706,4.920259,6.4190354,4.6704264,2
15.039884,3.1087606,3.393341,6.3463817,2.5794199,4.613963,5.692223,2.6136742,2.7007797,3.7375498,5.2319946,3.930499,4.537728,7.4668045,6.2807255,6.6446724,4.689613,6.052621,5.4299903,3.4239075,5.1556525,5.3862734,3.6254594,4.7156343,5.7176895,4.5877175,0
14.834426,3.14607,3.2939014,6.3277626,2.5075445,4.564544,5.572313,2.653213,2.7121034,3.7199779,5.3119774,3.9083836,4.492997,7.6078167,6.408824,6.573448,4.773341,6.0362477,5.4898863,3.4401865,5.4380407,5.3159,3.6841354,4.7724924,5.8469806,4.6642694,1
12.4972315,4.5975404,4.693926,8.128913,1.758052,5.0980654,5.9840617,4.1624484,3.5285358,4.422517,5.477371,3.985186,4.534126,7.854249,6.740056,6.210461,4.5922713,5.4843054,5.5709167,4.173343,6.0879726,4.8465204,3.9050183,4.6764846,5.829857,4.698216,2
3.0082815,5.867953,6.8491473,7.1400886,3.6697488,4.5902896,5.873478,6.3157706,4.859574,4.8407335,3.7836785,5.8320694,6.2712517,5.7021656,5.543881,4.9152074,3.4954872,4.5597186,6.3990226,4.9652586,5.6025753,5.282914,3.8450878,5.727012,5.5795746,5.3928413,0
2.7978895,5.771044,6.824726,7.106825,3.693178,4.7944703,5.7256217,6.531228,4.861535,4.77686,3.6938176,5.8118615,6.3831253,5.863888,5.70714,5.008582,3.485071,4.591547,6.5385337,5.065358,5.5706944,5.246603,3.7774208,6.076713,5.51661,5.54627,1
4.033884,6.3083277,6.120142,8.088695,2.9546802,4.0499997,6.062963,5.6592507,4.2650084,5.0601892,4.137276,5.469116,5.6329985,5.751266,5.2873893,4.790535,4.187475,5.074685,5.916289,4.426302,6.062396,5.6207542,4.1821938,4.980406,6.400579,4.676137,2
12.428448,4.1928706,4.3069706,7.7630644,1.7716758,4.9055595,5.866149,4.0142946,3.4580333,4.29159,5.4327483,3.9897554,4.5083523,7.839934,6.7262836,6.191031,4.71351,5.59085,5.600111,4.103564,5.9741983,4.936937,3.9627132,4.740783,5.904237,4.6730504,0
14.966478,3.0388472,3.4263237,6.4044695,2.5448534,4.607908,5.792737,2.713791,2.7868497,3.7307186,5.2063828,3.8902528,4.5387664,7.364774,6.211879,6.7180567,4.6152053,6.0214067,5.356772,3.4844408,4.905857,5.3698735,3.6008017,4.6712995,5.654631,4.4489784,1
12.598019,4.5835314,4.689416,8.116926,1.772331,5.108981,5.9871044,4.111854,3.4982398,4.4194694,5.486085,3.9697578,4.518168,7.8591666,6.74007,6.2332807,4.590526,5.5025363,5.561204,4.1560435,6.061042,4.8443303,3.8871062,4.665204,5.825068,4.682776,2
3.516133,6.0102024,6.740856,7.1747212,3.711795,4.2021747,6.1147437,5.836449,4.849142,4.8850846,3.8375442,5.928434,6.0066032,5.5789113,5.365517,4.8795753,3.4473364,4.5561786,6.1231413,4.8512726,5.6314316,5.4648347,3.9521177,5.2820597,5.612596,5.2306914,0
2.806778,5.766342,6.8676977,7.0828066,3.7290244,4.7661743,5.7438097,6.519581,4.9087477,4.7577896,3.7004845,5.8265815,6.3888826,5.839945,5.6687684,5.001222,3.4547338,4.5447836,6.531007,5.0871906,5.537894,5.2376485,3.802844,6.0222435,5.48165,5.532713,1
3.9812784,6.3126855,6.145503,8.085952,2.941241,4.0843196,6.0277624,5.7066092,4.265795,5.0574203,4.120526,5.4596486,5.6653204,5.770024,5.295931,4.7757306,4.2056727,5.07698,5.946615,4.434256,6.0692396,5.5885515,4.1772084,5.0085063,6.395436,4.672882,2
15.028652,3.093899,3.3841367,6.346919,2.5545452,4.594205,5.70096,2.6436272,2.745642,3.740613,5.24735,3.9076896,4.5398965,7.4521923,6.271827,6.661038,4.681125,6.040159,5.4211287,3.455119,5.1422763,5.361903,3.6284833,4.7045016,5.7184353,4.545678,0
