0,1,2,3,4,5,active_hand
0.9895027,-1.141297,-0.03691517,1.2244453,1.5046594,-1.3175988,0
0.8094378,4.550002,-2.5943334,5.293355,12.495327,-1.7028886,1
0.979404,-1.1452605,-0.07873064,1.1793193,1.5473641,-1.29768,0
0.87455344,4.5047913,-2.5285769,5.2967105,12.474086,-1.7699542,1
0.9995411,-1.1276622,-0.074830905,1.1849718,1.5429975,-1.3234975,0
0.8405721,4.5286503,-2.5623214,5.2960014,12.491509,-1.73574,1
0.94137,-1.1896492,-0.060618892,1.200798,1.5279015,-1.2720596,0
6.265527,2.6632218,-3.075152,4.8266964,1.536473,-1.6474731,1
0.9723486,-1.1693397,0.0003147127,1.2662728,1.4661082,-1.311996,0
6.2681293,2.6658678,-3.0723853,4.823956,1.5349938,-1.6449523,1
0.9641005,-1.1745188,-0.016468134,1.2483225,1.4830382,-1.3012522,0
6.2606435,2.658476,-3.0795796,4.831419,1.5257615,-1.6527774,1
0.9418087,-1.1838064,-0.07651053,1.182046,1.5445678,-1.2678809,0
6.2923517,2.6906462,-3.0470755,4.799586,1.5339385,-1.6222018,1
0.92453206,-1.1919527,-0.11760358,1.1377227,1.5865922,-1.2446619,0
6.2597713,2.6589549,-3.0795753,4.8328967,1.5477655,-1.6545436,1
0.95532584,-1.1780571,-0.036430787,1.2273841,1.503157,-1.2880882,0
6.274301,2.6722906,-3.065783,4.817732,1.533854,-1.6397592,1
0.9633825,-1.1788458,-0.01404667,1.2497265,1.4807788,-1.3032863,0
6.19539,2.5913508,-3.1488898,4.8978434,1.5684102,-1.7112308,1
0.97866094,-1.163078,0.005212871,1.2700013,1.4613228,-1.318337,0
6.1958265,2.591758,-3.1484401,4.8973904,1.5681216,-1.7108197,1
6.2252707,2.6217742,-3.1178586,4.867564,1.5571921,-1.6833906,1
0.9837002,-1.1638064,0.016888756,1.2835757,1.4494274,-1.3278335,0
0.98812217,-1.1608889,0.03580303,1.3036495,1.430246,-1.3336284,0
6.2156405,2.611903,-3.127891,4.8772964,1.5636095,-1.6922828,1
0.93774354,-1.1941937,-0.05965278,1.2018709,1.5268397,-1.2693267,0
6.1900587,2.5858634,-3.154511,4.9032817,1.5681299,-1.7161287,1
6.177555,2.5731986,-3.1675382,4.9160385,1.5632235,-1.7278109,1
0.9486666,-1.176509,-0.08313216,1.1721933,1.5520753,-1.2719476,0
-3.0127242,8.353045,3.130296,5.4127207,-4.8305397,-3.121775,0
10.473178,0.5593871,3.6853957,16.755926,5.259731,0.21760558,1
-3.352872,8.798282,3.1409895,5.541216,-4.223713,-2.8580413,1
10.469469,0.56332195,3.6899984,16.75119,5.2558103,0.21370012,0
-3.359884,8.820552,3.134446,5.558998,-4.200737,-2.8423014,1
10.460558,0.5685917,3.6966028,16.743925,5.250515,0.20841007,0
-3.3914227,8.801432,3.1319633,5.5337467,-4.2200484,-2.8705027,1
10.479881,0.54600286,3.6737576,16.76499,5.273206,0.23137628,0
-3.3511245,8.88442,3.1276588,5.5846457,-4.1185794,-2.7819748,1
10.469882,0.567234,3.691976,16.749723,5.2518516,0.20972773,0
-3.3538508,8.885335,3.142133,5.5853357,-4.113329,-2.7722633,1
10.480525,0.55218005,3.6784306,16.76293,5.2668324,0.22471853,0
-3.3443286,8.947119,3.2224183,5.565194,-4.041049,-2.7577462,1
10.507471,0.49113628,3.6345434,16.7969,5.328319,0.2864961,0
-3.3680983,8.959041,3.2531507,5.547702,-4.0247197,-2.7675931,1
10.552437,0.3754763,3.5646524,16.835611,5.4450893,0.40401807,0
-3.3537755,8.963797,3.2519882,5.5518646,-4.0186663,-2.7610042,1
10.515438,0.41406378,3.6149292,16.80025,5.40604,0.3645756,0
-3.3571646,8.965404,3.2552404,5.548918,-4.017256,-2.7606742,1
10.529076,0.4289281,3.599954,16.816149,5.391072,0.3495877,0
-3.35304,8.972757,3.2549415,5.555602,-4.009011,-2.7539687,1
10.545284,0.4011296,3.5773063,16.827816,5.4193935,0.37822112,0
-3.3595817,8.957186,3.2494907,5.547705,-4.027853,-2.7666616,1
10.519118,0.46633792,3.6124723,16.814041,5.353173,0.3115268,0
