0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,class_numeric
2.341971,5.5532303,2.6339772,9.369053,4.659703,6.1772428,4.202461,6.120108,5.197966,5.9788156,6.2198267,3.3204277,6.356281,5.859581,3.7080355,5.9795585,7.079503,5.3146667,4.118071,3.9783268,5.630643,5.6016316,5.5438533,5.6769485,5.087529,0
2.4794135,5.5638857,2.5947342,9.3910885,4.689382,6.128384,4.2195306,6.163765,5.2319164,5.990928,6.2189746,3.324462,6.364556,5.838883,3.6761465,5.973279,7.054798,5.291066,4.1055045,3.912248,5.65317,5.6083627,5.526751,5.7094197,5.0838556,1
4.6025195,4.690484,3.2269363,9.432933,5.8660126,5.6811266,3.8748682,5.647129,5.2018714,5.7755837,6.1678557,4.1991105,5.4309754,6.4523187,4.3493614,5.302052,6.4336133,4.8016834,5.047011,3.8484876,5.5589533,5.6944976,5.7520294,5.1730824,4.901202,2
13.315512,4.689087,5.7702107,8.904142,9.296293,5.0373516,4.14574,5.4297614,4.1717105,4.8215456,6.840455,8.458195,6.0692425,8.957013,5.0090566,3.7262902,4.7363334,5.6322117,6.029127,5.15804,5.214634,4.2382975,6.3269506,5.766098,7.21782,0
13.225432,4.6653404,5.6113644,8.936701,9.17373,4.9511013,4.075986,5.3328614,4.111881,4.79464,6.8337564,8.360331,5.984291,8.92492,4.9097753,3.7121506,4.665017,5.755147,6.140218,5.24016,5.2892957,4.280245,6.24583,5.7136,7.1343684,1
11.0819,5.5425663,5.372125,8.359322,7.1897626,4.0826483,4.2857857,3.9559374,3.2184663,4.5867276,7.524488,6.7887883,5.5300274,8.039056,3.7609766,2.9529939,4.614398,6.1451645,6.2923784,4.230704,4.9357376,4.9283047,4.9793615,4.8967066,6.6028457,2
2.88809,5.397579,2.6863475,9.334854,5.012363,6.0794563,4.096374,6.103981,5.2868776,5.9394093,6.272442,3.4749193,6.16382,5.9906187,3.8669772,5.9271483,6.9660277,5.134541,4.3898745,3.885477,5.6717415,5.636056,5.600145,5.630758,5.032766,0
2.634188,5.5610633,2.5623937,9.43505,4.719073,6.052419,4.261378,6.1792755,5.2630234,5.9830394,6.2056317,3.3762462,6.3718147,5.8520193,3.6475139,5.938368,6.9867396,5.2486057,4.0899343,3.8671446,5.657403,5.6395416,5.526598,5.7309866,5.092626,1
4.653437,4.6710677,3.1917927,9.446126,5.881743,5.676665,3.854234,5.6853285,5.2413774,5.7857733,6.200293,4.1846247,5.393794,6.44956,4.3762026,5.3415055,6.4321136,4.761232,5.040128,3.8219552,5.5915885,5.72224,5.7769113,5.210249,4.8649454,2
11.2813225,5.2473884,5.223513,8.553788,7.4512386,4.3397765,4.018628,4.483621,3.5208158,4.8357134,7.242531,6.943133,5.6948547,8.017372,3.934984,3.3775365,4.7762346,6.093393,6.2145147,4.5109186,5.272178,4.853896,5.071159,5.204908,6.522206,0
13.353813,4.743197,5.904558,8.883604,9.391562,5.1088047,4.1577797,5.6078544,4.2613087,4.9437337,6.870919,8.521871,6.1803226,8.94147,5.055523,3.7838335,4.835607,5.521006,5.9223337,5.0471783,5.1736035,4.2450814,6.353279,5.871031,7.298873,1
11.239953,5.499973,5.438525,8.37284,7.270036,4.0723505,4.274658,3.9383314,3.2231479,4.5605426,7.5096564,6.8345337,5.5300145,8.099562,3.807984,2.9596803,4.5722666,6.166346,6.3426228,4.276381,4.9840236,4.8791885,5.04508,4.916817,6.6721845,2
3.1310313,5.109438,2.930696,9.189023,5.455855,6.140767,3.8684325,5.916438,5.2273936,5.9431524,6.288523,3.6405118,5.828878,6.1626024,4.175098,5.880813,6.9694867,5.0386057,4.8247666,3.9744005,5.6575017,5.5753765,5.69411,5.4499016,4.9853897,0
2.571073,5.5798335,2.5348186,9.442746,4.719198,6.050475,4.2695913,6.214292,5.2743144,6.0050793,6.2050004,3.3432276,6.386191,5.8154507,3.618568,5.954602,7.0032268,5.2511415,4.0840745,3.8417096,5.674301,5.6346593,5.5120025,5.75853,5.087507,1
4.5526037,4.7408657,3.2475214,9.43362,5.7871494,5.7001286,3.913743,5.596525,5.2076554,5.7478967,6.1427126,4.236238,5.4823184,6.4945216,4.2823534,5.249875,6.4436316,4.824613,4.960851,3.8363035,5.545888,5.6846023,5.751667,5.146072,4.925911,2
13.268858,4.694291,5.754729,8.895349,9.269268,5.056006,4.1236396,5.4553494,4.175755,4.8474083,6.823555,8.428722,6.077513,8.923588,4.984385,3.742915,4.755571,5.6351323,6.041462,5.1564593,5.2467117,4.256046,6.2937894,5.764687,7.166399,0
13.101231,4.660236,5.490901,8.953554,9.044247,4.8832765,3.9963589,5.278579,4.070814,4.8065157,6.8295107,8.244532,5.93141,8.865978,4.7984996,3.7151575,4.6289663,5.853925,6.2292643,5.2886405,5.3736186,4.335943,6.1372333,5.682999,7.044808,1
11.148375,5.4868245,5.4171963,8.422453,7.2444377,4.07747,4.228313,4.004247,3.2556148,4.645958,7.512165,6.8395596,5.5325494,7.9754524,3.7249048,3.003294,4.644426,6.2029986,6.243535,4.228325,4.9646554,4.8593445,4.9562216,4.918075,6.6616955,2
12.307363,4.935111,5.2850776,8.762696,8.35302,4.619843,3.8016753,5.0560436,3.832595,5.011709,7.0039897,7.6456485,5.902229,8.428285,4.2872243,3.6097338,4.7664604,6.055689,6.346238,5.0360174,5.5429945,4.6475186,5.515145,5.535389,6.7187357,0
2.6878283,5.5703216,2.4984894,9.419939,4.780109,6.0354414,4.228797,6.2473674,5.327611,6.0306945,6.2377563,3.325634,6.3705163,5.8174205,3.6230206,6.0172706,7.0285096,5.203787,4.1305814,3.8123906,5.7284923,5.648292,5.5232472,5.802294,5.069293,1
