0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,class_numeric
9.516765,-1.869366,3.3536935,9.367666,11.085085,11.57724,9.943605,3.3625004,5.958645,6.613421,2.6077096,5.73721,2.3323953,2.3991337,5.523076,7.3933277,8.575272,2.8537374,2.5243394,8.008116,3.9875574,3.1498735,1.7687793,4.1142488,8.683625,4.77596,5.561395,5.5651665,1
9.493201,-1.8758302,3.3560765,9.358057,11.064108,11.543156,9.907899,3.3714762,5.994876,6.624495,2.599636,5.7448134,2.3263054,2.4100797,5.561499,7.393871,8.595443,2.8907385,2.5348034,8.018496,3.9827414,3.1205583,1.7822652,4.1222577,8.688503,4.767636,5.5534387,5.5442758,1
9.504529,-1.8586414,3.3397715,9.374443,11.079756,11.564259,9.926877,3.3506503,5.9698224,6.5992446,2.6123106,5.7244005,2.3452787,2.391357,5.532846,7.406846,8.562724,2.864178,2.5125737,7.9936814,4.0003576,3.1492739,1.7755072,4.110488,8.676128,4.7828064,5.573624,5.551262,1
9.506359,-1.8680892,3.3496566,9.365344,11.077684,11.560629,9.923348,3.3614306,5.975612,6.6117477,2.6068647,5.7349553,2.3350253,2.4018095,5.5377903,7.397741,8.575403,2.8677368,2.5237653,8.005363,3.989807,3.1427157,1.775009,4.1167593,8.683049,4.775587,5.5625978,5.5548053,1
9.522939,-1.8817257,3.3672404,9.391147,11.102895,11.614147,9.979136,3.3584235,5.920461,6.6026683,2.5974436,5.745854,2.3216505,2.3740947,5.499215,7.377916,8.571961,2.832127,2.5138962,8.012174,3.9889581,3.1645963,1.7459387,4.0903916,8.679068,4.7630386,5.573786,5.5741234,1
9.573025,-1.8362145,3.3229227,9.378017,11.135212,11.637069,9.998421,3.3331957,5.8962517,6.582703,2.642125,5.6984367,2.3703678,2.3883033,5.4471135,7.418707,8.511588,2.7783413,2.4955046,7.9629197,4.0051064,3.2173877,1.7491835,4.110756,8.676122,4.8179755,5.5813704,5.61474,1
9.520738,-1.8694173,3.3545127,9.376125,11.094247,11.59121,9.9574795,3.3559928,5.9445295,6.602614,2.6085162,5.7335463,2.3335364,2.389848,5.512127,7.39173,8.566146,2.843453,2.515396,8.001164,3.9916694,3.1601965,1.7621062,4.1067066,8.680053,4.7757516,5.570318,5.5691133,1
9.545797,-1.8605841,3.3500059,9.383713,11.113828,11.617509,9.982655,3.347733,5.9163265,6.5942564,2.6185126,5.725303,2.341165,2.379808,5.47915,7.3934555,8.547265,2.8111246,2.506825,7.9910564,3.9963145,3.1890771,1.750674,4.1006684,8.675399,4.785127,5.5759706,5.5909834,1
9.522004,-1.862936,3.347344,9.375366,11.093447,11.588058,9.95246,3.3524046,5.9452343,6.599323,2.6126735,5.727807,2.3403614,2.39005,5.507976,7.397414,8.558563,2.8399787,2.5128973,7.9949193,3.995497,3.166084,1.764321,4.1082296,8.677308,4.7807627,5.5717874,5.5687537,1
9.495307,-1.8745054,3.3539462,9.358218,11.06683,11.552334,9.915758,3.3691654,5.983469,6.620557,2.60132,5.7416644,2.3289597,2.4099119,5.54652,7.395668,8.586868,2.876913,2.5322194,8.013473,3.9841006,3.1323147,1.781752,4.122474,8.687984,4.7692504,5.5555654,5.5454493,1
9.526178,-1.8900874,3.377025,9.355408,11.089257,11.586767,9.952239,3.3806057,5.950458,6.629163,2.596579,5.7570934,2.3110645,2.4113438,5.5163307,7.3712873,8.5858555,2.8463206,2.5410497,8.026296,3.9675202,3.1536033,1.7598705,4.12047,8.694643,4.7568946,5.5443482,5.57822,1
9.520039,-1.8680505,3.352268,9.368815,11.089544,11.581807,9.946638,3.3596237,5.9534144,6.608726,2.6091187,5.7341647,2.3347878,2.3978226,5.51589,7.3939667,8.567587,2.8468,2.520885,8.00309,3.989169,3.1575618,1.7660019,4.113193,8.682452,4.777068,5.564191,5.56808,1
10.125367,-2.4900193,3.5693452,8.747765,4.9106817,-0.44785303,8.222329,4.0642223,5.7626505,7.169696,3.5517504,5.2349052,2.3320925,2.0562563,6.0675917,7.248227,8.644181,3.1543984,1.9722526,7.9636955,1.0553123,3.6792212,1.5642214,4.593722,6.4340243,3.9487357,5.2649236,5.490068,2
10.118699,-2.4917405,3.5652888,8.752166,4.9060326,-0.44912103,8.229355,4.0586185,5.757269,7.1682205,3.5501118,5.233129,2.335542,2.0488958,6.074029,7.2505403,8.641921,3.154885,1.9641279,7.966907,1.060974,3.678551,1.5691887,4.599084,6.426266,3.9506474,5.260157,5.4857254,2
10.120294,-2.4894345,3.5666885,8.751729,4.906896,-0.45171824,8.228521,4.0599985,5.755672,7.171006,3.5501642,5.2346253,2.3328648,2.0507867,6.072663,7.250046,8.645232,3.1536558,1.9670589,7.9664607,1.058781,3.680885,1.5670563,4.5979595,6.429126,3.9512975,5.2615647,5.4869633,2
10.124153,-2.4839437,3.5693932,8.752827,4.917694,-0.44541457,8.214896,4.063663,5.767753,7.174395,3.546656,5.239994,2.3281472,2.0591545,6.069785,7.251249,8.648838,3.148365,1.9822514,7.967828,1.0515795,3.6820488,1.5602412,4.5939293,6.4417567,3.9567068,5.2680364,5.4921803,2
10.128926,-2.464757,3.5744247,8.750626,4.9153905,-0.4602684,8.216821,4.0683236,5.757774,7.1960864,3.5460925,5.239135,2.3098567,2.062161,6.065347,7.2495837,8.671099,3.1405358,1.984829,7.966253,1.0444155,3.7020109,1.555038,4.5904818,6.452418,3.9610016,5.268401,5.4922414,2
10.1207075,-2.4710882,3.5724695,8.759225,4.9082127,-0.4701751,8.229142,4.0619917,5.7396164,7.1944294,3.5435321,5.2468214,2.3154118,2.0562603,6.0744886,7.2523746,8.66876,3.137269,1.9857157,7.971377,1.0455277,3.7002766,1.5521945,4.59863,6.4432597,3.9686053,5.2698007,5.492439,2
10.143164,-2.3984718,3.5863013,8.741605,4.902951,-0.5106089,8.226619,4.0811477,5.7243395,7.2810206,3.5423946,5.216611,2.2450757,2.06325,6.051164,7.2467904,8.753735,3.115927,1.9743752,7.961961,1.0264784,3.7745626,1.5469998,4.5833693,6.4821124,3.9706612,5.2597866,5.482239,2
10.127514,-2.3899734,3.5716236,8.760999,4.914472,-0.50676113,8.216488,4.0665717,5.734521,7.2986765,3.5183556,5.1952763,2.243446,2.0478053,6.0662417,7.2659736,8.768557,3.0998552,1.960916,7.9830036,1.037417,3.7851915,1.5585749,4.5985017,6.471726,3.9939692,5.247297,5.467897,2
10.129539,-2.3914523,3.5731678,8.75834,4.912564,-0.506585,8.218519,4.0683966,5.7336426,7.2939243,3.5214636,5.196318,2.2439888,2.0491376,6.0642867,7.2635207,8.764564,3.1025884,1.9615117,7.9802504,1.0364329,3.7835793,1.5576594,4.597106,6.472278,3.9907467,5.248661,5.4694095,2
10.138821,-2.4072745,3.5844228,8.747555,4.899148,-0.5146592,8.233079,4.0769773,5.718191,7.2808633,3.5330517,5.210718,2.2572489,2.060434,6.056448,7.251857,8.75062,3.1156754,1.975505,7.969059,1.0287334,3.7678208,1.5447077,4.590116,6.473362,3.9795675,5.2622395,5.482733,2
10.118656,-2.379821,3.5636578,8.772102,4.918799,-0.5105829,8.213939,4.0583158,5.7342267,7.315779,3.5046153,5.1816916,2.2375574,2.037954,6.0750093,7.2768526,8.78373,3.0896893,1.9517725,7.994916,1.0426962,3.7968342,1.564705,4.608039,6.467343,4.0079303,5.239254,5.458761,2
10.131496,-2.391606,3.574446,8.75771,4.916743,-0.5040047,8.213818,4.070203,5.738944,7.2948313,3.5204957,5.19645,2.2444403,2.0520847,6.0623503,7.2632747,8.7645445,3.1021645,1.964963,7.980063,1.0345203,3.7823648,1.5559353,4.594943,6.4744005,3.990776,5.2505283,5.4710903,2
10.213004,7.0533705,3.6521478,10.657566,-1.4690013,9.446157,6.182155,10.575872,8.624349,10.015862,3.9938586,5.9333405,-0.3744175,0.89055914,6.9059157,7.417376,8.126178,2.5642004,1.3461502,8.749288,3.8298066,1.9800646,2.4334652,4.889538,7.7964997,4.462707,5.301187,4.7159314,0
9.742245,11.221983,12.619858,8.975538,7.9337993,3.920121,5.383341,3.2035542,7.696612,6.73175,2.2814033,5.901199,2.0977807,1.8347672,5.776444,7.298695,8.838301,2.7663436,2.9051313,7.744955,2.6937003,2.9440565,2.077429,4.371652,7.975882,4.141428,5.1437097,5.748514,0
9.746273,11.2342825,12.6310215,8.964456,7.9394627,3.9149914,5.393789,3.1897476,7.7034497,6.731568,2.2589955,5.8884797,2.0782034,1.8383131,5.769157,7.289936,8.833502,2.759774,2.9133284,7.734794,2.691218,2.9494805,2.0698512,4.370059,7.975781,4.153884,5.128579,5.7597637,0
9.727817,11.198183,12.598861,8.998874,7.91024,3.8949163,5.361412,3.1988668,7.677043,6.736187,2.275672,5.923715,2.0815418,1.8202918,5.779564,7.3147607,8.847706,2.749984,2.8959734,7.763206,2.6888747,2.9265294,2.0512347,4.3700914,7.9844513,4.117965,5.152025,5.792144,0
9.791418,11.219383,12.570082,8.958447,8.004176,3.9189165,5.4085755,3.0601785,7.758263,6.6284943,2.0518477,5.90796,1.8902903,1.8439487,5.6555963,7.2587667,8.874048,2.621899,3.0219924,7.7930827,2.5936346,2.8571632,1.9729301,4.274915,7.9356503,4.144254,5.0030365,5.9675074,0
