0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,active_hand
9.934125,4.6906056,4.708342,6.5684156,5.4674096,4.6154346,4.916431,4.1599846,6.473361,3.0939336,4.2337456,6.064595,-5.3099,6.5597696,4.807283,3.9449494,5.8739285,5.203372,4.9232464,5.163172,1
0.7356601,13.460487,5.0415573,3.8635733,4.970015,6.1776114,4.693136,5.3911223,5.544346,3.6923027,5.1810927,5.2898464,4.400741,5.5450897,5.615429,4.7737994,5.0543475,4.8703113,5.023474,5.288649,0
9.94381,4.6955547,4.711487,6.584467,5.45387,4.598878,4.919594,4.173241,6.489874,3.0760205,4.2186174,6.0728106,-5.30984,6.5673633,4.796588,3.9623716,5.884472,5.210694,4.905509,5.1519837,1
0.6639598,13.50058,4.969348,3.9353719,5.020026,6.1042995,4.7021027,5.3747945,5.4909425,3.6386292,5.114125,5.2728577,4.3953714,5.527578,5.5611496,4.76656,5.0244946,4.9092407,5.053923,5.2489905,0
9.917237,4.7393208,4.7391148,6.6454415,5.4588203,4.558204,4.9195566,4.196027,6.52787,3.0629976,4.209705,6.084295,-5.2541585,6.54953,4.803943,4.0152392,5.896754,5.189895,4.8939786,5.1363726,1
0.664743,13.4959345,4.9700212,3.9347897,5.0231395,6.104706,4.708629,5.3685646,5.4879174,3.6359954,5.115675,5.2665143,4.4020977,5.52122,5.5588317,4.7609053,5.029453,4.9138956,5.0478816,5.2535415,0
9.916718,4.7433634,4.741676,6.6533246,5.4567375,4.5513983,4.920181,4.1997213,6.5343585,3.0574355,4.2067957,6.086147,-5.250767,6.5496964,4.8028183,4.0243897,5.899088,5.190077,4.8889194,5.133645,1
0.7111229,13.479261,5.016216,3.8890848,4.994076,6.152015,4.700822,5.378814,5.519835,3.668417,5.156068,5.2780776,4.397529,5.533121,5.59202,4.7713337,5.0405326,4.891991,5.0391207,5.270225,0
9.930311,4.717739,4.727421,6.612351,5.455849,4.5769916,4.9227057,4.184359,6.51039,3.0628276,4.2152724,6.081046,-5.2827682,6.5595236,4.801301,3.9920535,5.892393,5.202183,4.893816,5.1425123,1
0.7117954,13.477578,5.0170016,3.8882055,4.993724,6.1528516,4.702357,5.3778105,5.5203176,3.668949,5.157005,5.276933,4.399411,5.5319557,5.5926776,4.769846,5.0422993,4.89217,5.037359,5.271786,0
9.93226,4.710431,4.721911,6.6030564,5.458464,4.5848775,4.921295,4.1780844,6.5027146,3.0681214,4.2194333,6.07683,-5.2900133,6.5601807,4.802481,3.9833684,5.887785,5.203328,4.8989697,5.147863,1
0.72105384,13.471625,5.0262876,3.879029,4.9874444,6.162237,4.701627,5.379772,5.526903,3.6756117,5.1656327,5.2788877,4.4016037,5.5340047,5.5994425,4.7694554,5.0472126,4.8873034,5.03229,5.2777376,0
9.933741,4.706139,4.71965,6.5952964,5.459598,4.5906076,4.922409,4.174102,6.497243,3.0720685,4.222961,6.0757103,-5.295248,6.5615745,4.8036623,3.9762578,5.886116,5.2053547,4.9025226,5.150218,1
0.7119036,13.483205,5.016178,3.8899424,5.0035996,6.15241,4.7167883,5.3637094,5.5109844,3.6598463,5.1519113,5.2630796,4.406363,5.518137,5.583737,4.7627325,5.041663,4.9039345,5.041648,5.2662983,0
9.933947,4.7159104,4.730724,6.602735,5.4497495,4.581783,4.9278893,4.18555,6.506376,3.0608692,4.2100625,6.0875,-5.285979,6.5635543,4.798225,3.9836316,5.8978624,5.20723,4.8912945,5.1385875,1
0.70279276,13.482517,5.007834,3.8972852,4.99884,6.14349,4.701587,5.377776,5.5145106,3.6630948,5.1487393,5.2767453,4.398349,5.531735,5.5866814,4.7692738,5.0385985,4.8953786,5.0409756,5.2669635,0
9.94104,4.7252107,4.738807,6.6233635,5.439803,4.5561175,4.936582,4.1964626,6.5310354,3.040109,4.206408,6.099035,-5.284327,6.571066,4.7935,4.0161448,5.910851,5.212578,4.871851,5.125283,1
0.71116,13.479165,5.01637,3.888943,4.9954176,6.1522818,4.7038364,5.3760314,5.518806,3.6674943,5.1557884,5.275273,4.3992457,5.530287,5.591234,4.7697945,5.041312,4.894072,5.0388436,5.27029,0
9.932442,4.7207766,4.7296257,6.61745,5.451622,4.5696754,4.925,4.1884427,6.517669,3.0536628,4.2116704,6.085065,-5.282409,6.5621266,4.798593,4.0003614,5.896539,5.2047267,4.8849397,5.138324,1
0.7313787,13.461315,5.036976,3.868008,4.974508,6.1729217,4.6940827,5.3897243,5.5394273,3.688168,5.17761,5.2883005,4.402781,5.5436497,5.611562,4.7705135,5.0542483,4.874794,5.02346,5.287771,0
10.651073,5.4101934,4.670054,6.7861094,6.411979,3.9843583,4.860777,4.379156,4.9023275,3.1725783,4.4161425,5.4111,10.058409,2.9836583,6.1607494,11.390782,5.2915506,5.592454,4.591477,5.427318,1
0.76038975,13.439351,5.066165,3.83916,4.966439,6.20234,4.70695,5.378839,5.549584,3.7010758,5.204763,5.277498,4.415794,5.5327587,5.6263757,4.7614846,5.0735583,4.876646,5.0036287,5.3095045,0
10.648904,5.4138017,4.6679573,6.789268,6.414957,3.982987,4.8634443,4.375959,4.9008794,3.1766827,4.4207306,5.4076605,10.056107,2.9877255,6.158227,11.387193,5.2951465,5.590593,4.593525,5.4243617,1
0.75161946,13.446832,5.05764,3.847434,4.9641004,6.193825,4.6969385,5.3889165,5.551064,3.700856,5.196996,5.2874312,4.4090705,5.542741,5.6250257,4.7673054,5.0661836,4.869415,5.0109105,5.3020887,0
10.649495,5.413394,4.668824,6.787734,6.4145913,3.9834163,4.862606,4.376739,4.901029,3.176438,4.4202623,5.408252,10.056686,2.9871802,6.1593175,11.389026,5.294722,5.5911016,4.5929885,5.42484,1
