0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,class_numeric
0.3221521,-1.106964,-2.505694,1.2907828,1.9021846,6.2107525,4.755638,6.138363,2.4849238,3.3902025,7.664247,4.4122396,7.7062945,7.940593,5.984993,2.554352,1.702537,6.877545,7.3077345,1.453508,6.9920487,6.777543,2.5535352,5.2934594,2.0276265,4.1203623,4.843432,2
0.3133592,-1.1127106,-2.5157278,1.2904325,1.891388,6.206683,4.757404,6.1483707,2.4850805,3.382383,7.6676846,4.4063406,7.721649,7.936001,5.9904065,2.556034,1.6951402,6.8813367,7.3166428,1.4736857,7.0079703,6.7730985,2.5448468,5.30569,2.0365653,4.133567,4.8359056,2
0.3568337,-1.0567137,-2.4533067,1.2308496,1.943585,6.2072453,4.7617946,6.093426,2.520659,3.3960414,7.6871085,4.4033027,7.6581745,7.9146843,5.9494047,2.6184337,1.7535168,6.8064127,7.274385,1.3362288,6.892963,6.8194757,2.575328,5.238308,1.9752475,4.0286636,4.903214,2
0.42305773,-0.95450616,-2.3489897,1.1001109,2.0370548,6.186222,4.774035,5.9895453,2.5941882,3.3966992,7.7132435,4.372778,7.532542,7.8581333,5.8891463,2.7508214,1.8539826,6.655688,7.210192,1.0709372,6.667038,6.8941407,2.6156237,5.1283298,1.870655,3.8197114,5.0144134,2
0.44001424,-0.93588036,-2.324767,1.1065055,2.048132,6.2107186,4.7778854,5.9855065,2.5929058,3.4217014,7.737279,4.4016085,7.555318,7.8581944,5.8585215,2.7555335,1.8751814,6.651777,7.1917586,1.0801166,6.6837726,6.924345,2.6377902,5.1027136,1.8468978,3.8390384,5.0475454,2
0.45689645,-0.914586,-2.2994645,1.0946163,2.0643804,6.2217364,4.780503,5.97253,2.6015334,3.4354832,7.7563725,4.414162,7.5542045,7.851752,5.834429,2.7744193,1.8975637,6.631817,7.1752987,1.0555853,6.667202,6.9503865,2.6547801,5.076657,1.8223296,3.8260338,5.0792675,2
0.46865806,-0.90209746,-2.2846062,1.0858854,2.0723977,6.228206,4.781564,5.9642873,2.608182,3.4427154,7.770457,4.419698,7.552916,7.8472395,5.81879,2.7879167,1.9114839,6.618431,7.164873,1.0390612,6.6556034,6.9675922,2.6630244,5.0606327,1.8079283,3.8164058,5.1003385,2
0.47370002,-0.896343,-2.2787433,1.0783895,2.0749073,6.2287765,4.7822104,5.959489,2.612493,3.443346,7.7763176,4.4189754,7.549984,7.8432946,5.812777,2.797119,1.9181093,6.6098146,7.1602902,1.0240064,6.644903,6.9742575,2.664373,5.0538206,1.801791,3.8066585,5.109325,2
0.4740418,-0.8956714,-2.2773561,1.0771084,2.0753026,6.2277036,4.7824225,5.9588075,2.613367,3.4424033,7.7751093,4.417011,7.547923,7.8425364,5.8131366,2.7976286,1.9185454,6.608909,7.159989,1.0186124,6.6432467,6.9740033,2.6635444,5.053448,1.8015507,3.8047183,5.108871,2
0.49000385,-0.8819837,-2.2633867,1.0591125,2.0789182,6.231421,4.782131,5.9485345,2.6256723,3.4455352,7.7948055,4.416045,7.5417967,7.835105,5.794379,2.8211806,1.9359686,6.587289,7.14739,0.9900227,6.6197143,6.994619,2.6666884,5.0348067,1.7856979,3.7832496,5.137002,2
