0,1,2,3,4,5,6,7,8,9,10,active_hand
3.3668475,16.783031,5.016455,4.414575,5.5659027,4.548761,5.413849,5.4454236,4.7925987,3.3068373,4.729568,0
11.733493,4.7440076,4.4977155,2.6372578,6.4705896,3.7461925,4.3184524,4.329991,-1.3405077,3.1061518,14.061264,1
3.382025,16.795214,4.9998617,4.399385,5.5511484,4.5341063,5.3998265,5.4596553,4.77783,3.3208647,4.743697,0
11.663383,4.677904,4.4509296,2.646813,6.4058075,3.707887,4.314177,4.3340225,-1.4048396,3.0324583,14.138921,1
3.379971,16.79102,5.0002427,4.4014425,5.553738,4.5364614,5.40257,5.457103,4.7805114,3.3180668,4.7413173,0
11.717537,4.7439694,4.490039,2.6441019,6.4789767,3.7397738,4.3127527,4.2778006,-1.3668013,3.0929837,14.046262,1
3.4043708,16.806139,4.962474,4.375894,5.5311313,4.5142717,5.3847437,5.47606,4.7582,3.3354201,4.7600403,0
3.4020135,16.805643,4.967856,4.378475,5.533079,4.5162787,5.3857546,5.4748144,4.760076,3.3344953,4.7587323,0
11.727417,4.76658,4.4959264,2.6470597,6.508205,3.7526057,4.3146343,4.249219,-1.3743929,3.1016376,14.029265,1
3.3499305,16.769012,5.0406785,4.433598,5.5830545,4.566406,5.426665,5.431598,4.809574,3.294611,4.715462,0
11.503107,4.7534485,4.296287,2.8394887,6.540976,3.7800791,4.3129296,3.9885452,-1.8523684,2.7747781,14.52871,1
3.3398364,16.765442,5.0690913,4.449656,5.593593,4.5784335,5.4349737,5.42336,4.8197665,3.2862322,4.7071137,0
11.49468,4.728177,4.3106313,2.8236692,6.5095797,3.7611434,4.3053102,4.0163746,-1.8316584,2.7717175,14.521331,1
3.378979,16.79099,5.0114994,4.4043617,5.5538235,4.5372705,5.401903,5.4570155,4.7803235,3.3190014,4.7409787,0
11.490337,4.7447414,4.290485,2.8456786,6.5333767,3.7777905,4.3102913,3.984291,-1.8672373,2.7614377,14.5430565,1
3.3538153,16.772825,5.0375834,4.4295382,5.578652,4.5621166,5.4240627,5.434459,4.8051095,3.2968202,4.718366,0
11.490889,4.740777,4.2960463,2.840057,6.526805,3.7734983,4.3095393,3.9917083,-1.8582289,2.7614756,14.542711,1
3.4124434,16.821283,4.9784527,4.368715,5.5174646,4.5007234,5.370259,5.490279,4.7443523,3.349892,4.774254,0
11.540451,4.8108273,4.2809696,2.8639302,6.608238,3.8156548,4.3328366,3.943593,-1.8705652,2.8101099,14.507015,1
3.3970833,16.813885,4.970206,4.383221,5.538649,4.521607,5.3884397,5.4704223,4.7657185,3.3324404,4.7538075,0
11.558086,4.8272204,4.2832975,2.8628333,6.624856,3.8260834,4.3404546,3.9419396,-1.8642248,2.8273897,14.49231,1
3.397062,16.815136,4.9939666,4.386234,5.5357943,4.519343,5.380614,5.477856,4.7623525,3.3400598,4.7613773,0
11.515467,4.77852,4.2865305,2.8528843,6.5706487,3.798351,4.3224273,3.9650385,-1.8680142,2.7832801,14.5298605,1
