0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,class_numeric
1.2382774,5.743177,3.7395422,8.387869,6.9992366,6.158876,4.4357457,4.254267,4.93924,6.078642,5.462096,5.2216387,5.1478987,5.5910244,4.397723,5.007083,6.5827923,4.5355983,5.9352593,4.204615,5.070085,5.4142165,4.320348,5.2205205,4.227794,5.8573833,5.8158154,2.903088,1
4.23957,6.400022,4.457895,8.3676815,6.7489448,6.0308423,4.352077,3.787776,4.6043177,5.1250386,5.7889185,5.0054364,4.736754,6.0791965,4.684342,4.5994306,6.5390735,5.057017,5.536045,4.05063,3.8852303,4.825375,4.5697937,5.719017,4.4668665,5.270509,5.39712,3.231865,2
12.881003,6.3676844,5.2785125,9.258393,9.206236,5.5546865,2.6957426,4.86054,5.8778777,3.8617306,4.5836277,3.3084452,4.863224,4.0517693,3.7073977,6.78459,3.9552836,4.9358935,4.24928,5.3452454,3.3198957,4.9401608,4.5783567,6.6260324,2.6989539,7.321348,5.6292872,2.7641265,0
12.646868,6.4122415,5.2087455,9.182437,9.14654,5.6193213,2.7065482,4.951164,5.8658195,3.8300338,4.601805,3.2152123,4.707668,4.0790987,3.7109864,6.756905,4.0224895,4.847349,4.2146945,5.3549323,3.4364097,4.967296,4.6580267,6.6853533,2.6718457,7.2547426,5.666214,2.579681,1
12.503423,6.4899564,5.236765,9.210954,9.05465,5.682107,2.8462913,4.874632,5.7521663,3.8802464,4.72307,3.2376046,4.722467,4.116494,3.7295501,6.713963,4.171337,4.8488164,4.269738,5.379264,3.4978278,4.8480353,4.6296487,6.5864425,2.8041854,7.1244063,5.7474494,2.6984875,2
1.2826803,5.7530675,3.748495,8.4024315,7.001043,6.1865926,4.4457254,4.273332,4.971398,6.055682,5.4465594,5.2157636,5.1617904,5.6082616,4.369486,5.01937,6.566297,4.498873,5.8910003,4.2481275,5.0458097,5.3987803,4.3313775,5.199955,4.2295256,5.8430123,5.814004,2.9332724,0
1.1819819,5.723635,3.7005827,8.440499,7.007035,6.1464353,4.4332113,4.2786484,4.9488955,6.1114364,5.463682,5.2690325,5.2080393,5.564491,4.3968525,5.028098,6.572242,4.54758,5.9513,4.201981,5.1035476,5.43453,4.312724,5.2010145,4.2119613,5.8832703,5.8334546,2.89763,1
4.288388,6.4395804,4.4729047,8.391737,6.760174,5.9982734,4.3893085,3.8130748,4.569669,5.0828905,5.8044567,5.00992,4.67658,6.127023,4.6950264,4.556735,6.538959,5.0816665,5.525057,4.0185986,3.848706,4.800015,4.6034374,5.716688,4.5099177,5.2227736,5.34517,3.2594619,2
12.756386,6.3937044,5.2265463,9.221868,9.15914,5.6051526,2.715607,4.9070363,5.8790646,3.8460345,4.590299,3.2622018,4.789175,4.0833297,3.722457,6.7555795,4.012314,4.868463,4.215101,5.3499045,3.3965352,4.962551,4.6343336,6.639669,2.6963737,7.276021,5.663711,2.705551,0
12.735433,6.3819056,5.19981,9.197925,9.177153,5.589912,2.6826377,4.9582167,5.9085536,3.8236816,4.5585055,3.2289214,4.7366834,4.0843925,3.7168436,6.778868,3.9821024,4.864562,4.192007,5.3458443,3.3969295,5.00414,4.6606326,6.6945,2.6410158,7.296382,5.646063,2.5945024,1
12.550499,6.473131,5.228824,9.208785,9.076342,5.6643667,2.8114939,4.893799,5.7805114,3.8698034,4.6930857,3.2328413,4.7237353,4.113652,3.7242196,6.727507,4.1373215,4.856514,4.2536244,5.3728914,3.482006,4.879031,4.6358595,6.613065,2.76473,7.155479,5.730848,2.6673717,2
1.3321599,5.7634125,3.712427,8.24789,7.0502505,6.1593757,4.445368,4.288838,4.962841,6.1094327,5.4868817,5.094517,4.9925933,5.5916176,4.32011,5.056152,6.5126333,4.484236,5.9046245,4.230918,5.0959096,5.4383655,4.341595,5.16111,4.224413,5.857999,5.7935467,2.903312,0
1.3176358,5.772821,3.6998997,8.161677,7.089657,6.12871,4.4459753,4.302008,4.9495673,6.1338673,5.522657,5.0189643,4.8992143,5.5799904,4.2832184,5.0885453,6.4716682,4.4758887,5.904663,4.225783,5.118016,5.464081,4.3494244,5.1321716,4.218676,5.866665,5.7707663,2.8956316,1
4.2424784,6.4220586,4.4532704,8.3657255,6.7619987,6.005347,4.3876386,3.8187015,4.5831666,5.1008325,5.8014364,4.992289,4.6838465,6.110128,4.6816683,4.578441,6.524638,5.0677886,5.5243325,4.0309067,3.8723052,4.8244624,4.5940866,5.706514,4.4960594,5.2417564,5.364144,3.253942,2
12.795466,6.3863316,5.253047,9.225976,9.185031,5.578102,2.7139306,4.8884964,5.869148,3.8467236,4.5953703,3.2734647,4.8110795,4.058456,3.7098095,6.78123,3.983668,4.895378,4.23698,5.353322,3.375785,4.942276,4.615437,6.6326604,2.7077444,7.2907996,5.6401734,2.7411826,0
12.670014,6.4267693,5.2149487,9.204475,9.127126,5.633203,2.7460241,4.9276943,5.850864,3.846165,4.6194215,3.2348633,4.7362313,4.094453,3.7133422,6.749986,4.0451746,4.85877,4.2212543,5.3561983,3.4391525,4.94987,4.645642,6.654568,2.6995776,7.2361617,5.686688,2.6311445,1
